Cijfers tot en met consumptie;;;;;;;;;;;;;;
;;Effect-categorie;Global warming;Terrestrial acidification;Freshwater eutrophication;Marine eutrophication;Land use;Water consumption;Codering NEVO;;;;;
Naam;Eenheid     1 kg;;kg CO2 eq;kg SO2 eq;kg P eq;kg N eq;m2a crop eq;m3;NEVO code;NEVO naam;NEVO productgroep;NEVO name;NEVO productgroup;
Sweet potatoes | Ambient (average) | Plastic foil (LDPE) - 500 gram | Boiling | consumed/NL Economic;;;1,191907668;0,003672478;0,000606287;0,000509401;0,732837604;0,06200862;2112;Aardappel zoete gekookt;Aardappelen en knolgewassen;Potato sweet boiled;Potatoes and tubers;
Sweet potatoes | Ambient (average) | Plastic foil (LDPE) - 500 gram | Pan frying | consumed/NL Economic;;;0,709831215;0,003192596;0,00045208;0,000510129;0,795860363;0,057118274;2112;Aardappel zoete gekookt;Aardappelen en knolgewassen;Potato sweet boiled;Potatoes and tubers;
Potatoes wo skins | Ambient (average) | Plastic foil (LDPE) - 500 gram | Pan frying | consumed/NL Economic;;;0,668798802;0,00302824;0,000452876;0,001193349;0,467503291;0,010852358;1457;Aardappelen gebakken;Aardappelen en knolgewassen;Potatoes fried;Potatoes and tubers;
Potatoes wo skins | Ambient (average) | Plastic foil (LDPE) - 500 gram | Boiling | consumed/NL Economic;;;1,150875255;0,003508121;0,000607083;0,001192621;0,404480533;0,015742703;982;Aardappelen z schil gekookt gem;Aardappelen en knolgewassen;Potatoes wo skin boiled av;Potatoes and tubers;
Potatoes mashed prep w semi-skimmed milk | Boiling | consumed/NL Economic;;;1,348659462;0,004205565;0,000605834;0,001339371;0,67087914;0,019717431;121;Aardappelpuree vers bereid m halfvolle melk en marg;Aardappelen en knolgewassen;Potatoes mashed fresh prep w semi-sk milk+marg;Potatoes and tubers;
Chips, frozen pre-fried | Frozen | Plastic foil (LDPE) - 500 gram | Deep frying | consumed/NL Economic;;;4,632494319;0,013915143;0,002928717;0,004646703;3,1928785;0,067746706;1456;Frites voorgebakken diepvries onbereid;Aardappelen en knolgewassen;Chips pre-fried frozen unprepared;Potatoes and tubers;
Beer, pilsner | Ambient (long) | Glass bottle, non returnable | Chilled at consumer | consumed/NL Economic;;;0,57642937;0,002446808;0,000243238;0,000364649;0,261344735;0,006889768;390;Bier pils;Alcoholische dranken;Beer pilsner;Alcoholic beverages;
Beer, pilsner | Ambient (long) | Glass bottle, returnable | Chilled at consumer | consumed/NL Economic;;;0,37416717;0,001193487;0,000155822;0,00035663;0,246254399;0,005705174;390;Bier pils;Alcoholische dranken;Beer pilsner;Alcoholic beverages;
Beer, pilsner | Ambient (long) | Metal can (Aluminium) | Chilled at consumer | consumed/NL Economic;;;0,464256467;0,001674253;0,000235636;0,000360788;0,246860429;0,00935921;390;Bier pils;Alcoholische dranken;Beer pilsner;Alcoholic beverages;
