Diet,Food_Type,CO2_pct
Monitor 2024,Plant-based,41.07994176638068
Monitor 2024,Animal,12.613643603117877
Monitor 2024,Mixed (Dairy/Eggs),0.0
Monitor 2024,Processed,46.30641463050146
Dutch Goal,Plant-based,58.62508479855073
Dutch Goal,Animal,9.418439234302399
Dutch Goal,Mixed (Dairy/Eggs),0.0
Dutch Goal,Processed,31.956475967146865
Amsterdam Goal,Plant-based,68.1566107275337
Amsterdam Goal,Animal,6.262102423700597
Amsterdam Goal,Mixed (Dairy/Eggs),0.0
Amsterdam Goal,Processed,25.58128684876569
EAT-Lancet,Plant-based,64.99769552368555
EAT-Lancet,Animal,10.62711463042274
EAT-Lancet,Mixed (Dairy/Eggs),0.0
EAT-Lancet,Processed,24.375189845891697
