Diet,Category,Mass_share_pct,Protein_share_pct
Monitor 2024,Red Meat,2.281021897810219,8.030838419531
Monitor 2024,Poultry,2.281021897810219,10.038548024413748
Monitor 2024,Dairy (Liquid),20.072992700729927,10.60070671378092
Monitor 2024,Dairy (Solid) & Eggs,5.748175182481752,12.14262769033087
Monitor 2024,Fish,2.0072992700729926,7.06713780918728
Monitor 2024,Plant Protein,4.562043795620438,16.061676839062
Monitor 2024,taples,0.0,0.0
Monitor 2024,Rice,2.737226277372263,3.854802441374879
Monitor 2024,Veg & Fruit,27.82846715328467,9.79762287182782
Monitor 2024,Ultra-Processed,23.083941605839417,20.318021201413426
Monitor 2024,Beverages & Additions,3.64963503649635,0.64246707356248
Monitor 2024,"Fats (Solid, Animal)",1.824817518248175,0.0
Monitor 2024,Oils (Plant-based),2.281021897810219,0.0
Monitor 2024,Condiments,1.6423357664233578,1.44555091551558
Amsterdam Theoretical,Red Meat,2.8144239226033423,10.524584772241408
Amsterdam Theoretical,Poultry,2.4626209322779244,11.511264594639039
Amsterdam Theoretical,Dairy (Liquid),22.867194371152156,12.826837691169215
Amsterdam Theoretical,Dairy (Solid) & Eggs,5.716798592788039,12.826837691169215
Amsterdam Theoretical,Fish,0.8795074758135445,3.28893274132544
Amsterdam Theoretical,Plant Protein,2.9023746701846966,10.85347804637395
Amsterdam Theoretical,taples,0.0,0.0
Amsterdam Theoretical,Rice,2.198768689533861,3.28893274132544
Amsterdam Theoretical,Veg & Fruit,24.626209322779243,9.209011675711231
Amsterdam Theoretical,Ultra-Processed,24.714160070360595,23.104752507811217
Amsterdam Theoretical,Beverages & Additions,4.0457343887423045,0.7564545305048511
Amsterdam Theoretical,"Fats (Solid, Animal)",2.198768689533861,0.0
Amsterdam Theoretical,Oils (Plant-based),2.638522427440633,0.0
Amsterdam Theoretical,Condiments,1.9349164467897977,1.8089130077289919
Metropolitan,Red Meat,5.397070161912105,17.20958819913952
Metropolitan,Poultry,4.626060138781804,18.43884449907806
Metropolitan,Dairy (Liquid),15.420200462606015,7.375537799631224
Metropolitan,Dairy (Solid) & Eggs,6.168080185042406,11.800860479409957
Metropolitan,Fish,1.156515034695451,3.687768899815612
Metropolitan,Plant Protein,1.156515034695451,3.687768899815612
Metropolitan,taples,0.0,0.0
Metropolitan,Rice,1.5420200462606015,1.9668100799016597
Metropolitan,Veg & Fruit,16.191210485736317,5.162876459741857
Metropolitan,Ultra-Processed,35.46646106399383,28.272894898586358
Metropolitan,Beverages & Additions,4.626060138781804,0.7375537799631223
Metropolitan,"Fats (Solid, Animal)",3.084040092521203,0.0
Metropolitan,Oils (Plant-based),3.084040092521203,0.0
Metropolitan,Condiments,2.081727062451812,1.6594960049170253
Metabolic Balance,Red Meat,11.210762331838566,25.82311168495804
Metabolic Balance,Poultry,8.968609865470851,25.82311168495804
Metabolic Balance,Dairy (Liquid),5.605381165919283,1.9367333763718526
Metabolic Balance,Dairy (Solid) & Eggs,11.210762331838566,15.49386701097482
Metabolic Balance,Fish,4.484304932735426,10.329244673983215
Metabolic Balance,Plant Protein,3.3632286995515694,7.74693350548741
Metabolic Balance,taples,0.0,0.0
Metabolic Balance,Rice,1.1210762331838564,1.0329244673983216
Metabolic Balance,Veg & Fruit,33.6322869955157,7.74693350548741
Metabolic Balance,Ultra-Processed,4.484304932735426,2.5823111684958038
Metabolic Balance,Beverages & Additions,4.484304932735426,0.5164622336991608
Metabolic Balance,"Fats (Solid, Animal)",5.829596412556054,0.0
Metabolic Balance,Oils (Plant-based),3.923766816143498,0.0
Metabolic Balance,Condiments,1.6816143497757847,0.9683666881859263
Dutch Goal,Red Meat,1.8214936247723135,5.88235294117647
Dutch Goal,Poultry,1.639344262295082,6.61764705882353
Dutch Goal,Dairy (Liquid),16.39344262295082,7.941176470588235
Dutch Goal,Dairy (Solid) & Eggs,3.642987249544627,7.0588235294117645
Dutch Goal,Fish,1.092896174863388,3.529411764705883
Dutch Goal,Plant Protein,12.295081967213115,39.705882352941174
Dutch Goal,taples,0.0,0.0
Dutch Goal,Rice,3.642987249544627,4.705882352941177
Dutch Goal,Veg & Fruit,39.162112932604735,12.647058823529411
Dutch Goal,Ultra-Processed,12.750455373406194,10.294117647058822
Dutch Goal,Beverages & Additions,3.1876138433515484,0.5147058823529412
Dutch Goal,"Fats (Solid, Animal)",1.0018214936247722,0.0
Dutch Goal,Oils (Plant-based),2.0036429872495445,0.0
Dutch Goal,Condiments,1.366120218579235,1.1029411764705883
Amsterdam Goal,Red Meat,0.9891196834817012,3.019779556092405
Amsterdam Goal,Poultry,0.9891196834817012,3.774724445115506
Amsterdam Goal,Dairy (Liquid),9.891196834817013,4.529669334138608
Amsterdam Goal,Dairy (Solid) & Eggs,3.4619188921859543,6.341537067794051
Amsterdam Goal,Fish,1.483679525222552,4.529669334138608
Amsterdam Goal,Plant Protein,15.82591493570722,48.31647289747848
Amsterdam Goal,taples,0.0,0.0
Amsterdam Goal,Rice,4.945598417408506,6.03955911218481
Amsterdam Goal,Veg & Fruit,44.510385756676556,13.589008002415822
Amsterdam Goal,Ultra-Processed,10.979228486646884,8.379888268156426
Amsterdam Goal,Beverages & Additions,2.7695351137487636,0.42276913785293674
Amsterdam Goal,"Fats (Solid, Animal)",0.791295746785361,0.0
Amsterdam Goal,Oils (Plant-based),1.9782393669634024,0.0
Amsterdam Goal,Condiments,1.3847675568743818,1.056922844632342
EAT-Lancet,Red Meat,1.237842617152962,4.1097901071481004
EAT-Lancet,Poultry,2.564102564102564,10.64142081315133
EAT-Lancet,Dairy (Liquid),22.104332449160037,11.008366358432408
EAT-Lancet,Dairy (Solid) & Eggs,1.1494252873563218,2.2897402025539413
EAT-Lancet,Fish,2.475685234305924,8.219580214296201
EAT-Lancet,Plant Protein,11.052166224580018,36.69455452810803
EAT-Lancet,taples,0.0,0.0
EAT-Lancet,Rice,5.305039787798409,7.045354469396742
EAT-Lancet,Veg & Fruit,44.20866489832007,14.677821811243213
EAT-Lancet,Ultra-Processed,4.862953138815207,4.036400998091883
EAT-Lancet,Beverages & Additions,1.9451812555260832,0.32291207984735065
EAT-Lancet,"Fats (Solid, Animal)",0.3536693191865605,0.0
EAT-Lancet,Oils (Plant-based),1.5915119363395225,0.0
EAT-Lancet,Condiments,1.1494252873563218,0.9540584177308088
Schijf van Vijf (50-50),Red Meat,1.7211703958691909,6.25
Schijf van Vijf (50-50),Poultry,2.1514629948364887,9.765625
Schijf van Vijf (50-50),Dairy (Liquid),21.514629948364888,11.71875
Schijf van Vijf (50-50),Dairy (Solid) & Eggs,4.3029259896729775,9.375
Schijf van Vijf (50-50),Fish,2.1514629948364887,7.8125
Schijf van Vijf (50-50),Plant Protein,6.454388984509467,23.4375
Schijf van Vijf (50-50),taples,0.0,0.0
Schijf van Vijf (50-50),Rice,3.4423407917383817,5.0
Schijf van Vijf (50-50),Veg & Fruit,38.7263339070568,14.0625
Schijf van Vijf (50-50),Ultra-Processed,11.876075731497417,10.78125
Schijf van Vijf (50-50),Beverages & Additions,3.0120481927710845,0.546875
Schijf van Vijf (50-50),"Fats (Solid, Animal)",1.1187607573149743,0.0
Schijf van Vijf (50-50),Oils (Plant-based),2.1514629948364887,0.0
Schijf van Vijf (50-50),Condiments,1.376936316695353,1.25
Mediterranean Diet,Red Meat,1.353637901861252,4.762613484149426
Mediterranean Diet,Poultry,1.6920473773265652,7.441583568983479
Mediterranean Diet,Dairy (Liquid),16.920473773265652,8.929900282780174
Mediterranean Diet,Dairy (Solid) & Eggs,4.060913705583756,8.572704271468968
Mediterranean Diet,Fish,2.961082910321489,10.41821699657687
Mediterranean Diet,Plant Protein,8.460236886632826,29.766334275933914
Mediterranean Diet,taples,0.0,0.0
Mediterranean Diet,Rice,3.807106598984772,5.357940169668105
Mediterranean Diet,Veg & Fruit,43.9932318104907,15.478493823485637
Mediterranean Diet,Ultra-Processed,8.629441624365482,7.590415240363149
Mediterranean Diet,Beverages & Additions,3.6379018612521152,0.6399761869325792
Mediterranean Diet,"Fats (Solid, Animal)",0.7614213197969544,0.0
Mediterranean Diet,Oils (Plant-based),2.5380710659898478,0.0
Mediterranean Diet,Condiments,1.1844331641285957,1.041821699657687
