Diet,Goal_Reference,Resource,Pct_vs_goal
Monitor 2024,Schijf van 5,CO2 (Scope 1+2+3),11.444069743518575
Monitor 2024,Schijf van 5,Land (m²),18.847331422832905
Monitor 2024,Schijf van 5,Water (L),-7.6232891334772335
Monitor 2024,Dutch Goal 60:40,CO2 (Scope 1+2+3),16.523578176996462
Monitor 2024,Dutch Goal 60:40,Land (m²),18.39205543626779
Monitor 2024,Dutch Goal 60:40,Water (L),-8.975475215183499
Monitor 2024,Amsterdam Goal 70:30,CO2 (Scope 1+2+3),41.31035210636216
Monitor 2024,Amsterdam Goal 70:30,Land (m²),42.38452960854511
Monitor 2024,Amsterdam Goal 70:30,Water (L),-2.330553639726622
Monitor 2024,EAT-Lancet,CO2 (Scope 1+2+3),47.2074963618931
Monitor 2024,EAT-Lancet,Land (m²),44.358562418183936
Monitor 2024,EAT-Lancet,Water (L),-15.87886184569359
Mediterranean Diet,Schijf van 5,CO2 (Scope 1+2+3),-6.805302797054903
Mediterranean Diet,Schijf van 5,Land (m²),-8.06084208979355
Mediterranean Diet,Schijf van 5,Water (L),4.785089071803013
Mediterranean Diet,Dutch Goal 60:40,CO2 (Scope 1+2+3),-2.5575823801028035
Mediterranean Diet,Dutch Goal 60:40,Land (m²),-8.413039234823376
Mediterranean Diet,Dutch Goal 60:40,Water (L),3.2512724021667343
Mediterranean Diet,Amsterdam Goal 70:30,CO2 (Scope 1+2+3),18.170266991347813
Mediterranean Diet,Amsterdam Goal 70:30,Land (m²),10.147309114384633
Mediterranean Diet,Amsterdam Goal 70:30,Water (L),10.788764185842362
Mediterranean Diet,EAT-Lancet,CO2 (Scope 1+2+3),23.101732384895644
Mediterranean Diet,EAT-Lancet,Land (m²),11.674401999285921
Mediterranean Diet,EAT-Lancet,Water (L),-4.57940240958653
Amsterdam Theoretical,Schijf van 5,CO2 (Scope 1+2+3),20.881594346818215
Amsterdam Theoretical,Schijf van 5,Land (m²),29.002865750606205
Amsterdam Theoretical,Schijf van 5,Water (L),-4.942832744265469
Amsterdam Theoretical,Dutch Goal 60:40,CO2 (Scope 1+2+3),26.391255644633716
Amsterdam Theoretical,Dutch Goal 60:40,Land (m²),28.50868631661135
Amsterdam Theoretical,Dutch Goal 60:40,Water (L),-6.334254644048759
Amsterdam Theoretical,Amsterdam Goal 70:30,CO2 (Scope 1+2+3),53.2770716256149
Amsterdam Theoretical,Amsterdam Goal 70:30,Land (m²),54.55132343447387
Amsterdam Theoretical,Amsterdam Goal 70:30,Water (L),0.5034798419963783
Amsterdam Theoretical,EAT-Lancet,CO2 (Scope 1+2+3),59.67360938076287
Amsterdam Theoretical,EAT-Lancet,Land (m²),56.69403784362724
Amsterdam Theoretical,EAT-Lancet,Water (L),-13.437953957564927
Metabolic Balance,Schijf van 5,CO2 (Scope 1+2+3),68.39000584456355
Metabolic Balance,Schijf van 5,Land (m²),41.05518406936583
Metabolic Balance,Schijf van 5,Water (L),65.04376497378847
Metabolic Balance,Dutch Goal 60:40,CO2 (Scope 1+2+3),76.06505267988962
Metabolic Balance,Dutch Goal 60:40,Land (m²),40.51483505758341
Metabolic Balance,Dutch Goal 60:40,Water (L),62.62789760011221
Metabolic Balance,Amsterdam Goal 70:30,CO2 (Scope 1+2+3),113.51742691962802
Metabolic Balance,Amsterdam Goal 70:30,Land (m²),68.99055108867891
Metabolic Balance,Amsterdam Goal 70:30,Water (L),74.4999686500721
Metabolic Balance,EAT-Lancet,CO2 (Scope 1+2+3),122.42790692938055
Metabolic Balance,EAT-Lancet,Land (m²),71.3334523384505
Metabolic Balance,EAT-Lancet,Water (L),50.29404299670044
