Diet,Goal_Reference,Total_emissions_pct_of_goal,Goal_total_tonnes_per_year,Diet_total_tonnes_per_year
Monitor 2024,Schijf van 5,110.42521260630316,2268471.6967499997,2504964.6940499996
Monitor 2024,Dutch Goal 60:40,121.85648623041445,2055667.9185,2504964.6940499996
Monitor 2024,Amsterdam Goal 70:30,148.24841674478157,1689707.5523999997,2504964.6940499996
Monitor 2024,EAT-Lancet,144.15957239858824,1737633.2714999998,2504964.6940499996
Mediterranean Diet,Schijf van 5,93.78866738333707,2268471.6967499997,2127569.3743499997
Mediterranean Diet,Dutch Goal 60:40,103.497717467054,2055667.9185,2127569.3743499997
Mediterranean Diet,Amsterdam Goal 70:30,125.91346776713384,1689707.5523999997,2127569.3743499997
Mediterranean Diet,EAT-Lancet,122.4406443664255,1737633.2714999998,2127569.3743499997
Amsterdam Theoretical,Schijf van 5,119.92400455546924,2268471.6967499997,2720442.10095
Amsterdam Theoretical,Dutch Goal 60:40,132.3385979061773,2055667.9185,2720442.10095
Amsterdam Theoretical,Amsterdam Goal 70:30,161.0007659068566,1689707.5523999997,2720442.10095
Amsterdam Theoretical,EAT-Lancet,156.56019860862799,1737633.2714999998,2720442.10095
Metabolic Balance,Schijf van 5,154.43147105467628,2268471.6967499997,3503234.2117499993
Metabolic Balance,Dutch Goal 60:40,170.41829471689542,2055667.9185,3503234.2117499993
Metabolic Balance,Amsterdam Goal 70:30,207.32784242895357,1689707.5523999997,3503234.2117499993
Metabolic Balance,EAT-Lancet,201.60952654445072,1737633.2714999998,3503234.2117499993
