Baseline_Diet,Goal_Diet,Baseline_total_tonnes,Goal_total_tonnes,Reduction_pct
Monitor 2024,Dutch Goal,3390362.5935364505,3010845.875633899,11.19398611305116
Monitor 2024,Amsterdam Goal,3390362.5935364505,2571487.76738568,24.153016191008962
Monitor 2024,EAT-Lancet,3390362.5935364505,2588597.7290179124,23.6483515375925
Monitor 2024,Schijf van Vijf (50-50),3390362.5935364505,3286413.9417656073,3.066003971640552
Metropolitan,Dutch Goal,5184249.919019515,3010845.875633899,41.92321121348769
Metropolitan,Amsterdam Goal,5184249.919019515,2571487.76738568,50.39807479281362
Metropolitan,EAT-Lancet,5184249.919019515,2588597.7290179124,50.06803743158493
Metropolitan,Schijf van Vijf (50-50),5184249.919019515,3286413.9417656073,36.607725454964964
Mediterranean Diet,Dutch Goal,3135411.2808675007,3010845.875633899,3.972856957991713
Mediterranean Diet,Amsterdam Goal,3135411.2808675007,2571487.76738568,17.985631324442867
Mediterranean Diet,EAT-Lancet,3135411.2808675007,2588597.7290179124,17.43993061408827
Mediterranean Diet,Schijf van Vijf (50-50),3135411.2808675007,3286413.9417656073,-4.816039982363254
