Goal_Diet,Category,Baseline_tonnes,Goal_tonnes,Delta_kton,Delta_pct
Dutch Goal,Red Meat,249467.6429854726,218747.46258367045,-30.72018040180215,-12.314294565083575
Dutch Goal,Poultry,112846.57844566015,81249.53648087531,-31.597041964784847,-28.000000000000004
Dutch Goal,Dairy (Liquid),341640.4084821625,279523.9705763148,-62.11643790584773,-18.181818181818183
Dutch Goal,Dairy (Solid) & Eggs,275625.7261190879,184210.79080599482,-91.41493531309307,-33.16632906523246
Dutch Goal,Fish,113464.60653861711,61889.78538470025,-51.574821153916865,-45.454545454545446
Dutch Goal,Plant Protein,65916.0072798823,170300.24346165865,104.38423618177636,158.35946455093412
Dutch Goal,taples,0.0,0.0,0.0,0.0
Dutch Goal,Rice,51902.17415869805,69202.89887826405,17.300724719566002,33.3333333333333
Dutch Goal,Veg & Fruit,203660.37037467817,286963.8676347921,83.30349726011394,40.903145323196064
Dutch Goal,Ultra-Processed,562889.7176812247,309693.2422628724,-253.1964754183523,-44.98154211474553
Dutch Goal,Beverages & Additions,229169.51745803602,205483.50755623385,-23.686009901802173,-10.335584838912704
Dutch Goal,"Fats (Solid, Animal)",220925.51160279516,122725.63755461566,-98.1998740481795,-44.44931385956653
Dutch Goal,Oils (Plant-based),33391.199158698044,29384.255259654277,-4.006943899043766,-12.000000000000004
Dutch Goal,Condiments,43499.620391872006,35823.21679330636,-7.676403598565645,-17.647058823529406
Amsterdam Goal,Red Meat,249467.6429854726,109373.73129183523,-140.09391169363738,-56.157147282541786
Amsterdam Goal,Poultry,112846.57844566015,45138.631378264065,-67.70794706739609,-60.0
Amsterdam Goal,Dairy (Liquid),341640.4084821625,155291.0947646193,-186.3493137175432,-54.545454545454554
Amsterdam Goal,Dairy (Solid) & Eggs,275625.7261190879,154967.46935509375,-120.65825676399415,-43.776122955903645
Amsterdam Goal,Fish,113464.60653861711,77362.23173087531,-36.102374807741796,-31.818181818181813
Amsterdam Goal,Plant Protein,65916.0072798823,196844.18351305625,130.92817623317396,198.6288029814171
Amsterdam Goal,taples,0.0,0.0,0.0,0.0
Amsterdam Goal,Rice,51902.17415869805,86503.62359783007,34.60144943913202,66.66666666666664
Amsterdam Goal,Veg & Fruit,203660.37037467817,299966.6340364104,96.30626366173226,47.28767972117288
Amsterdam Goal,Ultra-Processed,562889.7176812247,252078.94967828243,-310.81076800294227,-55.216991577550964
Amsterdam Goal,Beverages & Additions,229169.51745803602,164702.2015180581,-64.46731593997791,-28.130842467643074
Amsterdam Goal,"Fats (Solid, Animal)",220925.51160279516,87964.66925009195,-132.96084235270322,-60.183562046811154
Amsterdam Goal,Oils (Plant-based),33391.199158698044,26712.959326958437,-6.6782398317396074,-19.999999999999996
Amsterdam Goal,Condiments,43499.620391872006,32411.48186061051,-11.088138531261494,-25.49019607843138
EAT-Lancet,Red Meat,249467.6429854726,153123.2238085693,-96.34441917690329,-38.6200061955585
EAT-Lancet,Poultry,112846.57844566015,130902.0309969658,18.055452551305642,16.000000000000018
EAT-Lancet,Dairy (Liquid),341640.4084821625,388227.7369115483,46.587328429385785,13.636363636363633
EAT-Lancet,Dairy (Solid) & Eggs,275625.7261190879,32928.29241129091,-242.69743370779696,-88.05325871610991
EAT-Lancet,Fish,113464.60653861711,144409.49923096725,30.94489269235014,27.272727272727295
EAT-Lancet,Plant Protein,65916.0072798823,116385.7898827694,50.46978260288711,76.5668077991893
EAT-Lancet,taples,0.0,0.0,0.0,0.0
EAT-Lancet,Rice,51902.17415869805,103804.3483173961,51.90217415869805,100.0
EAT-Lancet,Veg & Fruit,203660.37037467817,332473.55004045606,128.81317966577788,63.24901571611484
EAT-Lancet,Ultra-Processed,562889.7176812247,112301.50470025741,-450.5882129809672,-80.04911065654676
EAT-Lancet,Beverages & Additions,229169.51745803602,126643.45919014342,-102.5260582678926,-44.73808707419672
EAT-Lancet,"Fats (Solid, Animal)",220925.51160279516,42968.49614748069,-177.9570154553145,-80.55068614043348
EAT-Lancet,Oils (Plant-based),33391.199158698044,24041.663394262592,-9.349535764435451,-27.999999999999996
EAT-Lancet,Condiments,43499.620391872006,28999.746927914668,-14.499873463957337,-33.333333333333336
Schijf van Vijf (50-50),Red Meat,249467.6429854726,218747.46258367045,-30.72018040180215,-12.314294565083575
Schijf van Vijf (50-50),Poultry,112846.57844566015,112846.57844566015,0.0,0.0
Schijf van Vijf (50-50),Dairy (Liquid),341640.4084821625,388227.7369115483,46.587328429385785,13.636363636363633
Schijf van Vijf (50-50),Dairy (Solid) & Eggs,275625.7261190879,226118.8401073924,-49.50688601169549,-17.961634680757395
Schijf van Vijf (50-50),Fish,113464.60653861711,128937.05288479218,15.47244634617507,13.636363636363647
Schijf van Vijf (50-50),Plant Protein,65916.0072798823,89193.16525643617,23.277157976553877,35.31336155983786
Schijf van Vijf (50-50),taples,0.0,0.0,0.0,0.0
Schijf van Vijf (50-50),Rice,51902.17415869805,69202.89887826405,17.300724719566002,33.3333333333333
Schijf van Vijf (50-50),Veg & Fruit,203660.37037467817,299966.6340364104,96.30626366173226,47.28767972117288
Schijf van Vijf (50-50),Ultra-Processed,562889.7176812247,315108.72632089,-247.78099136033467,-44.01945595685189
Schijf van Vijf (50-50),Beverages & Additions,229169.51745803602,205483.50755623385,-23.686009901802173,-10.335584838912704
Schijf van Vijf (50-50),"Fats (Solid, Animal)",220925.51160279516,143196.04715079072,-77.72946445200444,-35.18356204681117
Schijf van Vijf (50-50),Oils (Plant-based),33391.199158698044,33391.199158698044,0.0,0.0
Schijf van Vijf (50-50),Condiments,43499.620391872006,37529.08425965428,-5.970536132217727,-13.725490196078432
