Focus_Diet,Scenario,Scope1+2_kton,Scope3_kton,Total_kton
Monitor 2024,Baseline (Monitor),1750.0,1076.3475602111398,2826.34756021114
Monitor 2024,Dutch Goal,1522.1793934103264,940.4019877205099,2462.5813811308362
Monitor 2024,Amsterdam Goal,1252.4198114876901,792.043174882155,2044.4629863698449
Monitor 2024,EAT-Lancet,1089.329530842643,791.5215442451099,1880.8510750877529
Monitor 2024,Schijf van Vijf (50-50),1567.5350069011076,983.4267101895599,2550.9617170906677
Metropolitan,Baseline (Monitor),3046.2064551899866,1712.921273044695,4759.127728234681
Metropolitan,Dutch Goal,1522.1793934103264,940.4019877205099,2462.5813811308362
Metropolitan,Amsterdam Goal,1252.4198114876901,792.043174882155,2044.4629863698449
Metropolitan,EAT-Lancet,1089.329530842643,791.5215442451099,1880.8510750877529
Metropolitan,Schijf van Vijf (50-50),1567.5350069011076,983.4267101895599,2550.9617170906677
Mediterranean Diet,Baseline (Monitor),1382.3139945027076,950.1443223251699,2332.4583168278773
Mediterranean Diet,Dutch Goal,1522.1793934103264,940.4019877205099,2462.5813811308362
Mediterranean Diet,Amsterdam Goal,1252.4198114876901,792.043174882155,2044.4629863698449
Mediterranean Diet,EAT-Lancet,1089.329530842643,791.5215442451099,1880.8510750877529
Mediterranean Diet,Schijf van Vijf (50-50),1567.5350069011076,983.4267101895599,2550.9617170906677
