Diet,Parameter,Impact_kton,Total_kton
Monitor 2024,Impact Factors,304400.36492002086,3044003.6492002085
Monitor 2024,Diet Adherence,365280.437904025,3044003.6492002085
Monitor 2024,Waste Rate,121760.14596800834,3044003.6492002085
Schijf van Vijf (50-50),Impact Factors,296854.54032984225,2968545.403298422
Schijf van Vijf (50-50),Diet Adherence,356225.4483958107,2968545.403298422
Schijf van Vijf (50-50),Waste Rate,118741.8161319369,2968545.403298422
Amsterdam Goal,Impact Factors,234783.97012245824,2347839.7012245823
Amsterdam Goal,Diet Adherence,281740.76414694986,2347839.7012245823
Amsterdam Goal,Waste Rate,93913.58804898329,2347839.7012245823
EAT-Lancet,Impact Factors,236445.88319539657,2364458.8319539656
EAT-Lancet,Diet Adherence,283735.05983447586,2364458.8319539656
EAT-Lancet,Waste Rate,94578.35327815863,2364458.8319539656
