Baseline_Diet,Goal_Reference,Category,Total_emissions_tonnes_per_year
Amsterdam Theoretical,Monitor 2024,Red Meat,309310.3525819597
Amsterdam Theoretical,Monitor 2024,Poultry,49225.983566942654
Amsterdam Theoretical,Monitor 2024,Processed Meats,458333.1514544021
Amsterdam Theoretical,Monitor 2024,Dairy (Milk & Milkproducts),317024.89906814997
Amsterdam Theoretical,Monitor 2024,Cheese & Eggs,132972.29377161228
Amsterdam Theoretical,Monitor 2024,Fish,26864.6421676979
Amsterdam Theoretical,Monitor 2024,Plant Protein,50898.326826815995
Amsterdam Theoretical,Monitor 2024,Staples,368959.4135081473
Amsterdam Theoretical,Monitor 2024,Rice,35596.77400459478
Amsterdam Theoretical,Monitor 2024,Veg & Fruit,237761.34180114753
Amsterdam Theoretical,Monitor 2024,Ultra-Processed,282269.39779934246
Amsterdam Theoretical,Monitor 2024,Soups,36328.48739926875
Amsterdam Theoretical,Monitor 2024,Beverages & Additions,19746.865766208
Amsterdam Theoretical,Monitor 2024,Fats (Butter),41912.76763466845
Amsterdam Theoretical,Monitor 2024,Oils (Plant-based),80457.134790375
Amsterdam Theoretical,Monitor 2024,Condiments,18678.622835260496
Metropolitan,Monitor 2024,Red Meat,663802.5328530963
Metropolitan,Monitor 2024,Poultry,105484.2505005914
Metropolitan,Monitor 2024,Processed Meats,785713.9739218319
Metropolitan,Monitor 2024,Dairy (Milk & Milkproducts),243865.30697550002
Metropolitan,Monitor 2024,Cheese & Eggs,163844.68093400123
Metropolitan,Monitor 2024,Fish,40296.963251546855
Metropolitan,Monitor 2024,Plant Protein,22787.363612160003
Metropolitan,Monitor 2024,Staples,358451.7374050731
Metropolitan,Monitor 2024,Rice,28477.41920367582
Metropolitan,Monitor 2024,Veg & Fruit,177589.363536039
Metropolitan,Monitor 2024,Ultra-Processed,536111.5161778267
Metropolitan,Monitor 2024,Soups,21797.092439561246
Metropolitan,Monitor 2024,Beverages & Additions,25951.59313194
Metropolitan,Monitor 2024,Fats (Butter),73763.05346630795
Metropolitan,Monitor 2024,Oils (Plant-based),107276.17972049999
Metropolitan,Monitor 2024,Condiments,23928.87185961825
Metabolic Balance,Monitor 2024,Red Meat,971720.3971866004
Metabolic Balance,Monitor 2024,Poultry,140645.66733412186
Metabolic Balance,Monitor 2024,Processed Meats,196428.49348045798
