Baseline_Diet,Goal_Reference,Category,Total_emissions_tonnes_per_year
Monitor 2024,Dutch Goal,Red Meat,238829.66300226905
Monitor 2024,Dutch Goal,Poultry,43951.77104191308
Monitor 2024,Dutch Goal,Processed Meats,392856.98696091597
Monitor 2024,Dutch Goal,Dairy (Milk & Milkproducts),268251.83767305
Monitor 2024,Dutch Goal,Cheese & Eggs,127967.1198246801
Monitor 2024,Dutch Goal,Fish,59102.21276893539
Monitor 2024,Dutch Goal,Plant Protein,75990.61917216
Monitor 2024,Dutch Goal,Staples,373153.9759721682
Monitor 2024,Dutch Goal,Rice,42716.12880551373
Monitor 2024,Dutch Goal,Veg & Fruit,257997.08921327774
Monitor 2024,Dutch Goal,Ultra-Processed,250456.4662905154
Monitor 2024,Dutch Goal,Soups,29062.789919414998
Monitor 2024,Dutch Goal,Beverages & Additions,16927.673000594998
Monitor 2024,Dutch Goal,Fats (Butter),33530.21410773477
Monitor 2024,Dutch Goal,Oils (Plant-based),67047.6123253125
Monitor 2024,Dutch Goal,Condiments,15376.73841788175
Amsterdam Theoretical,Dutch Goal,Red Meat,309310.3525819597
Amsterdam Theoretical,Dutch Goal,Poultry,49225.983566942654
Amsterdam Theoretical,Dutch Goal,Processed Meats,458333.1514544021
Amsterdam Theoretical,Dutch Goal,Dairy (Milk & Milkproducts),317024.89906814997
Amsterdam Theoretical,Dutch Goal,Cheese & Eggs,132972.29377161228
Amsterdam Theoretical,Dutch Goal,Fish,26864.6421676979
Amsterdam Theoretical,Dutch Goal,Plant Protein,50898.326826815995
Amsterdam Theoretical,Dutch Goal,Staples,368959.4135081473
Amsterdam Theoretical,Dutch Goal,Rice,35596.77400459478
Amsterdam Theoretical,Dutch Goal,Veg & Fruit,237761.34180114753
Amsterdam Theoretical,Dutch Goal,Ultra-Processed,282269.39779934246
Amsterdam Theoretical,Dutch Goal,Soups,36328.48739926875
Amsterdam Theoretical,Dutch Goal,Beverages & Additions,19746.865766208
Amsterdam Theoretical,Dutch Goal,Fats (Butter),41912.76763466845
Amsterdam Theoretical,Dutch Goal,Oils (Plant-based),80457.134790375
Amsterdam Theoretical,Dutch Goal,Condiments,18678.622835260496
Metropolitan,Dutch Goal,Red Meat,663802.5328530963
Metropolitan,Dutch Goal,Poultry,105484.2505005914
Metropolitan,Dutch Goal,Processed Meats,785713.9739218319
Metropolitan,Dutch Goal,Dairy (Milk & Milkproducts),243865.30697550002
Metropolitan,Dutch Goal,Cheese & Eggs,163844.68093400123
Metropolitan,Dutch Goal,Fish,40296.963251546855
Metropolitan,Dutch Goal,Plant Protein,22787.363612160003
Metropolitan,Dutch Goal,Staples,358451.7374050731
Metropolitan,Dutch Goal,Rice,28477.41920367582
Metropolitan,Dutch Goal,Veg & Fruit,177589.363536039
Metropolitan,Dutch Goal,Ultra-Processed,536111.5161778267
Metropolitan,Dutch Goal,Soups,21797.092439561246
Metropolitan,Dutch Goal,Beverages & Additions,25951.59313194
Metropolitan,Dutch Goal,Fats (Butter),73763.05346630795
Metropolitan,Dutch Goal,Oils (Plant-based),107276.17972049999
Metropolitan,Dutch Goal,Condiments,23928.87185961825
Monitor 2024,Amsterdam Goal,Red Meat,238829.66300226905
Monitor 2024,Amsterdam Goal,Poultry,43951.77104191308
Monitor 2024,Amsterdam Goal,Processed Meats,392856.98696091597
Monitor 2024,Amsterdam Goal,Dairy (Milk & Milkproducts),268251.83767305
Monitor 2024,Amsterdam Goal,Cheese & Eggs,127967.1198246801
Monitor 2024,Amsterdam Goal,Fish,59102.21276893539
Monitor 2024,Amsterdam Goal,Plant Protein,75990.61917216
Monitor 2024,Amsterdam Goal,Staples,373153.9759721682
Monitor 2024,Amsterdam Goal,Rice,42716.12880551373
Monitor 2024,Amsterdam Goal,Veg & Fruit,257997.08921327774
Monitor 2024,Amsterdam Goal,Ultra-Processed,250456.4662905154
Monitor 2024,Amsterdam Goal,Soups,29062.789919414998
Monitor 2024,Amsterdam Goal,Beverages & Additions,16927.673000594998
Monitor 2024,Amsterdam Goal,Fats (Butter),33530.21410773477
Monitor 2024,Amsterdam Goal,Oils (Plant-based),67047.6123253125
Monitor 2024,Amsterdam Goal,Condiments,15376.73841788175
Amsterdam Theoretical,Amsterdam Goal,Red Meat,309310.3525819597
Amsterdam Theoretical,Amsterdam Goal,Poultry,49225.983566942654
Amsterdam Theoretical,Amsterdam Goal,Processed Meats,458333.1514544021
Amsterdam Theoretical,Amsterdam Goal,Dairy (Milk & Milkproducts),317024.89906814997
Amsterdam Theoretical,Amsterdam Goal,Cheese & Eggs,132972.29377161228
