Diet,Food_Item,Reference_grams_per_day,Diet_grams_per_day,Pct_of_reference
Monitor 2024,Beef,10,10,100.0
Monitor 2024,Pork,10,15,150.0
Monitor 2024,Chicken,25,25,100.0
Monitor 2024,Cheese,30,35,116.66666666666667
Monitor 2024,Milk,250,220,88.0
Monitor 2024,Fish,25,22,88.0
Monitor 2024,Eggs,20,28,140.0
Monitor 2024,Pulses,30,15,50.0
Monitor 2024,Nuts,25,15,60.0
Monitor 2024,Meat_Subs,20,20,100.0
Monitor 2024,Grains,240,230,95.83333333333334
Monitor 2024,Vegetables,250,160,64.0
Monitor 2024,Fruits,200,145,72.5
Monitor 2024,Potatoes,70,45,64.28571428571429
Monitor 2024,Sugar,25,35,140.0
Monitor 2024,Processed,60,140,233.33333333333334
Monitor 2024,Coffee,12,12,100.0
Monitor 2024,Tea,3,3,100.0
Monitor 2024,Alcohol,20,25,125.0
Monitor 2024,Oils,25,25,100.0
Monitor 2024,Snacks,35,45,128.57142857142858
Monitor 2024,Condiments,18,20,111.11111111111111
Monitor 2024,Rice,40,30,75.0
Monitor 2024,Bread,170,150,88.23529411764706
Monitor 2024,Pasta,30,30,100.0
Monitor 2024,Dairy,0,0,0.0
Monitor 2024,Butter,8,12,150.0
Monitor 2024,Animal_Fats,2,3,150.0
Monitor 2024,Frying_Oil_Animal,3,5,166.66666666666669
Monitor 2024,Ready_Meals,12,20,166.66666666666669
Monitor 2024,Instant_Noodles,4,8,200.0
Monitor 2024,Instant_Pasta,2,5,250.0
Monitor 2024,Condiment_Sauces,12,15,125.0
Monitor 2024,Spice_Mixes,4,3,75.0
Amsterdam Theoretical,Beef,10,12,120.0
Amsterdam Theoretical,Pork,10,20,200.0
Amsterdam Theoretical,Chicken,25,28,112.00000000000001
Amsterdam Theoretical,Cheese,30,40,133.33333333333331
Amsterdam Theoretical,Milk,250,260,104.0
Amsterdam Theoretical,Fish,25,10,40.0
Amsterdam Theoretical,Eggs,20,25,125.0
Amsterdam Theoretical,Pulses,30,8,26.666666666666668
Amsterdam Theoretical,Nuts,25,10,40.0
Amsterdam Theoretical,Meat_Subs,20,15,75.0
Amsterdam Theoretical,Grains,240,220,91.66666666666666
Amsterdam Theoretical,Vegetables,250,150,60.0
Amsterdam Theoretical,Fruits,200,130,65.0
Amsterdam Theoretical,Potatoes,70,50,71.42857142857143
Amsterdam Theoretical,Sugar,25,40,160.0
Amsterdam Theoretical,Processed,60,150,250.0
Amsterdam Theoretical,Coffee,12,12,100.0
Amsterdam Theoretical,Tea,3,4,133.33333333333331
Amsterdam Theoretical,Alcohol,20,30,150.0
Amsterdam Theoretical,Oils,25,30,120.0
Amsterdam Theoretical,Snacks,35,50,142.85714285714286
Amsterdam Theoretical,Condiments,18,25,138.88888888888889
Amsterdam Theoretical,Rice,40,25,62.5
Amsterdam Theoretical,Bread,170,140,82.35294117647058
Amsterdam Theoretical,Pasta,30,35,116.66666666666667
Amsterdam Theoretical,Dairy,0,0,0.0
Amsterdam Theoretical,Butter,8,15,187.5
Amsterdam Theoretical,Animal_Fats,2,4,200.0
Amsterdam Theoretical,Frying_Oil_Animal,3,6,200.0
Amsterdam Theoretical,Ready_Meals,12,25,208.33333333333334
Amsterdam Theoretical,Instant_Noodles,4,10,250.0
Amsterdam Theoretical,Instant_Pasta,2,6,300.0
Amsterdam Theoretical,Condiment_Sauces,12,18,150.0
Amsterdam Theoretical,Spice_Mixes,4,4,100.0
Metropolitan,Beef,10,45,450.0
Metropolitan,Pork,10,25,250.0
Metropolitan,Chicken,25,60,240.0
Metropolitan,Cheese,30,50,166.66666666666669
Metropolitan,Milk,250,200,80.0
Metropolitan,Fish,25,15,60.0
Metropolitan,Eggs,20,30,150.0
Metropolitan,Pulses,30,5,16.666666666666664
Metropolitan,Nuts,25,5,20.0
Metropolitan,Meat_Subs,20,5,25.0
Metropolitan,Grains,240,180,75.0
Metropolitan,Vegetables,250,110,44.0
Metropolitan,Fruits,200,100,50.0
Metropolitan,Potatoes,70,80,114.28571428571428
