diet,category,scope3_share_pct
1. Monitor 2024 (Current),Red Meat,15.743196956667493
1. Monitor 2024 (Current),Poultry,3.962672535673163
1. Monitor 2024 (Current),Dairy (Liquid),10.82219533880395
1. Monitor 2024 (Current),Dairy (Solid) & Eggs,10.151729364952121
1. Monitor 2024 (Current),Fish,4.128467110728914
1. Monitor 2024 (Current),Plant Protein,4.574837120494397
1. Monitor 2024 (Current),taples,0.0
1. Monitor 2024 (Current),Rice,2.3612062557390434
1. Monitor 2024 (Current),Veg & Fruit,12.660511011674854
1. Monitor 2024 (Current),Ultra-Processed,29.16636301359881
1. Monitor 2024 (Current),Beverages & Additions,1.25238671311344
1. Monitor 2024 (Current),"Fats (Solid, Animal)",2.5987844160387126
1. Monitor 2024 (Current),Oils (Plant-based),1.6397265664854468
1. Monitor 2024 (Current),Condiments,0.9379235960296753
3. Metropolitan (High Risk),Red Meat,33.06292258834142
3. Metropolitan (High Risk),Poultry,5.976054567560326
3. Metropolitan (High Risk),Dairy (Liquid),6.1821254147175795
3. Metropolitan (High Risk),Dairy (Solid) & Eggs,9.021323753328616
3. Metropolitan (High Risk),Fish,1.7687747714330853
3. Metropolitan (High Risk),Plant Protein,0.8448904733447359
3. Metropolitan (High Risk),taples,0.0
3. Metropolitan (High Risk),Rice,0.9891400663548128
3. Metropolitan (High Risk),Veg & Fruit,5.476905182223871
3. Metropolitan (High Risk),Ultra-Processed,29.788685794620633
3. Metropolitan (High Risk),Beverages & Additions,1.1672768653418601
3. Metropolitan (High Risk),"Fats (Solid, Animal)",3.192724325289701
3. Metropolitan (High Risk),Oils (Plant-based),1.648566777258021
3. Metropolitan (High Risk),Condiments,0.8806094201853262
9. Mediterranean Diet,Red Meat,12.324051218122827
9. Mediterranean Diet,Poultry,3.5912126740912584
9. Mediterranean Diet,Dairy (Liquid),11.145142781662525
9. Mediterranean Diet,Dairy (Solid) & Eggs,9.758191679944522
9. Mediterranean Diet,Fish,7.440414764424706
9. Mediterranean Diet,Plant Protein,8.66844438573752
9. Mediterranean Diet,taples,0.0
9. Mediterranean Diet,Rice,4.01225140139851
9. Mediterranean Diet,Veg & Fruit,24.643149039453807
9. Mediterranean Diet,Ultra-Processed,12.656754369308754
9. Mediterranean Diet,Beverages & Additions,1.3518645411090655
9. Mediterranean Diet,"Fats (Solid, Animal)",1.348975059647153
9. Mediterranean Diet,Oils (Plant-based),2.2290285563325045
9. Mediterranean Diet,Condiments,0.8305195287668521
