base_diet,goal_diet,gap_distance_pct
1. Monitor 2024 (Current),8. Schijf van 5 (Guideline),10.268890726851932
3. Metropolitan (High Risk),8. Schijf van 5 (Guideline),46.56368354045885
9. Mediterranean Diet,8. Schijf van 5 (Guideline),0.0
1. Monitor 2024 (Current),6. Amsterdam Goal (70:30),29.233776217094466
3. Metropolitan (High Risk),6. Amsterdam Goal (70:30),57.85757738490754
9. Mediterranean Diet,6. Amsterdam Goal (70:30),15.376344197206745
1. Monitor 2024 (Current),7. EAT-Lancet (Planetary),32.068676887105504
3. Metropolitan (High Risk),7. EAT-Lancet (Planetary),59.54580625626741
9. Mediterranean Diet,7. EAT-Lancet (Planetary),18.76637471897203
1. Monitor 2024 (Current),5. Dutch Goal (60:40),14.180458955609456
3. Metropolitan (High Risk),5. Dutch Goal (60:40),48.89308523200266
9. Mediterranean Diet,5. Dutch Goal (60:40),0.0
