base_diet,goal_diet,category,base_pct,goal_pct,delta_pct
1. Monitor 2024 (Current),8. Schijf van 5 (Guideline),Ultra-Processed,16.104392106938256,8.165680473372781,-7.938711633565475
1. Monitor 2024 (Current),8. Schijf van 5 (Guideline),Veg & Fruit,19.41438574156588,26.62721893491124,7.212833193345361
1. Monitor 2024 (Current),8. Schijf van 5 (Guideline),Plant Protein,3.1826861871419476,4.437869822485207,1.2551836353432595
1. Monitor 2024 (Current),8. Schijf van 5 (Guideline),Dairy (Solid) & Eggs,4.0101845957988544,2.9585798816568047,-1.0516047141420497
1. Monitor 2024 (Current),8. Schijf van 5 (Guideline),Dairy (Liquid),14.003819223424571,14.792899408284024,0.7890801848594524
1. Monitor 2024 (Current),8. Schijf van 5 (Guideline),"Fats (Solid, Animal)",1.273074474856779,0.7692307692307693,-0.5038437056260098
1. Monitor 2024 (Current),8. Schijf van 5 (Guideline),Beverages & Additions,2.546148949713558,2.0710059171597632,-0.47514303255379486
1. Monitor 2024 (Current),8. Schijf van 5 (Guideline),Rice,1.9096117122851686,2.366863905325444,0.4572521930402753
1. Monitor 2024 (Current),6. Amsterdam Goal (70:30),Veg & Fruit,19.41438574156588,28.827674567584882,9.413288826019002
1. Monitor 2024 (Current),6. Amsterdam Goal (70:30),Ultra-Processed,16.104392106938256,7.110826393337605,-8.993565713600653
1. Monitor 2024 (Current),6. Amsterdam Goal (70:30),Dairy (Liquid),14.003819223424571,6.406149903907751,-7.59766931951682
1. Monitor 2024 (Current),6. Amsterdam Goal (70:30),Plant Protein,3.1826861871419476,10.249839846252403,7.067153659110455
1. Monitor 2024 (Current),6. Amsterdam Goal (70:30),Dairy (Solid) & Eggs,4.0101845957988544,2.2421524663677133,-1.7680321294311412
1. Monitor 2024 (Current),6. Amsterdam Goal (70:30),Rice,1.9096117122851686,3.2030749519538757,1.2934632396687071
1. Monitor 2024 (Current),6. Amsterdam Goal (70:30),Red Meat,1.5913430935709738,0.6406149903907752,-0.9507281031801986
1. Monitor 2024 (Current),6. Amsterdam Goal (70:30),Poultry,1.5913430935709738,0.6406149903907752,-0.9507281031801986
1. Monitor 2024 (Current),7. EAT-Lancet (Planetary),Ultra-Processed,16.104392106938256,3.405572755417957,-12.6988193515203
1. Monitor 2024 (Current),7. EAT-Lancet (Planetary),Veg & Fruit,19.41438574156588,30.959752321981426,11.545366580415546
1. Monitor 2024 (Current),7. EAT-Lancet (Planetary),Plant Protein,3.1826861871419476,7.739938080495357,4.557251893353409
1. Monitor 2024 (Current),7. EAT-Lancet (Planetary),Dairy (Solid) & Eggs,4.0101845957988544,0.804953560371517,-3.2052310354273374
1. Monitor 2024 (Current),7. EAT-Lancet (Planetary),Rice,1.9096117122851686,3.7151702786377707,1.8055585663526021
1. Monitor 2024 (Current),7. EAT-Lancet (Planetary),Dairy (Liquid),14.003819223424571,15.479876160990713,1.4760569375661419
1. Monitor 2024 (Current),7. EAT-Lancet (Planetary),Beverages & Additions,2.546148949713558,1.3622291021671828,-1.1839198475463752
1. Monitor 2024 (Current),7. EAT-Lancet (Planetary),"Fats (Solid, Animal)",1.273074474856779,0.24767801857585137,-1.0253964562809277
1. Monitor 2024 (Current),5. Dutch Goal (60:40),Ultra-Processed,16.104392106938256,8.469449485783423,-7.634942621154833
1. Monitor 2024 (Current),5. Dutch Goal (60:40),Veg & Fruit,19.41438574156588,26.01330913490623,6.59892339334035
1. Monitor 2024 (Current),5. Dutch Goal (60:40),Plant Protein,3.1826861871419476,8.166969147005446,4.984282959863498
1. Monitor 2024 (Current),5. Dutch Goal (60:40),Dairy (Liquid),14.003819223424571,10.88929219600726,-3.114527027417312
1. Monitor 2024 (Current),5. Dutch Goal (60:40),Dairy (Solid) & Eggs,4.0101845957988544,2.4198427102238353,-1.590341885575019
1. Monitor 2024 (Current),5. Dutch Goal (60:40),Fish,1.4003819223424572,0.7259528130671506,-0.6744291092753065
1. Monitor 2024 (Current),5. Dutch Goal (60:40),"Fats (Solid, Animal)",1.273074474856779,0.6654567453115547,-0.6076177295452243
1. Monitor 2024 (Current),5. Dutch Goal (60:40),Rice,1.9096117122851686,2.4198427102238353,0.5102309979386668
3. Metropolitan (High Risk),8. Schijf van 5 (Guideline),Ultra-Processed,26.33085289066972,8.165680473372781,-18.16517241729694
3. Metropolitan (High Risk),8. Schijf van 5 (Guideline),Veg & Fruit,12.020606754436177,26.62721893491124,14.606612180475064
3. Metropolitan (High Risk),8. Schijf van 5 (Guideline),Plant Protein,0.8586147681740126,4.437869822485207,3.5792550543111945
3. Metropolitan (High Risk),8. Schijf van 5 (Guideline),Dairy (Liquid),11.448196908986835,14.792899408284024,3.3447024992971883
3. Metropolitan (High Risk),8. Schijf van 5 (Guideline),Red Meat,4.0068689181453925,1.183431952662722,-2.8234369654826708
3. Metropolitan (High Risk),8. Schijf van 5 (Guideline),Poultry,3.434459072696051,1.4792899408284024,-1.9551691318676485
3. Metropolitan (High Risk),8. Schijf van 5 (Guideline),Dairy (Solid) & Eggs,4.5792787635947345,2.9585798816568047,-1.6206988819379298
3. Metropolitan (High Risk),8. Schijf van 5 (Guideline),"Fats (Solid, Animal)",2.289639381797367,0.7692307692307693,-1.5204086125665977
3. Metropolitan (High Risk),6. Amsterdam Goal (70:30),Ultra-Processed,26.33085289066972,7.110826393337605,-19.220026497332118
3. Metropolitan (High Risk),6. Amsterdam Goal (70:30),Veg & Fruit,12.020606754436177,28.827674567584882,16.807067813148706
3. Metropolitan (High Risk),6. Amsterdam Goal (70:30),Plant Protein,0.8586147681740126,10.249839846252403,9.39122507807839
3. Metropolitan (High Risk),6. Amsterdam Goal (70:30),Dairy (Liquid),11.448196908986835,6.406149903907751,-5.042047005079084
3. Metropolitan (High Risk),6. Amsterdam Goal (70:30),Red Meat,4.0068689181453925,0.6406149903907752,-3.3662539277546175
3. Metropolitan (High Risk),6. Amsterdam Goal (70:30),Poultry,3.434459072696051,0.6406149903907752,-2.7938440823052755
