Baseline,Goal,Category,Baseline_scope3_tonnes_per_year,Goal_scope3_tonnes_per_year,Delta_tonnes_per_year,Delta_pct
Monitor 2024,Dutch Goal,Red Meat,372089.3965536569,225350.4536184615,-146738.9429351954,-39.43647529177441
Monitor 2024,Dutch Goal,Poultry,25889.399380852912,18640.367554214095,-7249.031826638817,-28.000000000000004
Monitor 2024,Dutch Goal,Processed Meats,0.0,0.0,0.0,0.0
Monitor 2024,Dutch Goal,Dairy (Milk & Milkproducts),183092.52412605,149802.97428495,-33289.5498411,-18.181818181818183
Monitor 2024,Dutch Goal,Cheese & Eggs,83975.42296125036,53510.095127108434,-30465.32783414192,-36.27886202871506
Monitor 2024,Dutch Goal,Fish,40339.60554070193,22003.421204019236,-18336.184336682694,-45.45454545454545
Monitor 2024,Dutch Goal,Plant Protein,65141.92968906001,169674.04919010002,104532.11950104001,160.46825754164792
Monitor 2024,Dutch Goal,Staples,300557.6286999969,361332.9066504545,60775.27795045759,20.220840247286066
Monitor 2024,Dutch Goal,Rice,34160.680976083226,45547.57463477764,11386.893658694411,33.33333333333334
Monitor 2024,Dutch Goal,Veg & Fruit,220380.85282306274,311739.769511982,91358.91668891924,41.455015496409125
Monitor 2024,Dutch Goal,Ultra-Processed,189089.54445865512,128300.04437898335,-60789.500079671765,-32.14852532100924
Monitor 2024,Dutch Goal,Soups,21051.607399515,26314.509249393748,5262.901849878748,24.999999999999993
Monitor 2024,Dutch Goal,Beverages & Additions,13220.497436894999,11284.717446135,-1935.7799907599983,-14.6422628951747
Monitor 2024,Dutch Goal,Fats (Butter),25399.701680580874,14844.607080052936,-10555.094600527938,-41.555978622369985
Monitor 2024,Dutch Goal,Oils (Plant-based),53618.9059940625,47184.637274775,-6434.268719287502,-12.000000000000004
Monitor 2024,Dutch Goal,Condiments,12354.89581602675,10167.244451469001,-2187.651364557749,-17.70675687705866
Monitor 2024,Amsterdam Goal,Red Meat,372089.3965536569,129543.97716473168,-242545.41938892522,-65.18471680069742
Monitor 2024,Amsterdam Goal,Poultry,25889.399380852912,10355.759752341166,-15533.639628511746,-60.0
Monitor 2024,Amsterdam Goal,Processed Meats,0.0,0.0,0.0,0.0
Monitor 2024,Amsterdam Goal,Dairy (Milk & Milkproducts),183092.52412605,83223.87460275,-99868.6495233,-54.54545454545454
Monitor 2024,Amsterdam Goal,Cheese & Eggs,83975.42296125036,46691.48600881468,-37283.93695243567,-44.39862954860017
Monitor 2024,Amsterdam Goal,Fish,40339.60554070193,27504.27650502404,-12835.329035677889,-31.818181818181824
Monitor 2024,Amsterdam Goal,Plant Protein,65141.92968906001,198740.07905136002,133598.1493623,205.08779828905895
Monitor 2024,Amsterdam Goal,Staples,300557.6286999969,355479.79534947156,54922.166649474646,18.273422932909643
Monitor 2024,Amsterdam Goal,Rice,34160.680976083226,56934.46829347205,22773.787317388822,66.66666666666669
Monitor 2024,Amsterdam Goal,Veg & Fruit,220380.85282306274,328422.67343235,108041.82060928724,49.02504878499169
Monitor 2024,Amsterdam Goal,Ultra-Processed,189089.54445865512,102197.10908098935,-86892.43537766577,-45.95306188209947
Monitor 2024,Amsterdam Goal,Soups,21051.607399515,31577.411099272496,10525.803699757496,49.999999999999986
Monitor 2024,Amsterdam Goal,Beverages & Additions,13220.497436894999,8876.724457629,-4343.772979265999,-32.85635052689961
Monitor 2024,Amsterdam Goal,Fats (Butter),25399.701680580874,9868.290286987864,-15531.41139359301,-61.14800712587668
Monitor 2024,Amsterdam Goal,Oils (Plant-based),53618.9059940625,42895.12479525,-10723.781198812503,-20.000000000000007
Monitor 2024,Amsterdam Goal,Condiments,12354.89581602675,9181.0232061765,-3173.8726098502502,-25.689189590195554
Monitor 2024,EAT-Lancet,Red Meat,372089.3965536569,73370.74330438167,-298718.65324927523,-80.28142054464557
Monitor 2024,EAT-Lancet,Poultry,25889.399380852912,30031.703281789385,4142.303900936473,16.00000000000003
Monitor 2024,EAT-Lancet,Processed Meats,0.0,0.0,0.0,0.0
Monitor 2024,EAT-Lancet,Dairy (Milk & Milkproducts),183092.52412605,208059.68650687498,24967.16238082497,13.63636363636362
Monitor 2024,EAT-Lancet,Cheese & Eggs,83975.42296125036,16828.109597554394,-67147.31336369595,-79.96067301105518
Monitor 2024,EAT-Lancet,Fish,40339.60554070193,51341.316142711556,11001.710602009625,27.272727272727295
Monitor 2024,EAT-Lancet,Plant Protein,65141.92968906001,161608.2992286,96466.36953953998,148.08644754615034
Monitor 2024,EAT-Lancet,Staples,300557.6286999969,307780.59006703575,7222.961367038835,2.4031868358425434
Monitor 2024,EAT-Lancet,Rice,34160.680976083226,68321.36195216645,34160.680976083226,100.0
Monitor 2024,EAT-Lancet,Veg & Fruit,220380.85282306274,370129.93323327,149749.08041020727,67.95013200644811
Monitor 2024,EAT-Lancet,Ultra-Processed,189089.54445865512,89888.30906921766,-99201.23538943745,-52.4625704046413
Monitor 2024,EAT-Lancet,Soups,21051.607399515,21051.607399515,0.0,0.0
Monitor 2024,EAT-Lancet,Beverages & Additions,13220.497436894999,6704.837967996,-6515.659468898999,-49.28452579034941
Monitor 2024,EAT-Lancet,Fats (Butter),25399.701680580874,4205.169180382718,-21194.532500198155,-83.44402137763002
Monitor 2024,EAT-Lancet,Oils (Plant-based),53618.9059940625,38605.612315725,-15013.293678337504,-28.000000000000007
Monitor 2024,EAT-Lancet,Condiments,12354.89581602675,8194.801960884,-4160.09385514275,-33.67162230333244
Monitor 2024,Schijf van Vijf (50-50),Red Meat,372089.3965536569,263918.60530640534,-108170.79124725156,-29.071183497606835
Monitor 2024,Schijf van Vijf (50-50),Poultry,25889.399380852912,25889.399380852912,0.0,0.0
Monitor 2024,Schijf van Vijf (50-50),Processed Meats,0.0,0.0,0.0,0.0
Monitor 2024,Schijf van Vijf (50-50),Dairy (Milk & Milkproducts),183092.52412605,208059.68650687498,24967.16238082497,13.63636363636362
Monitor 2024,Schijf van Vijf (50-50),Cheese & Eggs,83975.42296125036,66801.05409061542,-17174.368870634935,-20.451661051543475
Monitor 2024,Schijf van Vijf (50-50),Fish,40339.60554070193,45840.460841706736,5500.855301004805,13.636363636363628
Monitor 2024,Schijf van Vijf (50-50),Plant Protein,65141.92968906001,97463.58953478001,32321.65984572,49.61728950923007
Monitor 2024,Schijf van Vijf (50-50),Staples,300557.6286999969,339534.3164748256,38976.68777482869,12.968124596741967
Monitor 2024,Schijf van Vijf (50-50),Rice,34160.680976083226,45547.57463477764,11386.893658694411,33.33333333333334
Monitor 2024,Schijf van Vijf (50-50),Veg & Fruit,220380.85282306274,328422.67343235,108041.82060928724,49.02504878499169
Monitor 2024,Schijf van Vijf (50-50),Ultra-Processed,189089.54445865512,140810.31444254727,-48279.230016107846,-25.53246936752985
Monitor 2024,Schijf van Vijf (50-50),Soups,21051.607399515,26314.509249393748,5262.901849878748,24.999999999999993
Monitor 2024,Schijf van Vijf (50-50),Beverages & Additions,13220.497436894999,11284.717446135,-1935.7799907599983,-14.6422628951747
Monitor 2024,Schijf van Vijf (50-50),Fats (Butter),25399.701680580874,16218.21570713308,-9181.485973447794,-36.14800712587669
Monitor 2024,Schijf van Vijf (50-50),Oils (Plant-based),53618.9059940625,53618.9059940625,0.0,0.0
Monitor 2024,Schijf van Vijf (50-50),Condiments,12354.89581602675,10639.457449215,-1715.4383668117498,-13.884685005489775
Monitor 2024,Mediterranean Diet,Red Meat,372089.3965536569,218956.39316134207,-153133.00339231483,-41.15489578866093
Monitor 2024,Mediterranean Diet,Poultry,25889.399380852912,20711.519504682332,-5177.87987617058,-19.999999999999993
Monitor 2024,Mediterranean Diet,Processed Meats,0.0,0.0,0.0,0.0
Monitor 2024,Mediterranean Diet,Dairy (Milk & Milkproducts),183092.52412605,166447.7492055,-16644.77492055,-9.090909090909092
Monitor 2024,Mediterranean Diet,Cheese & Eggs,83975.42296125036,64212.11415253013,-19763.308808720227,-23.53463443445806
Monitor 2024,Mediterranean Diet,Fish,40339.60554070193,64176.645178389444,23837.039637687514,59.090909090909115
Monitor 2024,Mediterranean Diet,Plant Protein,65141.92968906001,124652.49940500001,59510.56971594,91.35524538496172
Monitor 2024,Mediterranean Diet,Staples,300557.6286999969,341183.95547706843,40626.32677707152,13.516984064850634
Monitor 2024,Mediterranean Diet,Rice,34160.680976083226,51241.02146412485,17080.340488041627,50.00000000000004
Monitor 2024,Mediterranean Diet,Veg & Fruit,220380.85282306274,382118.570676045,161737.71785298228,73.39009527421908
Monitor 2024,Mediterranean Diet,Ultra-Processed,189089.54445865512,91650.1593073655,-97439.38515128962,-51.53081595825356
Monitor 2024,Mediterranean Diet,Soups,21051.607399515,31577.411099272496,10525.803699757496,49.999999999999986
Monitor 2024,Mediterranean Diet,Beverages & Additions,13220.497436894999,14684.064429908998,1463.5669930139993,11.07043815862451
Monitor 2024,Mediterranean Diet,Fats (Butter),25399.701680580874,10555.094600527937,-14844.607080052938,-58.444021377630015
Monitor 2024,Mediterranean Diet,Oils (Plant-based),53618.9059940625,64342.687192875,10723.781198812496,19.999999999999993
Monitor 2024,Mediterranean Diet,Condiments,12354.89581602675,9181.0232061765,-3173.8726098502502,-25.689189590195554
