Category,1.Monitor,2.Theory,3.Metro,4.Meta,5.DuGoal,6.AmGoal,7.EAT,8.Schijf,9.Med
Red Meat,790689.9676765209,960868.8381003088,1814377.6822816308,1462186.3682835947,478869.71393923066,275280.9514750547,155912.82952181104,560827.0362761113,465282.33546785195
Poultry,55014.973684312434,61616.770526429944,132035.93684234985,176047.91578979982,39610.78105270495,22005.989473724978,63817.36947380242,55014.973684312434,44011.978947449956
Dairy (Milk & Milkproducts),311257.291014285,367849.52574415505,282961.17364934995,70740.29341233749,254665.05628441498,141480.58682467497,353701.4670616875,353701.4670616875,282961.17364934995
Cheese & Eggs,151773.93553498067,158051.7336940847,194813.91843339027,238825.8973808402,97406.95921669513,84527.36421547359,28607.786315842466,121289.54895477914,116888.35106003413
Fish,68577.32941919328,31171.513372360583,46757.270058540875,124686.05348944233,37405.8160468327,46757.270058540875,87280.23744260965,77928.78343090144,109100.29680326206
Plant Protein,75196.62026606625,50596.4495084895,22406.286768048754,46744.687276875,192245.31720736128,223127.97393495002,171708.8179303875,109538.38385214376,135434.9406035325
Staples,388143.8090348904,383524.66098671674,371140.5877704199,91299.9311100693,462726.08247422957,456159.3671908308,397045.5433828441,436394.94046494964,439639.51403961546
Rice,44671.65973795498,37226.38311496249,29781.106491969993,14890.553245984996,59562.212983939986,74452.76622992498,89343.31947590996,59562.212983939986,67007.48960693247
Veg & Fruit,256067.39690272123,236029.50762336754,176258.63415866997,264886.56123562495,362364.815770335,382059.910676325,431297.6479413,382059.910676325,444884.770376445
Ultra-Processed,272874.1624375815,307415.8210995903,583008.7612548505,46290.15673093003,184456.79137896514,146880.91045068533,122328.18136798003,203790.84511356393,130581.07898235758
Soups,32534.302344704996,40667.877930881245,24400.72675852874,48801.45351705748,40667.877930881245,48801.45351705748,32534.302344704996,40667.877930881245,48801.45351705748
Beverages & Additions,18012.2861640225,21041.341899564002,27672.85486791,16703.434920269996,15269.9311771125,11954.174692939501,8925.118957398,15269.9311771125,20181.2396536695
Fats (Butter),36448.25788911748,45560.322361396844,79444.97139261245,104915.57671399057,21028.810181171237,14251.880374928118,6307.38323566687,23363.944847207484,15419.447707946241
Oils (Plant-based),70117.03091531248,84140.437098375,112187.24946449997,98163.8432814375,61702.98720547499,56093.624732249984,50484.26225902499,70117.03091531248,84140.437098375
Condiments,16024.078798512748,19458.255157120497,24986.59350573225,12402.9236907975,13163.303937167999,11829.5221935345,10495.740449901,13736.705434430998,11829.5221935345
TOTAL,2587403.101820177,2805219.438217803,3922233.753698504,2817585.6500790515,2321146.4567865175,1995663.7460408946,2009790.0071608701,2523263.5928036585,2416164.0297074136
