Diet,Category,Scope3_tonnes_per_year
1.Monitor,Red Meat,131427.92250000002
1.Monitor,Poultry,32394.206249999992
1.Monitor,Dairy (Liquid),105882.77699999999
1.Monitor,Dairy (Solid) & Eggs,152382.3462
1.Monitor,Fish,28506.901499999996
1.Monitor,Plant Protein,25174.925999999992
1.Monitor,taples,0.0
1.Monitor,Rice,27766.462499999998
1.Monitor,Veg & Fruit,73118.35124999999
1.Monitor,Ultra-Processed,270445.34475000005
1.Monitor,Beverages & Additions,23990.223599999998
1.Monitor,"Fats (Solid, Animal)",94776.19200000001
1.Monitor,Oils (Plant-based),9255.487499999997
1.Monitor,Condiments,18881.194499999994
1.Monitor,TOTAL,994002.3355500001
2.Theory,Red Meat,161415.702
2.Theory,Poultry,36281.511
2.Theory,Dairy (Liquid),125134.19100000002
2.Theory,Dairy (Solid) & Eggs,168449.87249999997
2.Theory,Fish,12957.6825
2.Theory,Plant Protein,17659.470149999997
2.Theory,taples,0.0
2.Theory,Rice,23138.718749999996
2.Theory,Veg & Fruit,67009.72949999999
2.Theory,Ultra-Processed,302654.4412499999
2.Theory,Beverages & Additions,26359.628399999994
2.Theory,"Fats (Solid, Animal)",118470.23999999998
2.Theory,Oils (Plant-based),11106.584999999997
2.Theory,Condiments,22953.608999999997
2.Theory,TOTAL,1093591.3810499997
3.Metro,Red Meat,512754.0075
3.Metro,Poultry,77746.09499999999
3.Metro,Dairy (Liquid),96257.06999999998
3.Metro,Dairy (Solid) & Eggs,209544.23699999996
3.Metro,Fish,19436.523749999997
3.Metro,Plant Protein,6849.060749999999
3.Metro,taples,0.0
3.Metro,Rice,18510.974999999995
3.Metro,Veg & Fruit,50349.85199999999
3.Metro,Ultra-Processed,509051.8125
3.Metro,Beverages & Additions,36725.774399999995
3.Metro,"Fats (Solid, Animal)",192514.13999999998
3.Metro,Oils (Plant-based),14808.78
3.Metro,Condiments,29247.3405
3.Metro,TOTAL,1773795.6683999998
4.Meta,Red Meat,696012.6599999999
4.Meta,Poultry,103661.46
4.Meta,Dairy (Liquid),24064.267499999994
4.Meta,Dairy (Solid) & Eggs,225833.89499999996
4.Meta,Fish,51830.73
4.Meta,Plant Protein,5553.2925
4.Meta,taples,0.0
4.Meta,Rice,9255.487499999997
4.Meta,Veg & Fruit,70341.70499999999
4.Meta,Ultra-Processed,50905.18125
4.Meta,Beverages & Additions,25174.925999999996
4.Meta,"Fats (Solid, Animal)",251008.821
4.Meta,Oils (Plant-based),12957.6825
4.Meta,Condiments,14808.779999999999
4.Meta,TOTAL,1541408.8882499998
5.DuGoal,Red Meat,122172.435
