Diet,Category,Total_emissions_tonnes_per_year
Monitor 2024,Red Meat,232369.074
Monitor 2024,Poultry,108651.375
Monitor 2024,Dairy (Liquid),327917.898
Monitor 2024,Dairy (Solid) & Eggs,255795.92010000002
Monitor 2024,Fish,109778.12999999999
Monitor 2024,Plant Protein,62647.578
Monitor 2024,taples,0.0
Monitor 2024,Rice,48289.5
Monitor 2024,Veg & Fruit,194172.0795
Monitor 2024,Ultra-Processed,527723.7525000001
Monitor 2024,Beverages & Additions,226117.1934
Monitor 2024,"Fats (Solid, Animal)",208610.63999999996
Monitor 2024,Oils (Plant-based),32193.0
Monitor 2024,Condiments,41046.075
Monitor 2024,Staples,395507.1015
Amsterdam Theoretical,Red Meat,290651.2812
Amsterdam Theoretical,Poultry,121689.54
Amsterdam Theoretical,Dairy (Liquid),387539.334
Amsterdam Theoretical,Dairy (Solid) & Eggs,275346.729
Amsterdam Theoretical,Fish,49899.149999999994
Amsterdam Theoretical,Plant Protein,42594.5583
Amsterdam Theoretical,taples,0.0
Amsterdam Theoretical,Rice,40241.25
Amsterdam Theoretical,Veg & Fruit,178156.06200000003
Amsterdam Theoretical,Ultra-Processed,590162.076
Amsterdam Theoretical,Beverages & Additions,252225.71639999998
Amsterdam Theoretical,"Fats (Solid, Animal)",260763.29999999996
Amsterdam Theoretical,Oils (Plant-based),38631.6
Amsterdam Theoretical,Condiments,49899.149999999994
Amsterdam Theoretical,Staples,384593.67449999996
Metropolitan,Red Meat,794732.4945
Metropolitan,Poultry,260763.29999999996
Metropolitan,Dairy (Liquid),298107.18
Metropolitan,Dairy (Solid) & Eggs,341149.221
Metropolitan,Fish,74848.725
Metropolitan,Plant Protein,17754.4395
Metropolitan,taples,0.0
Metropolitan,Rice,32193.0
Metropolitan,Veg & Fruit,133697.529
Metropolitan,Ultra-Processed,986683.257
Metropolitan,Beverages & Additions,344117.4156
Metropolitan,"Fats (Solid, Animal)",424947.6
Metropolitan,Oils (Plant-based),51508.8
Metropolitan,Condiments,63581.17500000001
Metropolitan,Staples,351611.946
Metabolic Balance,Red Meat,1099004.634
Metabolic Balance,Poultry,347684.4
Metabolic Balance,Dairy (Liquid),74526.795
Metabolic Balance,Dairy (Solid) & Eggs,389696.265
Metabolic Balance,Fish,199596.59999999998
Metabolic Balance,Plant Protein,21987.819
Metabolic Balance,taples,0.0
Metabolic Balance,Rice,16096.5
Metabolic Balance,Veg & Fruit,189616.77
Metabolic Balance,Ultra-Processed,98977.37849999999
Metabolic Balance,Beverages & Additions,233367.057
Metabolic Balance,"Fats (Solid, Animal)",554363.46
Metabolic Balance,Oils (Plant-based),45070.2
Metabolic Balance,Condiments,32193.0
Metabolic Balance,Staples,99701.72100000002
Dutch Goal,Red Meat,202848.093
Dutch Goal,Poultry,78228.99
Dutch Goal,Dairy (Liquid),268296.46200000006
Dutch Goal,Dairy (Solid) & Eggs,170574.6105
Dutch Goal,Fish,59878.98
Dutch Goal,Plant Protein,162397.5885
Dutch Goal,taples,0.0
Dutch Goal,Rice,64386.0
Dutch Goal,Veg & Fruit,273608.3070000001
Dutch Goal,Ultra-Processed,290171.60549999995
Dutch Goal,Beverages & Additions,202712.8824
Dutch Goal,"Fats (Solid, Animal)",115894.8
Dutch Goal,Oils (Plant-based),28329.839999999997
Dutch Goal,Condiments,33802.65
Dutch Goal,Staples,452424.3254999999
Amsterdam Goal,Red Meat,101424.0465
Amsterdam Goal,Poultry,43460.55
Amsterdam Goal,Dairy (Liquid),149053.59
Amsterdam Goal,Dairy (Solid) & Eggs,143741.745
Amsterdam Goal,Fish,74848.725
Amsterdam Goal,Plant Protein,188007.12
Amsterdam Goal,taples,0.0
Amsterdam Goal,Rice,80482.5
Amsterdam Goal,Veg & Fruit,286034.805
Amsterdam Goal,Ultra-Processed,236167.848
Amsterdam Goal,Beverages & Additions,162478.07100000003
Amsterdam Goal,"Fats (Solid, Animal)",83057.94
Amsterdam Goal,Oils (Plant-based),25754.4
Amsterdam Goal,Condiments,30583.349999999995
Amsterdam Goal,Staples,456094.3275
EAT-Lancet,Red Meat,141993.6651
EAT-Lancet,Poultry,126035.595
EAT-Lancet,Dairy (Liquid),372633.975
EAT-Lancet,Dairy (Solid) & Eggs,31555.578600000004
EAT-Lancet,Fish,139717.62
EAT-Lancet,Plant Protein,112434.0525
EAT-Lancet,taples,0.0
EAT-Lancet,Rice,96579.0
EAT-Lancet,Veg & Fruit,317101.05000000005
EAT-Lancet,Ultra-Processed,104595.057
EAT-Lancet,Beverages & Additions,124947.47159999998
EAT-Lancet,"Fats (Solid, Animal)",40563.18
EAT-Lancet,Oils (Plant-based),23178.959999999995
EAT-Lancet,Condiments,27364.05
EAT-Lancet,Staples,409636.6092
Schijf van Vijf (50-50),Red Meat,202848.093
Schijf van Vijf (50-50),Poultry,108651.375
Schijf van Vijf (50-50),Dairy (Liquid),372633.975
Schijf van Vijf (50-50),Dairy (Solid) & Eggs,209544.23700000002
Schijf van Vijf (50-50),Fish,124747.875
Schijf van Vijf (50-50),Plant Protein,85134.3885
Schijf van Vijf (50-50),taples,0.0
Schijf van Vijf (50-50),Rice,64386.0
Schijf van Vijf (50-50),Veg & Fruit,286034.805
Schijf van Vijf (50-50),Ultra-Processed,295225.9065
Schijf van Vijf (50-50),Beverages & Additions,202712.8824
Schijf van Vijf (50-50),"Fats (Solid, Animal)",135210.6
Schijf van Vijf (50-50),Oils (Plant-based),32193.0
Schijf van Vijf (50-50),Condiments,35412.3
Schijf van Vijf (50-50),Staples,436826.817
Mediterranean Diet,Red Meat,162278.47439999998
Mediterranean Diet,Poultry,86921.1
Mediterranean Diet,Dairy (Liquid),298107.18
Mediterranean Diet,Dairy (Solid) & Eggs,204689.53260000004
Mediterranean Diet,Fish,174647.02500000002
Mediterranean Diet,Plant Protein,103468.302
Mediterranean Diet,taples,0.0
Mediterranean Diet,Rice,72434.25
Mediterranean Diet,Veg & Fruit,330171.40800000005
Mediterranean Diet,Ultra-Processed,208964.76299999998
Mediterranean Diet,Beverages & Additions,221268.9276
Mediterranean Diet,"Fats (Solid, Animal)",92715.84
Mediterranean Diet,Oils (Plant-based),38631.6
Mediterranean Diet,Condiments,30583.349999999995
Mediterranean Diet,Staples,444955.5495
