Diet,Category,Scope1+2_tonnes_per_year,Scope3_tonnes_per_year,Total_tonnes_per_year,Scope1+2_pct,Scope3_pct
Monitor 2024,Red Meat,83061.8775105,169451.51634232496,252513.39385282496,32.89404820993845,67.10595179006155
Monitor 2024,Poultry,16711.27899,42652.129156874995,59363.408146874994,28.150807899461398,71.8491921005386
Monitor 2024,Dairy (Liquid),57773.278794,116484.4354905,174257.7142845,33.153928955866526,66.84607104413348
Monitor 2024,Dairy (Solid) & Eggs,57630.0392598,109267.8913389,166897.9305987,34.53011014161064,65.46988985838935
Monitor 2024,Fish,15456.227833199999,44436.655020449994,59892.88285364999,25.806451612903224,74.19354838709677
Monitor 2024,Plant Protein,28392.1219575,49241.147730075,77633.269687575,36.57210635563902,63.42789364436098
Monitor 2024,taples,0.0,0.0,0.0,0.0,0.0
Monitor 2024,Rice,6650.406945,25414.785925199998,32065.192870199997,20.740268028079136,79.25973197192087
Monitor 2024,Veg & Fruit,23583.366166500004,136271.10138442498,159854.46755092498,14.753022876252759,85.24697712374724
Monitor 2024,Ultra-Processed,107651.3308815,313931.43669919507,421582.7675806951,25.535040604071767,74.46495939592822
Monitor 2024,Beverages & Additions,6213.8674122,13480.033831005,19693.901243205,31.55224216605623,68.44775783394377
Monitor 2024,"Fats (Solid, Animal)",67308.9392136,27971.952657179998,95280.89187077999,70.64264186872266,29.35735813127734
Monitor 2024,Oils (Plant-based),4774.651140000001,17649.1568925,22423.8080325,21.29277566539924,78.70722433460075
Monitor 2024,Condiments,26090.058015000002,10095.317742509997,36185.37575751,72.10111120536094,27.89888879463906
Amsterdam Theoretical,Red Meat,104387.5157808,212574.289683,316961.8054638,32.93378381286449,67.06621618713552
Amsterdam Theoretical,Poultry,18716.632468800002,47770.3846557,66487.01712450001,28.150807899461398,71.8491921005386
Amsterdam Theoretical,Dairy (Liquid),68277.511302,137663.4237615,205940.9350635,33.153928955866526,66.84607104413347
Amsterdam Theoretical,Dairy (Solid) & Eggs,64645.3659705,123779.42033939999,188424.7863099,34.30831327263842,65.69168672736157
Amsterdam Theoretical,Fish,7025.5581059999995,20198.479554750003,27224.037660750004,25.80645161290322,74.19354838709677
Amsterdam Theoretical,Plant Protein,20479.842925499997,33513.787921425,53993.63084692499,37.930108800353715,62.069891199646285
Amsterdam Theoretical,taples,0.0,0.0,0.0,0.0,0.0
Amsterdam Theoretical,Rice,5542.0057875,21178.988271,26720.9940585,20.740268028079132,79.25973197192087
Amsterdam Theoretical,Veg & Fruit,21724.662687000004,125309.01393675001,147033.67662375,14.775297187590608,85.22470281240939
Amsterdam Theoretical,Ultra-Processed,123970.40638499998,342750.548887215,466720.95527221495,26.561997052970177,73.43800294702983
Amsterdam Theoretical,Beverages & Additions,6984.6325247999985,14888.044347539999,21872.67687234,31.933139988149804,68.0668600118502
Amsterdam Theoretical,"Fats (Solid, Animal)",84136.174017,34757.07297363,118893.24699063,70.76615043041998,29.233849569580023
Amsterdam Theoretical,Oils (Plant-based),5729.581368000001,21178.988270999995,26908.569638999994,21.29277566539925,78.70722433460075
Amsterdam Theoretical,Condiments,31717.32543,12346.565755019998,44063.891185019995,71.9803099023235,28.019690097676502
Metropolitan,Red Meat,273621.614973,566341.8345059999,839963.449479,32.57541922124325,67.42458077875675
