Diet,Category,Scope3_kton
1. Monitor 2024 (Current),Red Meat,790689.9676765209
1. Monitor 2024 (Current),Poultry,55014.973684312434
1. Monitor 2024 (Current),Dairy (Milk & Milkproducts),311257.291014285
1. Monitor 2024 (Current),Cheese & Eggs,151773.93553498067
1. Monitor 2024 (Current),Fish,68577.32941919328
1. Monitor 2024 (Current),Plant Protein,75196.62026606625
1. Monitor 2024 (Current),Staples,388143.8090348904
1. Monitor 2024 (Current),Rice,44671.65973795498
1. Monitor 2024 (Current),Veg & Fruit,256067.39690272123
1. Monitor 2024 (Current),Ultra-Processed,272874.1624375815
1. Monitor 2024 (Current),Soups,32534.302344704996
1. Monitor 2024 (Current),Beverages & Additions,18012.2861640225
1. Monitor 2024 (Current),Fats (Butter),36448.25788911748
1. Monitor 2024 (Current),Oils (Plant-based),70117.03091531248
1. Monitor 2024 (Current),Condiments,16024.078798512748
2. Amsterdam Theoretical,Red Meat,960868.8381003088
2. Amsterdam Theoretical,Poultry,61616.770526429944
2. Amsterdam Theoretical,Dairy (Milk & Milkproducts),367849.52574415505
2. Amsterdam Theoretical,Cheese & Eggs,158051.7336940847
2. Amsterdam Theoretical,Fish,31171.513372360583
2. Amsterdam Theoretical,Plant Protein,50596.4495084895
2. Amsterdam Theoretical,Staples,383524.66098671674
2. Amsterdam Theoretical,Rice,37226.38311496249
2. Amsterdam Theoretical,Veg & Fruit,236029.50762336754
2. Amsterdam Theoretical,Ultra-Processed,307415.8210995903
2. Amsterdam Theoretical,Soups,40667.877930881245
2. Amsterdam Theoretical,Beverages & Additions,21041.341899564002
2. Amsterdam Theoretical,Fats (Butter),45560.322361396844
2. Amsterdam Theoretical,Oils (Plant-based),84140.437098375
2. Amsterdam Theoretical,Condiments,19458.255157120497
3. Metropolitan (High Risk),Red Meat,1814377.6822816308
3. Metropolitan (High Risk),Poultry,132035.93684234985
3. Metropolitan (High Risk),Dairy (Milk & Milkproducts),282961.17364934995
3. Metropolitan (High Risk),Cheese & Eggs,194813.91843339027
3. Metropolitan (High Risk),Fish,46757.270058540875
3. Metropolitan (High Risk),Plant Protein,22406.286768048754
3. Metropolitan (High Risk),Staples,371140.5877704199
3. Metropolitan (High Risk),Rice,29781.106491969993
3. Metropolitan (High Risk),Veg & Fruit,176258.63415866997
3. Metropolitan (High Risk),Ultra-Processed,583008.7612548505
3. Metropolitan (High Risk),Soups,24400.72675852874
3. Metropolitan (High Risk),Beverages & Additions,27672.85486791
3. Metropolitan (High Risk),Fats (Butter),79444.97139261245
3. Metropolitan (High Risk),Oils (Plant-based),112187.24946449997
3. Metropolitan (High Risk),Condiments,24986.59350573225
4. Metabolic Balance,Red Meat,1462186.3682835947
4. Metabolic Balance,Poultry,176047.91578979982
4. Metabolic Balance,Dairy (Milk & Milkproducts),70740.29341233749
4. Metabolic Balance,Cheese & Eggs,238825.8973808402
4. Metabolic Balance,Fish,124686.05348944233
4. Metabolic Balance,Plant Protein,46744.687276875
4. Metabolic Balance,Staples,91299.9311100693
4. Metabolic Balance,Rice,14890.553245984996
4. Metabolic Balance,Veg & Fruit,264886.56123562495
4. Metabolic Balance,Ultra-Processed,46290.15673093003
4. Metabolic Balance,Soups,48801.45351705748
4. Metabolic Balance,Beverages & Additions,16703.434920269996
4. Metabolic Balance,Fats (Butter),104915.57671399057
4. Metabolic Balance,Oils (Plant-based),98163.8432814375
4. Metabolic Balance,Condiments,12402.9236907975
5. Dutch Goal (60:40),Red Meat,478869.71393923066
5. Dutch Goal (60:40),Poultry,39610.78105270495
5. Dutch Goal (60:40),Dairy (Milk & Milkproducts),254665.05628441498
