Baseline_Diet,Goal_Diet,Baseline_total_tonnes,Goal_total_tonnes,Reduction_pct
Monitor 2024 (Current),Dutch Goal (60:40),3563071.8811120423,2730760.537395903,23.359375603064546
Monitor 2024 (Current),Amsterdam Goal (70:30),3563071.8811120423,2347839.7012245823,34.10630546999191
Monitor 2024 (Current),EAT-Lancet (Planetary),3563071.8811120423,2364458.8319539656,33.63987842939579
Monitor 2024 (Current),Schijf van 5 (Guideline),3563071.8811120423,3143769.8620213214,11.767992145021108
Metropolitan (High Risk),Dutch Goal (60:40),4890827.900090504,2730760.537395903,44.165679243275555
Metropolitan (High Risk),Amsterdam Goal (70:30),4890827.900090504,2347839.7012245823,51.995045640818084
Metropolitan (High Risk),EAT-Lancet (Planetary),4890827.900090504,2364458.8319539656,51.65524364678193
Metropolitan (High Risk),Schijf van 5 (Guideline),4890827.900090504,3143769.8620213214,35.72111049004308
Mediterranean Diet,Dutch Goal (60:40),2828724.154868815,2730760.537395903,3.4631732226098006
Mediterranean Diet,Amsterdam Goal (70:30),2828724.154868815,2347839.7012245823,17.000047629830995
Mediterranean Diet,EAT-Lancet (Planetary),2828724.154868815,2364458.8319539656,16.412534326323534
Mediterranean Diet,Schijf van 5 (Guideline),2828724.154868815,3143769.8620213214,-11.137378192576607
