Goal_Diet,Category,Baseline_tonnes,Goal_tonnes,Delta_kton,Delta_pct
Dutch Goal (60:40),Red Meat,1229780.86775539,563376.1340461537,-666.4047337092362,-54.18890073689029
Dutch Goal (60:40),Poultry,122677.05809116087,46600.91888553524,-76.07613920562564,-62.01333842640221
Dutch Goal (60:40),Dairy (Milk & Milkproducts),382358.58562634164,299605.9485699,-82.75263705644163,-21.64267788596522
Dutch Goal (60:40),Cheese & Eggs,186912.51589416055,114596.4226078766,-72.31609328628396,-38.68980787098978
Dutch Goal (60:40),Fish,84242.62319224208,44006.84240803847,-40.23578078420361,-47.76178525731014
Dutch Goal (60:40),Plant Protein,90527.00544526456,226170.961420425,135.64395597516048,149.8381121831927
Dutch Goal (60:40),Staples,470427.3422721846,544383.62644027,73.95628416808538,15.721085388207515
Dutch Goal (60:40),Rice,144479.34014143806,70073.19174581175,-74.40614839562632,-51.49950735017643
Dutch Goal (60:40),Veg & Fruit,308399.87225544924,426311.5479651,117.91167570965074,38.233373719423554
Dutch Goal (60:40),Ultra-Processed,332683.29023353336,217007.9898576061,-115.67530037592726,-34.77039688249049
Dutch Goal (60:40),Soups,39797.14117861731,47844.56227162499,8.047421093007681,20.22110346290777
Dutch Goal (60:40),Beverages & Additions,21894.99518822928,17964.624914250002,-3.9303702739792787,-17.950998573830425
Dutch Goal (60:40),Fats (Butter),44424.45800912936,24739.776683730874,-19.684681325398486,-44.31045916497895
Dutch Goal (60:40),Oils (Plant-based),85041.01721382214,72591.7496535,-12.449267560322143,-14.639132936310528
Dutch Goal (60:40),Condiments,19425.768615078945,15486.239926080001,-3.939528688998944,-20.279911529168256
Amsterdam Goal (70:30),Red Meat,1229780.86775539,323859.94291182916,-905.9209248435609,-73.66523163570255
Amsterdam Goal (70:30),Poultry,122677.05809116087,25889.399380852912,-96.78765871030797,-78.89629912577901
Amsterdam Goal (70:30),Dairy (Milk & Milkproducts),382358.58562634164,166447.7492055,-215.91083642084163,-56.468154381091786
Amsterdam Goal (70:30),Cheese & Eggs,186912.51589416055,99443.95790055714,-87.46855799360341,-46.796522734268144
Amsterdam Goal (70:30),Fish,84242.62319224208,55008.55301004808,-29.234070182194003,-34.70223157163768
Amsterdam Goal (70:30),Plant Protein,90527.00544526456,262503.498747,171.97649330173545,189.97258603204077
Amsterdam Goal (70:30),Staples,470427.3422721846,536658.0790480362,66.23073677585164,14.078845089223401
Amsterdam Goal (70:30),Rice,144479.34014143806,87591.48968226468,-56.88785045917338,-39.37438418772055
Amsterdam Goal (70:30),Veg & Fruit,308399.87225544924,449482.2478545,141.08237559905078,45.74657394221989
Amsterdam Goal (70:30),Ultra-Processed,332683.29023353336,172801.07111845337,-159.88221911508,-48.058385800755914
Amsterdam Goal (70:30),Soups,39797.14117861731,57413.47472594999,17.61633354733268,44.26532415548933
Amsterdam Goal (70:30),Beverages & Additions,21894.99518822928,14063.73493287,-7.831260255359281,-35.767353169227256
Amsterdam Goal (70:30),Fats (Butter),44424.45800912936,16766.918088150727,-27.657539920978635,-62.25746167864315
Amsterdam Goal (70:30),Oils (Plant-based),85041.01721382214,65992.49968499999,-19.04851752882215,-22.39921176028231
Amsterdam Goal (70:30),Condiments,19425.768615078945,13917.08493357,-5.508683681508945,-28.357609887481704
EAT-Lancet (Planetary),Red Meat,1229780.86775539,183426.85826095415,-1046.3540094944358,-85.0845900216559
EAT-Lancet (Planetary),Poultry,122677.05809116087,75079.25820447344,-47.597799886687426,-38.79926746475912
EAT-Lancet (Planetary),Dairy (Milk & Milkproducts),382358.58562634164,416119.37301374995,33.760787387408314,8.829614047270514
EAT-Lancet (Planetary),Cheese & Eggs,186912.51589416055,33656.21919510879,-153.25629669905175,-81.9935978957307
EAT-Lancet (Planetary),Fish,84242.62319224208,102682.63228542311,18.440009093181025,21.88916773294302
EAT-Lancet (Planetary),Plant Protein,90527.00544526456,202010.37403575,111.48336859048544,123.14929455817662
EAT-Lancet (Planetary),Staples,470427.3422721846,467112.40397981653,-3.3149382923680824,-0.7046653105571598
EAT-Lancet (Planetary),Rice,144479.34014143806,105109.78761871762,-39.36955252272045,-27.249261025264666
EAT-Lancet (Planetary),Veg & Fruit,308399.87225544924,507408.99757800007,199.00912532255083,64.52957449921072
EAT-Lancet (Planetary),Ultra-Processed,332683.29023353336,143915.5074917412,-188.76778274179216,-56.74098708392689
EAT-Lancet (Planetary),Soups,39797.14117861731,38275.6498173,-1.5214913613173122,-3.823117229673767
EAT-Lancet (Planetary),Beverages & Additions,21894.99518822928,10500.13994988,-11.394855238349281,-52.04319590111231
EAT-Lancet (Planetary),Fats (Butter),44424.45800912936,7420.450865490437,-37.00400714363893,-83.2964740639818
EAT-Lancet (Planetary),Oils (Plant-based),85041.01721382214,59393.249716499995,-25.647767497322143,-30.159290584254073
EAT-Lancet (Planetary),Condiments,19425.768615078945,12347.92994106,-7.077838674018945,-36.43530824579515
Schijf van 5 (Guideline),Red Meat,1229780.86775539,804716.0425742733,-425.0648251811167,-34.564273711376714
Schijf van 5 (Guideline),Poultry,122677.05809116087,64723.49845213227,-57.9535596390286,-47.24074781444752
Schijf van 5 (Guideline),Dairy (Milk & Milkproducts),382358.58562634164,416119.37301374995,33.760787387408314,8.829614047270514
Schijf van 5 (Guideline),Cheese & Eggs,186912.51589416055,172998.5164202614,-13.913999473899137,-7.444124010281879
Schijf van 5 (Guideline),Fish,84242.62319224208,91680.92168341347,7.438298491171387,8.829614047270526
Schijf van 5 (Guideline),Plant Protein,90527.00544526456,128868.686884875,38.34168143961045,42.35386032159544
Schijf van 5 (Guideline),Staples,470427.3422721846,513405.81231170555,42.978470039520936,9.136048477100214
Schijf van 5 (Guideline),Rice,144479.34014143806,70073.19174581175,-74.40614839562632,-51.49950735017643
Schijf van 5 (Guideline),Veg & Fruit,308399.87225544924,449482.2478545,141.08237559905078,45.74657394221989
Schijf van 5 (Guideline),Ultra-Processed,332683.29023353336,239753.9354277223,-92.92935480581107,-27.93327994940099
Schijf van 5 (Guideline),Soups,39797.14117861731,47844.56227162499,8.047421093007681,20.22110346290777
Schijf van 5 (Guideline),Beverages & Additions,21894.99518822928,17964.624914250002,-3.9303702739792787,-17.950998573830425
Schijf van 5 (Guideline),Fats (Butter),44424.45800912936,27486.993937891162,-16.9374640712382,-38.12643942163008
Schijf van 5 (Guideline),Oils (Plant-based),85041.01721382214,82490.62460625,-2.5503926075721393,-2.9990147003528684
Schijf van 5 (Guideline),Condiments,19425.768615078945,16160.82992286,-3.2649386922189443,-16.807256160173694
