Focus_Diet,Scenario,Scope1+2_kton,Scope3_kton,Total_kton
Monitor 2024,Baseline (Monitor),1750.0,1813.071881112042,3563.071881112042
Monitor 2024,Dutch Goal,1135.063165739026,1595.6973716568764,2730.7605373959022
Monitor 2024,Amsterdam Goal,906.3476281379619,1441.4920730866204,2347.8397012245823
Monitor 2024,EAT-Lancet,908.3367507458607,1456.1220812081046,2364.4588319539657
Monitor 2024,Schijf van Vijf (50-50),1375.133640391703,1738.3312922149792,3113.4649326066824
Metropolitan,Baseline (Monitor),2309.381841482245,2305.0108099277595,4614.392651410004
Metropolitan,Dutch Goal,1135.063165739026,1595.6973716568764,2730.7605373959022
Metropolitan,Amsterdam Goal,906.3476281379619,1441.4920730866204,2347.8397012245823
Metropolitan,EAT-Lancet,908.3367507458607,1456.1220812081046,2364.4588319539657
Metropolitan,Schijf van Vijf (50-50),1375.133640391703,1738.3312922149792,3113.4649326066824
Mediterranean Diet,Baseline (Monitor),1186.8550092420307,1655.6909080608089,2842.5459173028394
Mediterranean Diet,Dutch Goal,1135.063165739026,1595.6973716568764,2730.7605373959022
Mediterranean Diet,Amsterdam Goal,906.3476281379619,1441.4920730866204,2347.8397012245823
Mediterranean Diet,EAT-Lancet,908.3367507458607,1456.1220812081046,2364.4588319539657
Mediterranean Diet,Schijf van Vijf (50-50),1375.133640391703,1738.3312922149792,3113.4649326066824
