Diet,Parameter,Impact_kton,Total_kton
Monitor 2024,Impact Factors,356307.18811120425,3563071.8811120423
Monitor 2024,Diet Adherence,427568.62573344505,3563071.8811120423
Monitor 2024,Waste Rate,142522.8752444817,3563071.8811120423
Schijf van Vijf (50-50),Impact Factors,311346.49326066824,3113464.932606682
Schijf van Vijf (50-50),Diet Adherence,373615.79191280185,3113464.932606682
Schijf van Vijf (50-50),Waste Rate,124538.59730426728,3113464.932606682
Amsterdam Goal,Impact Factors,234783.97012245824,2347839.7012245823
Amsterdam Goal,Diet Adherence,281740.76414694986,2347839.7012245823
Amsterdam Goal,Waste Rate,93913.58804898329,2347839.7012245823
EAT-Lancet,Impact Factors,236445.88319539657,2364458.8319539656
EAT-Lancet,Diet Adherence,283735.05983447586,2364458.8319539656
EAT-Lancet,Waste Rate,94578.35327815863,2364458.8319539656
