diet,category,mass_share_pct
1. Monitor 2024 (Current),Red Meat,4.8749198203976905
1. Monitor 2024 (Current),Poultry,2.886465683130212
1. Monitor 2024 (Current),Dairy (Milk & Milkproducts),14.111610006414368
1. Monitor 2024 (Current),Cheese & Eggs,4.041051956382296
1. Monitor 2024 (Current),Fish,1.4111610006414368
1. Monitor 2024 (Current),Plant Protein,3.207184092366902
1. Monitor 2024 (Current),Staples,29.185375240538807
1. Monitor 2024 (Current),Rice,5.131494547787043
1. Monitor 2024 (Current),Veg & Fruit,19.563822963438103
1. Monitor 2024 (Current),Ultra-Processed,7.6972418216805645
1. Monitor 2024 (Current),Soups,1.2828736369467608
1. Monitor 2024 (Current),Beverages & Additions,2.5657472738935216
1. Monitor 2024 (Current),Fats (Butter),1.2828736369467608
1. Monitor 2024 (Current),Oils (Plant-based),1.603592046183451
1. Monitor 2024 (Current),Condiments,1.1545862732520846
3. Metropolitan (High Risk),Red Meat,8.453350031308704
3. Metropolitan (High Risk),Poultry,3.757044458359424
3. Metropolitan (High Risk),Dairy (Milk & Milkproducts),12.523481527864746
3. Metropolitan (High Risk),Cheese & Eggs,5.009392611145898
3. Metropolitan (High Risk),Fish,0.939261114589856
3. Metropolitan (High Risk),Plant Protein,0.939261114589856
3. Metropolitan (High Risk),Staples,26.29931120851597
3. Metropolitan (High Risk),Rice,1.2523481527864746
3. Metropolitan (High Risk),Veg & Fruit,13.149655604257985
3. Metropolitan (High Risk),Ultra-Processed,16.28052598622417
3. Metropolitan (High Risk),Soups,0.939261114589856
3. Metropolitan (High Risk),Beverages & Additions,3.757044458359424
3. Metropolitan (High Risk),Fats (Butter),2.504696305572949
3. Metropolitan (High Risk),Oils (Plant-based),2.504696305572949
3. Metropolitan (High Risk),Condiments,1.6906700062617408
9. Mediterranean Diet,Red Meat,2.2326674500587544
9. Mediterranean Diet,Poultry,1.1750881316098707
9. Mediterranean Diet,Dairy (Milk & Milkproducts),11.750881316098708
9. Mediterranean Diet,Cheese & Eggs,2.82021151586369
9. Mediterranean Diet,Fish,2.056404230317274
9. Mediterranean Diet,Plant Protein,5.875440658049354
9. Mediterranean Diet,Staples,30.25851938895417
9. Mediterranean Diet,Rice,2.6439482961222094
9. Mediterranean Diet,Veg & Fruit,30.552291421856637
9. Mediterranean Diet,Ultra-Processed,3.231492361927144
9. Mediterranean Diet,Soups,1.762632197414806
9. Mediterranean Diet,Beverages & Additions,2.526439482961222
9. Mediterranean Diet,Fats (Butter),0.5287896592244419
9. Mediterranean Diet,Oils (Plant-based),1.762632197414806
9. Mediterranean Diet,Condiments,0.8225616921269095
