diet,category,scope3_share_pct
1. Monitor 2024 (Current),Red Meat,25.765812221662582
1. Monitor 2024 (Current),Poultry,2.5702742053973453
1. Monitor 2024 (Current),Dairy (Milk & Milkproducts),10.098470227984054
1. Monitor 2024 (Current),Cheese & Eggs,4.631665398160843
1. Monitor 2024 (Current),Fish,2.224931397422575
1. Monitor 2024 (Current),Plant Protein,3.592903864854239
1. Monitor 2024 (Current),Staples,16.57725939225591
1. Monitor 2024 (Current),Rice,5.024353982793133
1. Monitor 2024 (Current),Veg & Fruit,12.155108416765739
1. Monitor 2024 (Current),Ultra-Processed,10.42923595189605
1. Monitor 2024 (Current),Soups,1.1611016429532324
1. Monitor 2024 (Current),Beverages & Additions,0.7291766848640466
1. Monitor 2024 (Current),Fats (Butter),1.400920831941977
1. Monitor 2024 (Current),Oils (Plant-based),2.957351363321321
1. Monitor 2024 (Current),Condiments,0.6814344177269416
2. Amsterdam Theoretical,Red Meat,25.96915732979643
2. Amsterdam Theoretical,Poultry,1.6653007616714677
2. Amsterdam Theoretical,Dairy (Milk & Milkproducts),12.42721928966297
2. Amsterdam Theoretical,Cheese & Eggs,4.991436400141117
2. Amsterdam Theoretical,Fish,1.0530806896796492
2. Amsterdam Theoretical,Plant Protein,2.4923502081986215
2. Amsterdam Theoretical,Staples,17.082587320383045
2. Amsterdam Theoretical,Rice,1.6349254576669674
2. Amsterdam Theoretical,Veg & Fruit,11.661414536079368
2. Amsterdam Theoretical,Ultra-Processed,12.24614162837534
2. Amsterdam Theoretical,Soups,1.5112905193418495
2. Amsterdam Theoretical,Beverages & Additions,0.8840128340515251
2. Amsterdam Theoretical,Fats (Butter),1.8234393039677097
2. Amsterdam Theoretical,Oils (Plant-based),3.6953185112433937
2. Amsterdam Theoretical,Condiments,0.862325209740524
3. Metropolitan (High Risk),Red Meat,37.042116591579166
3. Metropolitan (High Risk),Poultry,2.6956298099094087
3. Metropolitan (High Risk),Dairy (Milk & Milkproducts),7.221126620691057
3. Metropolitan (High Risk),Cheese & Eggs,4.642936588118254
3. Metropolitan (High Risk),Fish,1.1932385039828095
3. Metropolitan (High Risk),Plant Protein,0.8538107422878767
3. Metropolitan (High Risk),Staples,12.601478195467527
3. Metropolitan (High Risk),Rice,0.9880121698042085
3. Metropolitan (High Risk),Veg & Fruit,6.581277542062951
3. Metropolitan (High Risk),Ultra-Processed,17.60803208731952
3. Metropolitan (High Risk),Soups,0.6849731672248025
3. Metropolitan (High Risk),Beverages & Additions,0.8767147562389671
3. Metropolitan (High Risk),Fats (Butter),2.456873990444596
3. Metropolitan (High Risk),Oils (Plant-based),3.7219022670522186
3. Metropolitan (High Risk),Condiments,0.8318769678166585
4. Metabolic Balance,Red Meat,42.83536516967548
4. Metabolic Balance,Poultry,5.15739780084842
4. Metabolic Balance,Dairy (Milk & Milkproducts),2.5904583422601637
4. Metabolic Balance,Cheese & Eggs,8.273990051051165
4. Metabolic Balance,Fish,4.56591302982765
4. Metabolic Balance,Plant Protein,2.738810582125283
