base_diet,goal_diet,gap_distance_pct
1. Monitor 2024 (Current),1. Monitor 2024 (Current),0.0
2. Amsterdam Theoretical,1. Monitor 2024 (Current),0.0
3. Metropolitan (High Risk),1. Monitor 2024 (Current),27.14787856170306
4. Metabolic Balance,1. Monitor 2024 (Current),0.0
5. Dutch Goal (60:40),1. Monitor 2024 (Current),0.0
6. Amsterdam Goal (70:30),1. Monitor 2024 (Current),0.0
7. EAT-Lancet (Planetary),1. Monitor 2024 (Current),0.0
8. Schijf van 5 (Guideline),1. Monitor 2024 (Current),0.0
9. Mediterranean Diet,1. Monitor 2024 (Current),0.0
1. Monitor 2024 (Current),2. Amsterdam Theoretical,7.376043124362585
2. Amsterdam Theoretical,2. Amsterdam Theoretical,0.0
3. Metropolitan (High Risk),2. Amsterdam Theoretical,32.52148245600485
4. Metabolic Balance,2. Amsterdam Theoretical,0.43889391120732524
5. Dutch Goal (60:40),2. Amsterdam Theoretical,0.0
6. Amsterdam Goal (70:30),2. Amsterdam Theoretical,0.0
7. EAT-Lancet (Planetary),2. Amsterdam Theoretical,0.0
8. Schijf van 5 (Guideline),2. Amsterdam Theoretical,0.0
9. Mediterranean Diet,2. Amsterdam Theoretical,0.0
1. Monitor 2024 (Current),3. Metropolitan (High Risk),0.0
2. Amsterdam Theoretical,3. Metropolitan (High Risk),0.0
3. Metropolitan (High Risk),3. Metropolitan (High Risk),0.0
4. Metabolic Balance,3. Metropolitan (High Risk),0.0
5. Dutch Goal (60:40),3. Metropolitan (High Risk),0.0
6. Amsterdam Goal (70:30),3. Metropolitan (High Risk),0.0
7. EAT-Lancet (Planetary),3. Metropolitan (High Risk),0.0
8. Schijf van 5 (Guideline),3. Metropolitan (High Risk),0.0
9. Mediterranean Diet,3. Metropolitan (High Risk),0.0
1. Monitor 2024 (Current),4. Metabolic Balance,6.9677301565617675
2. Amsterdam Theoretical,4. Metabolic Balance,0.0
3. Metropolitan (High Risk),4. Metabolic Balance,32.22401779685428
4. Metabolic Balance,4. Metabolic Balance,0.0
5. Dutch Goal (60:40),4. Metabolic Balance,0.0
6. Amsterdam Goal (70:30),4. Metabolic Balance,0.0
7. EAT-Lancet (Planetary),4. Metabolic Balance,0.0
8. Schijf van 5 (Guideline),4. Metabolic Balance,0.0
9. Mediterranean Diet,4. Metabolic Balance,0.0
1. Monitor 2024 (Current),5. Dutch Goal (60:40),23.359375603064546
2. Amsterdam Theoretical,5. Dutch Goal (60:40),17.256153826555
3. Metropolitan (High Risk),5. Dutch Goal (60:40),44.165679243275555
4. Metabolic Balance,5. Dutch Goal (60:40),17.61931152930901
5. Dutch Goal (60:40),5. Dutch Goal (60:40),0.0
6. Amsterdam Goal (70:30),5. Dutch Goal (60:40),0.0
7. EAT-Lancet (Planetary),5. Dutch Goal (60:40),0.0
8. Schijf van 5 (Guideline),5. Dutch Goal (60:40),13.137390545498443
9. Mediterranean Diet,5. Dutch Goal (60:40),3.4631732226098006
1. Monitor 2024 (Current),6. Amsterdam Goal (70:30),34.10630546999191
2. Amsterdam Theoretical,6. Amsterdam Goal (70:30),28.85890783258051
3. Metropolitan (High Risk),6. Amsterdam Goal (70:30),51.995045640818084
4. Metabolic Balance,6. Amsterdam Goal (70:30),29.17114175446971
5. Dutch Goal (60:40),6. Amsterdam Goal (70:30),14.02249779603451
6. Amsterdam Goal (70:30),6. Amsterdam Goal (70:30),0.0
7. EAT-Lancet (Planetary),6. Amsterdam Goal (70:30),0.7028724926307741
8. Schijf van 5 (Guideline),6. Amsterdam Goal (70:30),25.317698041833985
9. Mediterranean Diet,6. Amsterdam Goal (70:30),17.000047629830995
1. Monitor 2024 (Current),7. EAT-Lancet (Planetary),33.63987842939579
2. Amsterdam Theoretical,7. EAT-Lancet (Planetary),28.355337205358904
3. Metropolitan (High Risk),7. EAT-Lancet (Planetary),51.65524364678193
4. Metabolic Balance,7. EAT-Lancet (Planetary),28.669781268069606
5. Dutch Goal (60:40),7. EAT-Lancet (Planetary),13.413907972730868
6. Amsterdam Goal (70:30),7. EAT-Lancet (Planetary),0.0
7. EAT-Lancet (Planetary),7. EAT-Lancet (Planetary),0.0
8. Schijf van 5 (Guideline),7. EAT-Lancet (Planetary),24.789061040437904
9. Mediterranean Diet,7. EAT-Lancet (Planetary),16.412534326323534
1. Monitor 2024 (Current),8. Schijf van 5 (Guideline),11.767992145021108
2. Amsterdam Theoretical,8. Schijf van 5 (Guideline),4.741698766503163
3. Metropolitan (High Risk),8. Schijf van 5 (Guideline),35.72111049004308
4. Metabolic Balance,8. Schijf van 5 (Guideline),5.159781650536513
5. Dutch Goal (60:40),8. Schijf van 5 (Guideline),0.0
6. Amsterdam Goal (70:30),8. Schijf van 5 (Guideline),0.0
7. EAT-Lancet (Planetary),8. Schijf van 5 (Guideline),0.0
8. Schijf van 5 (Guideline),8. Schijf van 5 (Guideline),0.0
9. Mediterranean Diet,8. Schijf van 5 (Guideline),0.0
1. Monitor 2024 (Current),9. Mediterranean Diet,20.609961032109062
2. Amsterdam Theoretical,9. Mediterranean Diet,14.287791575904215
3. Metropolitan (High Risk),9. Mediterranean Diet,42.16267240120084
4. Metabolic Balance,9. Mediterranean Diet,14.663977239838905
5. Dutch Goal (60:40),9. Mediterranean Diet,0.0
6. Amsterdam Goal (70:30),9. Mediterranean Diet,0.0
7. EAT-Lancet (Planetary),9. Mediterranean Diet,0.0
8. Schijf van 5 (Guideline),9. Mediterranean Diet,10.02127130737058
9. Mediterranean Diet,9. Mediterranean Diet,0.0
