base_diet,goal_diet,gap_distance_pct
1. Monitor 2024 (Current),8. Schijf van 5 (Guideline),12.618520296734426
3. Metropolitan (High Risk),8. Schijf van 5 (Guideline),32.5270914763764
9. Mediterranean Diet,8. Schijf van 5 (Guideline),0.0
1. Monitor 2024 (Current),6. Amsterdam Goal (70:30),34.10630546999191
3. Metropolitan (High Risk),6. Amsterdam Goal (70:30),49.11920422491223
9. Mediterranean Diet,6. Amsterdam Goal (70:30),17.403631479334607
1. Monitor 2024 (Current),7. EAT-Lancet (Planetary),33.63987842939579
3. Metropolitan (High Risk),7. EAT-Lancet (Planetary),48.75904565183751
9. Mediterranean Diet,7. EAT-Lancet (Planetary),16.81897493506487
1. Monitor 2024 (Current),5. Dutch Goal (60:40),23.359375603064546
3. Metropolitan (High Risk),5. Dutch Goal (60:40),40.820802569511
9. Mediterranean Diet,5. Dutch Goal (60:40),3.932579566313742
