Baseline,Goal,Category,Baseline_scope3_tonnes_per_year,Goal_scope3_tonnes_per_year,Delta_tonnes_per_year,Delta_pct
Monitor 2024,Dutch Goal,Red Meat,467152.6963310942,225350.4536184615,-241802.2427126327,-51.760857769138404
Monitor 2024,Dutch Goal,Poultry,46600.91888553525,18640.367554214095,-27960.551331321152,-60.00000000000001
Monitor 2024,Dutch Goal,Dairy (Milk & Milkproducts),183092.52412605,149802.97428495,-33289.5498411,-18.181818181818183
Monitor 2024,Dutch Goal,Cheese & Eggs,83975.42296125036,53510.095127108434,-30465.32783414192,-36.27886202871506
Monitor 2024,Dutch Goal,Fish,40339.60554070193,22003.421204019236,-18336.184336682694,-45.45454545454545
Monitor 2024,Dutch Goal,Plant Protein,65141.92968906001,169674.04919010002,104532.11950104001,160.46825754164792
Monitor 2024,Dutch Goal,Staples,300557.6286999969,361332.9066504545,60775.27795045759,20.220840247286066
Monitor 2024,Dutch Goal,Rice,91095.14926955527,45547.57463477764,-45547.57463477764,-50.0
Monitor 2024,Dutch Goal,Veg & Fruit,220380.85282306274,311739.769511982,91358.91668891924,41.455015496409125
Monitor 2024,Dutch Goal,Ultra-Processed,189089.54445865512,128300.04437898335,-60789.500079671765,-32.14852532100924
Monitor 2024,Dutch Goal,Soups,21051.607399515,26314.509249393748,5262.901849878748,24.999999999999993
Monitor 2024,Dutch Goal,Beverages & Additions,13220.497436894999,11284.717446135,-1935.7799907599983,-14.6422628951747
Monitor 2024,Dutch Goal,Fats (Butter),25399.701680580874,14844.607080052936,-10555.094600527938,-41.555978622369985
Monitor 2024,Dutch Goal,Oils (Plant-based),53618.9059940625,47184.637274775,-6434.268719287502,-12.000000000000004
Monitor 2024,Dutch Goal,Condiments,12354.89581602675,10167.244451469001,-2187.651364557749,-17.70675687705866
Monitor 2024,Amsterdam Goal,Red Meat,467152.6963310942,129543.97716473168,-337608.71916636254,-72.2694574638787
Monitor 2024,Amsterdam Goal,Poultry,46600.91888553525,10355.759752341166,-36245.15913319408,-77.77777777777779
