Diet,Category,Total_emissions_tonnes_per_year
Monitor 2024 (Current),Red Meat,1297147.874093064
Monitor 2024 (Current),Poultry,129397.26846896479
Monitor 2024 (Current),Dairy (Milk & Milkproducts),399960.81765889656
Monitor 2024 (Current),Cheese & Eggs,196005.49731267022
Monitor 2024 (Current),Fish,88120.81046514421
Monitor 2024 (Current),Plant Protein,92769.40432774583
Monitor 2024 (Current),Staples,485432.8383967563
Monitor 2024 (Current),Rice,149195.04991922027
Monitor 2024 (Current),Veg & Fruit,316175.0608232454
Monitor 2024 (Current),Ultra-Processed,345367.6902388469
Monitor 2024 (Current),Soups,41453.03397174794
Monitor 2024 (Current),Beverages & Additions,22661.259754484272
Monitor 2024 (Current),Fats (Butter),46105.01601653213
Monitor 2024 (Current),Oils (Plant-based),87816.69957778629
Monitor 2024 (Current),Condiments,20050.37645218128
Amsterdam Theoretical,Red Meat,1130433.927176834
Amsterdam Theoretical,Poultry,72490.31826638816
Amsterdam Theoretical,Dairy (Milk & Milkproducts),432764.1479343
Amsterdam Theoretical,Cheese & Eggs,185943.21611068788
Amsterdam Theoretical,Fish,36672.36867336539
Amsterdam Theoretical,Plant Protein,59525.23471586999
Amsterdam Theoretical,Staples,451205.4835137845
Amsterdam Theoretical,Rice,43795.74484113234
Amsterdam Theoretical,Veg & Fruit,277681.77367455006
Amsterdam Theoretical,Ultra-Processed,361665.67188187095
Amsterdam Theoretical,Soups,47844.56227162499
Amsterdam Theoretical,Beverages & Additions,24754.519881840002
Amsterdam Theoretical,Fats (Butter),53600.37924870217
Amsterdam Theoretical,Oils (Plant-based),98988.74952749998
Amsterdam Theoretical,Condiments,22892.064890729995
Metropolitan (High Risk),Red Meat,2134561.9791548597
Metropolitan (High Risk),Poultry,155336.3962851175
Metropolitan (High Risk),Dairy (Milk & Milkproducts),332895.498411
Metropolitan (High Risk),Cheese & Eggs,229192.8452157532
Metropolitan (High Risk),Fish,55008.55301004808
Metropolitan (High Risk),Plant Protein,26360.337374175004
Metropolitan (High Risk),Staples,436635.98561225866
Metropolitan (High Risk),Rice,35036.59587290588
Metropolitan (High Risk),Veg & Fruit,207363.09901019998
Metropolitan (High Risk),Ultra-Processed,962327.9089803244
Metropolitan (High Risk),Soups,28706.737362974996
Metropolitan (High Risk),Beverages & Additions,32556.2998446
Metropolitan (High Risk),Fats (Butter),93464.67222660291
Metropolitan (High Risk),Oils (Plant-based),131984.99936999998
Metropolitan (High Risk),Condiments,29395.992359685
Metabolic Balance,Red Meat,1720219.2568042295
Metabolic Balance,Poultry,207115.1950468233
Metabolic Balance,Dairy (Milk & Milkproducts),83223.87460275
Metabolic Balance,Cheese & Eggs,280971.64397745905
Metabolic Balance,Fish,146689.47469346155
Metabolic Balance,Plant Protein,54993.7497375
Metabolic Balance,Staples,107411.68365890504
Metabolic Balance,Rice,17518.29793645294
Metabolic Balance,Veg & Fruit,311631.2485125
Metabolic Balance,Ultra-Processed,54459.00791874122
Metabolic Balance,Soups,57413.47472594999
Metabolic Balance,Beverages & Additions,19651.099906199997
Metabolic Balance,Fats (Butter),123430.09025175363
Metabolic Balance,Oils (Plant-based),115486.87444875001
Metabolic Balance,Condiments,14591.67493035
Dutch Goal (60:40),Red Meat,563376.1340461537
Dutch Goal (60:40),Poultry,46600.91888553524
Dutch Goal (60:40),Dairy (Milk & Milkproducts),299605.9485699
Dutch Goal (60:40),Cheese & Eggs,114596.4226078766
Dutch Goal (60:40),Fish,44006.84240803847
Dutch Goal (60:40),Plant Protein,226170.961420425
Dutch Goal (60:40),Staples,544383.62644027
Dutch Goal (60:40),Rice,70073.19174581175
Dutch Goal (60:40),Veg & Fruit,426311.5479651
Dutch Goal (60:40),Ultra-Processed,217007.9898576061
Dutch Goal (60:40),Soups,47844.56227162499
Dutch Goal (60:40),Beverages & Additions,17964.624914250002
Dutch Goal (60:40),Fats (Butter),24739.776683730874
Dutch Goal (60:40),Oils (Plant-based),72591.7496535
Dutch Goal (60:40),Condiments,15486.239926080001
Amsterdam Goal (70:30),Red Meat,323859.94291182916
Amsterdam Goal (70:30),Poultry,25889.399380852912
Amsterdam Goal (70:30),Dairy (Milk & Milkproducts),166447.7492055
Amsterdam Goal (70:30),Cheese & Eggs,99443.95790055714
Amsterdam Goal (70:30),Fish,55008.55301004808
Amsterdam Goal (70:30),Plant Protein,262503.498747
Amsterdam Goal (70:30),Staples,536658.0790480362
Amsterdam Goal (70:30),Rice,87591.48968226468
Amsterdam Goal (70:30),Veg & Fruit,449482.2478545
Amsterdam Goal (70:30),Ultra-Processed,172801.07111845337
Amsterdam Goal (70:30),Soups,57413.47472594999
