Diet,Category,Scope1+2_tonnes_per_year,Scope3_tonnes_per_year,Total_tonnes_per_year,Scope1+2_pct,Scope3_pct
Monitor 2024 (Current),Red Meat,762628.1714242958,467152.6963310942,1229780.86775539,62.01333842640221,37.98666157359779
Monitor 2024 (Current),Poultry,76076.13920562563,46600.91888553525,122677.05809116087,62.01333842640221,37.98666157359779
Monitor 2024 (Current),Dairy (Milk & Milkproducts),199266.0615002916,183092.52412605,382358.58562634164,52.114969819200965,47.885030180799035
Monitor 2024 (Current),Cheese & Eggs,102937.09293291021,83975.42296125036,186912.51589416055,55.07233822222931,44.9276617777707
Monitor 2024 (Current),Fish,43903.017651540154,40339.60554070193,84242.62319224208,52.114969819200965,47.885030180799035
Monitor 2024 (Current),Plant Protein,25385.075756204547,65141.92968906001,90527.00544526456,28.041439823780713,71.9585601762193
Monitor 2024 (Current),Staples,169869.7135721877,300557.6286999969,470427.3422721846,36.10965994274686,63.89034005725315
Monitor 2024 (Current),Rice,53384.190871882776,91095.14926955527,144479.34014143806,36.949359555229364,63.050640444770636
Monitor 2024 (Current),Veg & Fruit,88019.01943238651,220380.85282306274,308399.87225544924,28.540549899929886,71.45945010007011
Monitor 2024 (Current),Ultra-Processed,143593.74577487822,189089.54445865512,332683.29023353336,43.162295790113134,56.837704209886866
Monitor 2024 (Current),Soups,18745.533779102316,21051.607399515,39797.14117861731,47.10271447632058,52.89728552367943
Monitor 2024 (Current),Beverages & Additions,8674.49775133428,13220.497436894999,21894.99518822928,39.61863282800664,60.38136717199335
Monitor 2024 (Current),Fats (Butter),19024.756328548487,25399.701680580874,44424.45800912936,42.82495990077997,57.17504009922002
Monitor 2024 (Current),Oils (Plant-based),31422.111219759638,53618.9059940625,85041.01721382214,36.949359555229364,63.050640444770636
Monitor 2024 (Current),Condiments,7070.872799052197,12354.89581602675,19425.768615078945,36.39944930448489,63.600550695515125
Amsterdam Theoretical,Red Meat,678260.3563061005,452173.5708707337,1130433.927176834,60.00000000000001,40.00000000000001
Amsterdam Theoretical,Poultry,43494.19095983289,28996.127306555267,72490.31826638816,60.0,40.0
Amsterdam Theoretical,Dairy (Milk & Milkproducts),216382.07396715,216382.07396715,432764.1479343,50.0,50.0
Amsterdam Theoretical,Cheese & Eggs,99032.59393827172,86910.62217241614,185943.21611068788,53.259589679958964,46.74041032004103
Amsterdam Theoretical,Fish,18336.184336682694,18336.184336682694,36672.36867336539,50.0,50.0
Amsterdam Theoretical,Plant Protein,16128.566923013997,43396.667792855995,59525.23471586999,27.095343680709533,72.90465631929047
Amsterdam Theoretical,Staples,153764.39174966956,297441.0917641149,451205.4835137845,34.07857337021304,65.92142662978696
Amsterdam Theoretical,Rice,15328.510694396318,28467.234146736024,43795.74484113234,35.0,65.0
Amsterdam Theoretical,Veg & Fruit,74633.85089375252,203047.92278079753,277681.77367455006,26.87747557433325,73.12252442566674
Amsterdam Theoretical,Ultra-Processed,148436.51241516194,213229.159466709,361665.67188187095,41.04246655282368,58.95753344717632
Amsterdam Theoretical,Soups,21530.053022231245,26314.509249393748,47844.56227162499,44.99999999999999,55.00000000000001
Amsterdam Theoretical,Beverages & Additions,9362.135955312,15392.383926528,24754.519881840002,37.81990521327014,62.18009478672985
Amsterdam Theoretical,Fats (Butter),21850.752147976087,31749.627100726088,53600.37924870217,40.76604019271964,59.23395980728036
Amsterdam Theoretical,Oils (Plant-based),34646.06233462499,64342.687192875,98988.74952749998,35.0,65.00000000000001
Amsterdam Theoretical,Condiments,7877.3047123994975,15014.760178330498,22892.064890729995,34.410634208840484,65.58936579115951
Metropolitan (High Risk),Red Meat,1280737.187492916,853824.791661944,2134561.9791548597,60.00000000000001,40.00000000000001
Metropolitan (High Risk),Poultry,93201.83777107048,62134.55851404699,155336.3962851175,60.0,40.0
Metropolitan (High Risk),Dairy (Milk & Milkproducts),166447.7492055,166447.7492055,332895.498411,50.0,50.0
Metropolitan (High Risk),Cheese & Eggs,122172.65496153633,107020.19025421687,229192.8452157532,53.30561468728562,46.69438531271438
Metropolitan (High Risk),Fish,27504.27650502404,27504.27650502404,55008.55301004808,50.0,50.0
Metropolitan (High Risk),Plant Protein,6679.907468115,19680.429906060002,26360.337374175004,25.340751043115432,74.65924895688457
Metropolitan (High Risk),Staples,146170.55099604253,290465.4346162161,436635.98561225866,33.47652410991265,66.52347589008734
Metropolitan (High Risk),Rice,12262.808555517056,22773.78731738882,35036.59587290588,35.0,64.99999999999999
Metropolitan (High Risk),Veg & Fruit,55663.940234301,151699.15877589898,207363.09901019998,26.843705799151348,73.15629420084865
Metropolitan (High Risk),Ultra-Processed,404421.479177786,557906.4298025384,962327.9089803244,42.02532997367893,57.974670026321064
Metropolitan (High Risk),Soups,12918.031813338748,15788.705549636248,28706.737362974996,45.0,55.00000000000001
Metropolitan (High Risk),Beverages & Additions,12347.92994106,20208.36990354,32556.2998446,37.92792792792793,62.07207207207207
Metropolitan (High Risk),Fats (Butter),36833.46116055145,56631.21106605145,93464.67222660291,39.408966278991045,60.59103372100895
Metropolitan (High Risk),Oils (Plant-based),46194.749779499994,85790.2495905,131984.99936999998,35.0,65.00000000000001
Metropolitan (High Risk),Condiments,10221.138326211747,19174.85403347325,29395.992359685,34.770516338238956,65.22948366176105
Metabolic Balance,Red Meat,1032131.5540825375,688087.7027216919,1720219.2568042295,59.999999999999986,40.00000000000001
Metabolic Balance,Poultry,124269.11702809396,82846.07801872933,207115.1950468233,59.999999999999986,40.0
Metabolic Balance,Dairy (Milk & Milkproducts),41611.937301375,41611.937301375,83223.87460275,50.0,50.0
Metabolic Balance,Cheese & Eggs,148062.05434238925,132909.5896350698,280971.64397745905,52.6964401981673,47.3035598018327
Metabolic Balance,Fish,73344.73734673078,73344.73734673078,146689.47469346155,50.0,50.0
Metabolic Balance,Plant Protein,10998.7499475,43994.99979,54993.7497375,20.0,80.0
Metabolic Balance,Staples,37594.08928061676,69817.59437828828,107411.68365890504,35.0,65.00000000000001
Metabolic Balance,Rice,6131.404277758528,11386.89365869441,17518.29793645294,35.0,64.99999999999999
Metabolic Balance,Veg & Fruit,84859.022094945,226772.226417555,311631.2485125,27.230588235294118,72.76941176470588
Metabolic Balance,Ultra-Processed,22717.423571973548,31741.584346767668,54459.00791874122,41.71472165976733,58.28527834023266
Metabolic Balance,Soups,25836.063626677496,31577.411099272496,57413.47472594999,45.0,55.00000000000001
Metabolic Balance,Beverages & Additions,7185.8499657,12465.249940499998,19651.099906199997,36.56716417910448,63.43283582089552
Metabolic Balance,Fats (Butter),48351.56393966432,75078.52631208932,123430.09025175363,39.173238746762856,60.82676125323715
Metabolic Balance,Oils (Plant-based),40420.4060570625,75066.46839168751,115486.87444875001,35.0,65.0
Metabolic Balance,Condiments,4938.4387264275,9653.2362039225,14591.67493035,33.84422110552764,66.15577889447238
Dutch Goal (60:40),Red Meat,338025.68042769225,225350.4536184615,563376.1340461537,60.0,40.0
Dutch Goal (60:40),Poultry,27960.55133132114,18640.367554214095,46600.91888553524,60.0,40.0
Dutch Goal (60:40),Dairy (Milk & Milkproducts),149802.97428495,149802.97428495,299605.9485699,50.0,50.0
Dutch Goal (60:40),Cheese & Eggs,61086.32748076817,53510.095127108434,114596.4226078766,53.30561468728562,46.69438531271438
Dutch Goal (60:40),Fish,22003.421204019236,22003.421204019236,44006.84240803847,50.0,50.0
Dutch Goal (60:40),Plant Protein,56496.912230325,169674.04919010002,226170.961420425,24.97973739666072,75.02026260333928
Dutch Goal (60:40),Staples,183050.71978981548,361332.9066504545,544383.62644027,33.625316945475745,66.37468305452425
Dutch Goal (60:40),Rice,24525.617111034113,45547.57463477764,70073.19174581175,35.0,64.99999999999999
Dutch Goal (60:40),Veg & Fruit,114571.77845311801,311739.769511982,426311.5479651,26.875128998968012,73.12487100103199
Dutch Goal (60:40),Ultra-Processed,88707.94547862274,128300.04437898335,217007.9898576061,40.877732445164874,59.122267554835126
Dutch Goal (60:40),Soups,21530.053022231245,26314.509249393748,47844.56227162499,44.99999999999999,55.00000000000001
Dutch Goal (60:40),Beverages & Additions,6679.9074681150005,11284.717446135,17964.624914250002,37.18367346938775,62.816326530612244
Dutch Goal (60:40),Fats (Butter),9895.169603677936,14844.607080052936,24739.776683730874,39.997004541213585,60.002995458786415
Dutch Goal (60:40),Oils (Plant-based),25407.112378724996,47184.637274775,72591.7496535,35.0,65.0
Dutch Goal (60:40),Condiments,5318.995474611,10167.244451469001,15486.239926080001,34.34659090909091,65.6534090909091
Amsterdam Goal (70:30),Red Meat,194315.96574709748,129543.97716473168,323859.94291182916,60.0,40.00000000000001
Amsterdam Goal (70:30),Poultry,15533.639628511744,10355.759752341166,25889.399380852912,59.999999999999986,40.0
Amsterdam Goal (70:30),Dairy (Milk & Milkproducts),83223.87460275,83223.87460275,166447.7492055,50.0,50.0
Amsterdam Goal (70:30),Cheese & Eggs,52752.47189174247,46691.48600881468,99443.95790055714,53.0474379795848,46.95256202041521
