Diet,Food_Type,CO2_pct
Monitor 2024,Plant-based,31.247854393407433
Monitor 2024,Animal,39.90208727866478
Monitor 2024,Mixed (Dairy/Eggs),0.0
Monitor 2024,Processed,28.85005832792778
Dutch Goal,Plant-based,49.05340687625818
Dutch Goal,Animal,23.948782267205935
Dutch Goal,Mixed (Dairy/Eggs),0.0
Dutch Goal,Processed,26.99781085653588
Amsterdam Goal,Plant-based,59.72417172626518
Amsterdam Goal,Animal,17.239588166586383
Amsterdam Goal,Mixed (Dairy/Eggs),0.0
Amsterdam Goal,Processed,23.03624010714844
EAT-Lancet,Plant-based,56.716352799450775
EAT-Lancet,Animal,15.275746985722218
EAT-Lancet,Mixed (Dairy/Eggs),0.0
EAT-Lancet,Processed,28.007900214826993
