Diet,Category,Pct_of_reference,Diet_mass_grams,Reference_mass_grams
Monitor 2024 (Current),Red Meat,143.39622641509433,76.0,53.0
Monitor 2024 (Current),Poultry,180.0,45.0,25.0
Monitor 2024 (Current),Dairy (Milk & Milkproducts),88.0,220.0,250.0
Monitor 2024 (Current),Cheese & Eggs,105.0,63.0,60.0
Monitor 2024 (Current),Fish,88.0,22.0,25.0
Monitor 2024 (Current),Plant Protein,66.66666666666666,50.0,75.0
Monitor 2024 (Current),Staples,89.2156862745098,455.0,510.0
Monitor 2024 (Current),Rice,200.0,80.0,40.0
Monitor 2024 (Current),Veg & Fruit,67.77777777777779,305.0,450.0
Monitor 2024 (Current),Ultra-Processed,133.33333333333331,120.0,90.0
Monitor 2024 (Current),Soups,80.0,20.0,25.0
Monitor 2024 (Current),Beverages & Additions,114.28571428571428,40.0,35.0
Monitor 2024 (Current),Fats (Butter),153.84615384615387,20.0,13.0
Monitor 2024 (Current),Oils (Plant-based),100.0,25.0,25.0
Monitor 2024 (Current),Condiments,112.5,18.0,16.0
Metropolitan (High Risk),Red Meat,254.7169811320755,135.0,53.0
Metropolitan (High Risk),Poultry,240.0,60.0,25.0
Metropolitan (High Risk),Dairy (Milk & Milkproducts),80.0,200.0,250.0
Metropolitan (High Risk),Cheese & Eggs,133.33333333333331,80.0,60.0
Metropolitan (High Risk),Fish,60.0,15.0,25.0
Metropolitan (High Risk),Plant Protein,20.0,15.0,75.0
Metropolitan (High Risk),Staples,82.35294117647058,420.0,510.0
Metropolitan (High Risk),Rice,50.0,20.0,40.0
Metropolitan (High Risk),Veg & Fruit,46.666666666666664,210.0,450.0
Metropolitan (High Risk),Ultra-Processed,400.0,360.0,90.0
Metropolitan (High Risk),Soups,60.0,15.0,25.0
Metropolitan (High Risk),Beverages & Additions,171.42857142857142,60.0,35.0
Metropolitan (High Risk),Fats (Butter),307.69230769230774,40.0,13.0
Metropolitan (High Risk),Oils (Plant-based),160.0,40.0,25.0
Metropolitan (High Risk),Condiments,168.75,27.0,16.0
Dutch Goal (60:40),Red Meat,67.9245283018868,36.0,53.0
Dutch Goal (60:40),Poultry,72.0,18.0,25.0
Dutch Goal (60:40),Dairy (Milk & Milkproducts),72.0,180.0,250.0
Dutch Goal (60:40),Cheese & Eggs,66.66666666666666,40.0,60.0
Dutch Goal (60:40),Fish,48.0,12.0,25.0
Dutch Goal (60:40),Plant Protein,180.0,135.0,75.0
Dutch Goal (60:40),Staples,104.90196078431373,535.0,510.0
Dutch Goal (60:40),Rice,100.0,40.0,40.0
Dutch Goal (60:40),Veg & Fruit,95.55555555555556,430.0,450.0
Dutch Goal (60:40),Ultra-Processed,88.88888888888889,80.0,90.0
Dutch Goal (60:40),Soups,100.0,25.0,25.0
Dutch Goal (60:40),Beverages & Additions,100.0,35.0,35.0
Dutch Goal (60:40),Fats (Butter),84.61538461538461,11.0,13.0
Dutch Goal (60:40),Oils (Plant-based),88.0,22.0,25.0
Dutch Goal (60:40),Condiments,93.75,15.0,16.0
Amsterdam Goal (70:30),Red Meat,37.735849056603776,20.0,53.0
Amsterdam Goal (70:30),Poultry,40.0,10.0,25.0
Amsterdam Goal (70:30),Dairy (Milk & Milkproducts),40.0,100.0,250.0
Amsterdam Goal (70:30),Cheese & Eggs,58.333333333333336,35.0,60.0
Amsterdam Goal (70:30),Fish,60.0,15.0,25.0
Amsterdam Goal (70:30),Plant Protein,213.33333333333334,160.0,75.0
Amsterdam Goal (70:30),Staples,104.90196078431373,535.0,510.0
Amsterdam Goal (70:30),Rice,125.0,50.0,40.0
Amsterdam Goal (70:30),Veg & Fruit,100.0,450.0,450.0
Amsterdam Goal (70:30),Ultra-Processed,70.0,63.0,90.0
Amsterdam Goal (70:30),Soups,120.0,30.0,25.0
Amsterdam Goal (70:30),Beverages & Additions,80.0,28.0,35.0
Amsterdam Goal (70:30),Fats (Butter),61.53846153846154,8.0,13.0
Amsterdam Goal (70:30),Oils (Plant-based),80.0,20.0,25.0
Amsterdam Goal (70:30),Condiments,87.5,14.0,16.0
EAT-Lancet (Planetary),Red Meat,26.41509433962264,14.0,53.0
EAT-Lancet (Planetary),Poultry,115.99999999999999,29.0,25.0
EAT-Lancet (Planetary),Dairy (Milk & Milkproducts),100.0,250.0,250.0
EAT-Lancet (Planetary),Cheese & Eggs,21.666666666666668,13.0,60.0
EAT-Lancet (Planetary),Fish,112.00000000000001,28.0,25.0
EAT-Lancet (Planetary),Plant Protein,166.66666666666669,125.0,75.0
EAT-Lancet (Planetary),Staples,92.54901960784314,472.0,510.0
EAT-Lancet (Planetary),Rice,150.0,60.0,40.0
EAT-Lancet (Planetary),Veg & Fruit,111.11111111111111,500.0,450.0
EAT-Lancet (Planetary),Ultra-Processed,50.0,45.0,90.0
EAT-Lancet (Planetary),Soups,80.0,20.0,25.0
EAT-Lancet (Planetary),Beverages & Additions,62.857142857142854,22.0,35.0
EAT-Lancet (Planetary),Fats (Butter),30.76923076923077,4.0,13.0
EAT-Lancet (Planetary),Oils (Plant-based),72.0,18.0,25.0
EAT-Lancet (Planetary),Condiments,81.25,13.0,16.0
