Diet,Goal_Reference,Resource,Pct_vs_goal
Monitor 2024 (Current),Schijf van 5,CO2 (Scope 1+2+3),5.200680742905177
Monitor 2024 (Current),Schijf van 5,Land (m²),4.37087634038675
Monitor 2024 (Current),Schijf van 5,Water (L),-10.472633036325478
Monitor 2024 (Current),Dutch Goal 60:40,CO2 (Scope 1+2+3),14.034873598976747
Monitor 2024 (Current),Dutch Goal 60:40,Land (m²),11.413339836260658
Monitor 2024 (Current),Dutch Goal 60:40,Water (L),-15.404552616572506
Monitor 2024 (Current),Amsterdam Goal 70:30,CO2 (Scope 1+2+3),23.66289090921719
Monitor 2024 (Current),Amsterdam Goal 70:30,Land (m²),20.124500350670836
Monitor 2024 (Current),Amsterdam Goal 70:30,Water (L),-17.76944469506378
Monitor 2024 (Current),EAT-Lancet,CO2 (Scope 1+2+3),23.211399622440425
Monitor 2024 (Current),EAT-Lancet,Land (m²),20.93171970398151
Monitor 2024 (Current),EAT-Lancet,Water (L),-24.88085011532878
Mediterranean Diet,Schijf van 5,CO2 (Scope 1+2+3),-5.909393358547018
Mediterranean Diet,Schijf van 5,Land (m²),-4.329016587131599
Mediterranean Diet,Schijf van 5,Water (L),7.48980291697132
Mediterranean Diet,Dutch Goal 60:40,CO2 (Scope 1+2+3),1.991834648206368
Mediterranean Diet,Dutch Goal 60:40,Land (m²),2.1264184146991747
Mediterranean Diet,Dutch Goal 60:40,Water (L),1.5683614442403695
Mediterranean Diet,Amsterdam Goal 70:30,CO2 (Scope 1+2+3),10.603052589740733
Mediterranean Diet,Amsterdam Goal 70:30,Land (m²),10.11145525929718
Mediterranean Diet,Amsterdam Goal 70:30,Water (L),-1.2710137329618745
Mediterranean Diet,EAT-Lancet,CO2 (Scope 1+2+3),10.199242569062509
Mediterranean Diet,EAT-Lancet,Land (m²),10.851388390731934
Mediterranean Diet,EAT-Lancet,Water (L),-9.80922493040635
Amsterdam Theoretical,Schijf van 5,CO2 (Scope 1+2+3),2.9352913027840617
Amsterdam Theoretical,Schijf van 5,Land (m²),-0.7485468909272044
Amsterdam Theoretical,Schijf van 5,Water (L),-27.0507139240583
Amsterdam Theoretical,Dutch Goal 60:40,CO2 (Scope 1+2+3),11.579248819437566
Amsterdam Theoretical,Dutch Goal 60:40,Land (m²),5.9484816283457995
Amsterdam Theoretical,Dutch Goal 60:40,Water (L),-31.06937352016771
Amsterdam Theoretical,Amsterdam Goal 70:30,CO2 (Scope 1+2+3),20.99993658969884
Amsterdam Theoretical,Amsterdam Goal 70:30,Land (m²),14.232357069823045
Amsterdam Theoretical,Amsterdam Goal 70:30,Water (L),-32.99635065155801
Amsterdam Theoretical,EAT-Lancet,CO2 (Scope 1+2+3),20.558167707626573
Amsterdam Theoretical,EAT-Lancet,Land (m²),14.999982068319378
Amsterdam Theoretical,EAT-Lancet,Water (L),-38.79091343162283
Metabolic Balance,Schijf van 5,CO2 (Scope 1+2+3),3.2081809692082963
Metabolic Balance,Schijf van 5,Land (m²),1.6419263927331977
Metabolic Balance,Schijf van 5,Water (L),-25.058951353360598
Metabolic Balance,Dutch Goal 60:40,CO2 (Scope 1+2+3),11.87505430660171
Metabolic Balance,Dutch Goal 60:40,Land (m²),8.500252981240923
Metabolic Balance,Dutch Goal 60:40,Water (L),-29.1873339666298
Metabolic Balance,Amsterdam Goal 70:30,CO2 (Scope 1+2+3),21.320717071450133
Metabolic Balance,Amsterdam Goal 70:30,Land (m²),16.98364573261851
Metabolic Balance,Amsterdam Goal 70:30,Water (L),-31.16692409989237
Metabolic Balance,EAT-Lancet,CO2 (Scope 1+2+3),20.87777702484003
Metabolic Balance,EAT-Lancet,Land (m²),17.769758994946695
Metabolic Balance,EAT-Lancet,Water (L),-37.11969806857495
