Diet,Goal_Reference,Total_emissions_pct_of_goal,Goal_total_tonnes_per_year,Diet_total_tonnes_per_year
Monitor 2024 (Current),Schijf van 5,142.72118973700464,3143769.86202132,4486825.749670218
Monitor 2024 (Current),Dutch Goal 60:40,164.30681812726525,2730760.5373959034,4486825.749670218
Monitor 2024 (Current),Amsterdam Goal 70:30,191.10443303816635,2347839.7012245827,4486825.749670218
Monitor 2024 (Current),EAT-Lancet,189.76121254614316,2364458.831953965,4486825.749670218
Mediterranean Diet,Schijf van 5,89.97872869262945,3143769.86202132,2828724.1548688146
Mediterranean Diet,Dutch Goal 60:40,103.5874114969572,2730760.5373959034,2828724.1548688146
Mediterranean Diet,Amsterdam Goal 70:30,120.4819968498451,2347839.7012245827,2828724.1548688146
Mediterranean Diet,EAT-Lancet,119.6351620354153,2364458.831953965,2828724.1548688146
Amsterdam Theoretical,Schijf van 5,104.97772761544459,3143769.86202132,3300258.16260918
Amsterdam Theoretical,Dutch Goal 60:40,120.85490900481368,2730760.5373959034,3300258.16260918
Amsterdam Theoretical,Amsterdam Goal 70:30,140.565736276111,2347839.7012245827,3300258.16260918
Amsterdam Theoretical,EAT-Lancet,139.57773838176237,2364458.831953965,3300258.16260918
Metabolic Balance,Schijf van 5,105.44049954790697,3143769.86202132,3314806.647151826
Metabolic Balance,Dutch Goal 60:40,121.3876721066461,2730760.5373959034,3314806.647151826
Metabolic Balance,Amsterdam Goal 70:30,141.18539035790621,2347839.7012245827,3314806.647151826
Metabolic Balance,EAT-Lancet,140.19303708546715,2364458.831953965,3314806.647151826
