Baseline_Diet,Goal_Diet,Baseline_total_tonnes,Goal_total_tonnes,Reduction_pct
Monitor 2024,Dutch Goal,4486825.749670218,2730760.537395903,39.138252971009315
Monitor 2024,Amsterdam Goal,4486825.749670218,2347839.7012245827,47.67259010677762
Monitor 2024,EAT-Lancet,4486825.749670218,2364458.8319539656,47.30219170807439
Monitor 2024,Schijf van Vijf (50-50),4486825.749670218,3113464.932606682,30.60873975693123
Metropolitan,Dutch Goal,4614392.651410006,2730760.537395903,40.82080256951101
Metropolitan,Amsterdam Goal,4614392.651410006,2347839.7012245827,49.11920422491223
Metropolitan,EAT-Lancet,4614392.651410006,2364458.8319539656,48.75904565183752
Metropolitan,Schijf van Vijf (50-50),4614392.651410006,3113464.932606682,32.52709147637642
Mediterranean Diet,Dutch Goal,2842545.91730284,2730760.537395903,3.932579566313742
Mediterranean Diet,Amsterdam Goal,2842545.91730284,2347839.7012245827,17.40363147933459
Mediterranean Diet,EAT-Lancet,2842545.91730284,2364458.8319539656,16.81897493506487
Mediterranean Diet,Schijf van Vijf (50-50),2842545.91730284,3113464.932606682,-9.530858011993162
