Goal_Diet,Category,Baseline_tonnes,Goal_tonnes,Delta_kton,Delta_pct
Dutch Goal (60:40),Red Meat,1531725.3918549935,811738.8748944412,-719.9865169605523,-47.00493448689349
Dutch Goal (60:40),Poultry,152797.59980269673,67144.79932529855,-85.65280047739819,-56.05637823368904
Dutch Goal (60:40),Dairy (Milk & Milkproducts),480266.8942557947,431686.36530117644,-48.58052895461826,-10.115319114363901
Dutch Goal (60:40),Cheese & Eggs,234185.6681038165,165115.9243941721,-69.06974370964441,-29.493582706788533
Dutch Goal (60:40),Fish,105814.1350173254,63407.13172814603,-42.40700328917937,-40.076879409575945
Dutch Goal (60:40),Plant Protein,116027.63474561802,325877.7762534211,209.85014150780304,180.8622074972776
Dutch Goal (60:40),Staples,598902.0243745737,784373.5751883641,185.4715508137904,30.968596408982947
Dutch Goal (60:40),Rice,183807.8006242507,100964.75585411962,-82.84304477013107,-45.07047279211129
Dutch Goal (60:40),Veg & Fruit,395109.4383359898,614249.7620805285,219.14032374453876,55.46319639122063
Dutch Goal (60:40),Ultra-Processed,421042.109855457,312675.3351530619,-108.36677470239508,-25.7377521549085
Dutch Goal (60:40),Soups,50200.10388496694,68936.69930470327,18.736595419736332,37.323818019721756
Dutch Goal (60:40),Beverages & Additions,27792.777821370582,25884.277899850273,-1.9084999215203098,-6.866891585240591
Dutch Goal (60:40),Fats (Butter),56239.29823586799,35646.23575045908,-20.59306248540891,-36.61685535093534
Dutch Goal (60:40),Oils (Plant-based),108189.87906242875,104593.61273817049,-3.5962663242582638,-3.3240321141158797
Dutch Goal (60:40),Condiments,24724.993695067045,22313.304050809704,-2.4116896442573417,-9.754055649116323
Amsterdam Goal (70:30),Red Meat,1531725.3918549935,500482.16016050614,-1031.2432316944873,-67.3255948604209
Amsterdam Goal (70:30),Poultry,152797.59980269673,40008.598812465454,-112.78900099023127,-73.81595073212705
Amsterdam Goal (70:30),Dairy (Milk & Milkproducts),480266.8942557947,257222.70042795123,-223.04419382784346,-46.441717406623496
Amsterdam Goal (70:30),Cheese & Eggs,234185.6681038165,153677.31624201252,-80.508351861804,-34.37800123025204
Amsterdam Goal (70:30),Fish,105814.1350173254,85008.35018447414,-20.805784832851263,-19.66257610993526
Amsterdam Goal (70:30),Plant Protein,116027.63474561802,405663.9945075178,289.63635976189977,249.6270482432103
Amsterdam Goal (70:30),Staples,598902.0243745737,829333.1748739049,230.43115049933118,38.47560053582516
Amsterdam Goal (70:30),Rice,183807.8006242507,135360.91426963353,-48.44688635461716,-26.35736143410734
Amsterdam Goal (70:30),Veg & Fruit,395109.4383359898,694614.6051204145,299.5051667844247,75.80309092230141
Amsterdam Goal (70:30),Ultra-Processed,421042.109855457,267040.9084057611,-154.00120144969586,-36.57619935036052
Amsterdam Goal (70:30),Soups,50200.10388496694,88724.83455290123,38.524730667934286,76.7423325581424
Amsterdam Goal (70:30),Beverages & Additions,27792.777821370582,21733.618476687683,-6.059159344682899,-21.80120095812753
Amsterdam Goal (70:30),Fats (Butter),56239.29823586799,25911.02594702963,-30.328272288838356,-53.927188354380576
Amsterdam Goal (70:30),Oils (Plant-based),108189.87906242875,101982.56845161063,-6.207310610818124,-5.7374226356573725
Amsterdam Goal (70:30),Condiments,24724.993695067045,21506.99054679522,-3.218003148271826,-13.015182887241176
EAT-Lancet (Planetary),Red Meat,1531725.3918549935,282500.6707479099,-1249.2247211070835,-81.55670251011587
EAT-Lancet (Planetary),Poultry,152797.59980269673,115631.59835537674,-37.166001447319985,-24.32368145527901
EAT-Lancet (Planetary),Dairy (Milk & Milkproducts),480266.8942557947,640876.7129421398,160.60981868634514,33.44178426772902
EAT-Lancet (Planetary),Cheese & Eggs,234185.6681038165,51834.854435168876,-182.35081366864765,-77.86591517112394
EAT-Lancet (Planetary),Fish,105814.1350173254,158144.3021475328,52.33016713020741,49.4547983798565
EAT-Lancet (Planetary),Plant Protein,116027.63474561802,311121.6465472414,195.0940118016234,168.14443578838137
EAT-Lancet (Planetary),Staples,598902.0243745737,719412.460585424,120.51043621085026,20.121894952133093
EAT-Lancet (Planetary),Rice,183807.8006242507,161882.42979233823,-21.92537083191247,-11.928422383298864
EAT-Lancet (Planetary),Veg & Fruit,395109.4383359898,781474.3354290059,386.3648970930161,97.78680527607708
EAT-Lancet (Planetary),Ultra-Processed,421042.109855457,221648.16964592354,-199.39394020953344,-47.357244214357806
EAT-Lancet (Planetary),Soups,50200.10388496694,58949.364608951015,8.749260723984072,17.428770155601512
EAT-Lancet (Planetary),Beverages & Additions,27792.777821370582,16171.549831421044,-11.621227989949539,-41.81384122393724
EAT-Lancet (Planetary),Fats (Butter),56239.29823586799,11428.437288996462,-44.81086094687153,-79.67891199305951
EAT-Lancet (Planetary),Oils (Plant-based),108189.87906242875,91473.15197940674,-16.716727083022008,-15.451285487966915
EAT-Lancet (Planetary),Condiments,24724.993695067045,19017.38122633592,-5.707612468731124,-23.084383919862702
Schijf van 5 (Guideline),Red Meat,1531725.3918549935,1091723.2681918733,-440.0021236631202,-28.725914318770702
Schijf van 5 (Guideline),Poultry,152797.59980269673,87807.55635606922,-64.99004344662751,-42.53341906584091
Schijf van 5 (Guideline),Dairy (Milk & Milkproducts),480266.8942557947,564531.0616789336,84.26416742313886,17.54527918350728
Schijf van 5 (Guideline),Cheese & Eggs,234185.6681038165,234699.5657430818,0.513897639265284,0.21944026012619558
Schijf van 5 (Guideline),Fish,105814.1350173254,124379.52042172848,18.565385404403074,17.545279183507272
Schijf van 5 (Guideline),Plant Protein,116027.63474561802,174830.54465211026,58.80290990649223,50.68009016594473
Schijf van 5 (Guideline),Staples,598902.0243745737,696515.3441363215,97.61331976174773,16.298712608908637
Schijf van 5 (Guideline),Rice,183807.8006242507,95065.25265812954,-88.74254796612115,-48.28007715925681
Schijf van 5 (Guideline),Veg & Fruit,395109.4383359898,609793.0234523106,214.6835851163208,54.33522064683254
Schijf van 5 (Guideline),Ultra-Processed,421042.109855457,325263.7403744289,-95.77836948102805,-22.747931201919116
Schijf van 5 (Guideline),Soups,50200.10388496694,64908.63748819457,14.708533603227625,29.299807101857972
Schijf van 5 (Guideline),Beverages & Additions,27792.777821370582,24371.82557027995,-3.4209522510906316,-12.308781342684549
Schijf van 5 (Guideline),Fats (Butter),56239.29823586799,37290.40961908631,-18.948888616781673,-33.69332337204833
Schijf van 5 (Guideline),Oils (Plant-based),108189.87906242875,111911.44394516305,3.7215648827342958,3.439845681486383
Schijf van 5 (Guideline),Condiments,24724.993695067045,21924.69532934572,-2.8002983657213263,-11.325779898095673
