Focus_Diet,Scenario,Scope1+2_kton,Scope3_kton,Total_kton
Monitor 2024 (Current),Baseline (Monitor),1749.9999999999998,2736.8257496702176,4486.825749670218
Monitor 2024 (Current),Dutch Goal (60:40),1750.0000000000002,2184.6084299167223,3934.608429916723
Monitor 2024 (Current),Amsterdam Goal (70:30),1749.9999999999998,1878.2717609796662,3628.271760979666
Monitor 2024 (Current),EAT-Lancet (Planetary),1750.0000000000005,1891.5670655631725,3641.567065563173
Monitor 2024 (Current),Schijf van 5 (Guideline),1749.9999999999998,2515.015889617057,4265.015889617057
Metropolitan (High Risk),Baseline (Monitor),1749.9999999999995,3912.6623200724052,5662.662320072405
Metropolitan (High Risk),Dutch Goal (60:40),1750.0000000000002,2184.6084299167223,3934.608429916723
Metropolitan (High Risk),Amsterdam Goal (70:30),1749.9999999999998,1878.2717609796662,3628.271760979666
Metropolitan (High Risk),EAT-Lancet (Planetary),1750.0000000000005,1891.5670655631725,3641.567065563173
Metropolitan (High Risk),Schijf van 5 (Guideline),1749.9999999999998,2515.015889617057,4265.015889617057
Mediterranean Diet,Baseline (Monitor),1750.0,2262.979323895052,4012.979323895052
Mediterranean Diet,Dutch Goal (60:40),1750.0000000000002,2184.6084299167223,3934.608429916723
Mediterranean Diet,Amsterdam Goal (70:30),1749.9999999999998,1878.2717609796662,3628.271760979666
Mediterranean Diet,EAT-Lancet (Planetary),1750.0000000000005,1891.5670655631725,3641.567065563173
Mediterranean Diet,Schijf van 5 (Guideline),1749.9999999999998,2515.015889617057,4265.015889617057
