Diet,Parameter,Impact_kton,Total_kton
Monitor 2024 (Current),Impact Factors,448682.5749670218,4486825.749670218
Monitor 2024 (Current),Diet Adherence,538419.0899604261,4486825.749670218
Monitor 2024 (Current),Waste Rate,179473.02998680872,4486825.749670218
Schijf van 5 (Guideline),Impact Factors,426501.5889617057,4265015.889617057
Schijf van 5 (Guideline),Diet Adherence,511801.9067540468,4265015.889617057
Schijf van 5 (Guideline),Waste Rate,170600.63558468226,4265015.889617057
Amsterdam Goal (70:30),Impact Factors,362827.1760979666,3628271.760979666
Amsterdam Goal (70:30),Diet Adherence,435392.6113175599,3628271.760979666
Amsterdam Goal (70:30),Waste Rate,145130.87043918663,3628271.760979666
EAT-Lancet (Planetary),Impact Factors,364156.70655631734,3641567.065563173
EAT-Lancet (Planetary),Diet Adherence,436988.0478675807,3641567.065563173
EAT-Lancet (Planetary),Waste Rate,145662.68262252692,3641567.065563173
