Baseline_Diet,Goal_Reference,Category,Total_emissions_tonnes_per_year
Amsterdam Theoretical,Monitor 2024 (Current),Red Meat,1503772.7851570267
Amsterdam Theoretical,Monitor 2024 (Current),Poultry,96431.08294582661
Amsterdam Theoretical,Monitor 2024 (Current),Dairy (Milk & Milkproducts),575689.5050739823
Amsterdam Theoretical,Monitor 2024 (Current),Cheese & Eggs,247353.11038491462
Amsterdam Theoretical,Monitor 2024 (Current),Fish,48783.841896869504
Amsterdam Theoretical,Monitor 2024 (Current),Plant Protein,79184.13084023361
Amsterdam Theoretical,Monitor 2024 (Current),Staples,600221.3046773737
Amsterdam Theoretical,Monitor 2024 (Current),Rice,58259.795300246464
Amsterdam Theoretical,Monitor 2024 (Current),Veg & Fruit,369389.3859225977
Amsterdam Theoretical,Monitor 2024 (Current),Ultra-Processed,481109.93630538107
Amsterdam Theoretical,Monitor 2024 (Current),Soups,63645.78144032082
Amsterdam Theoretical,Monitor 2024 (Current),Beverages & Additions,32929.98592222576
Amsterdam Theoretical,Monitor 2024 (Current),Fats (Butter),71302.52343858135
Amsterdam Theoretical,Monitor 2024 (Current),Oils (Plant-based),131680.9271179051
Amsterdam Theoretical,Monitor 2024 (Current),Condiments,30452.43366385925
Metropolitan (High Risk),Monitor 2024 (Current),Red Meat,2471422.821685409
Metropolitan (High Risk),Monitor 2024 (Current),Poultry,179850.44171423253
Metropolitan (High Risk),Monitor 2024 (Current),Dairy (Milk & Milkproducts),385430.6129518091
Metropolitan (High Risk),Monitor 2024 (Current),Cheese & Eggs,265362.3711865666
Metropolitan (High Risk),Monitor 2024 (Current),Fish,63689.59750269282
Metropolitan (High Risk),Monitor 2024 (Current),Plant Protein,30520.33157625008
Metropolitan (High Risk),Monitor 2024 (Current),Staples,505542.65940710343
Metropolitan (High Risk),Monitor 2024 (Current),Rice,40565.8132582087
Metropolitan (High Risk),Monitor 2024 (Current),Veg & Fruit,240087.61529244846
Metropolitan (High Risk),Monitor 2024 (Current),Ultra-Processed,1114195.4084371089
Metropolitan (High Risk),Monitor 2024 (Current),Soups,33237.02312128485
Metropolitan (High Risk),Monitor 2024 (Current),Beverages & Additions,37694.09518735754
Metropolitan (High Risk),Monitor 2024 (Current),Fats (Butter),108214.57808108686
Metropolitan (High Risk),Monitor 2024 (Current),Oils (Plant-based),152813.89940820623
Metropolitan (High Risk),Monitor 2024 (Current),Condiments,34035.05126263882
Metabolic Balance,Monitor 2024 (Current),Red Meat,2284338.088776364
Metabolic Balance,Monitor 2024 (Current),Poultry,275035.36362495675
Metabolic Balance,Monitor 2024 (Current),Dairy (Milk & Milkproducts),110515.83447786357
Metabolic Balance,Monitor 2024 (Current),Cheese & Eggs,373111.8726087287
Metabolic Balance,Monitor 2024 (Current),Fish,194793.97927877383
Metabolic Balance,Monitor 2024 (Current),Plant Protein,73028.08445673803
Metabolic Balance,Monitor 2024 (Current),Staples,142635.65483941004
Metabolic Balance,Monitor 2024 (Current),Rice,23263.14803678893
Metabolic Balance,Monitor 2024 (Current),Veg & Fruit,413825.8119215155
Metabolic Balance,Monitor 2024 (Current),Ultra-Processed,72317.98247443516
Metabolic Balance,Monitor 2024 (Current),Soups,76241.3201728345
Metabolic Balance,Monitor 2024 (Current),Beverages & Additions,26095.368845874393
Metabolic Balance,Monitor 2024 (Current),Fats (Butter),163907.0457721734
Metabolic Balance,Monitor 2024 (Current),Oils (Plant-based),153358.9773591499
Metabolic Balance,Monitor 2024 (Current),Condiments,19376.785075854492
Dutch Goal (60:40),Monitor 2024 (Current),Red Meat,811738.8748944412
Dutch Goal (60:40),Monitor 2024 (Current),Poultry,67144.79932529855
Dutch Goal (60:40),Monitor 2024 (Current),Dairy (Milk & Milkproducts),431686.36530117644
Dutch Goal (60:40),Monitor 2024 (Current),Cheese & Eggs,165115.9243941721
Dutch Goal (60:40),Monitor 2024 (Current),Fish,63407.13172814603
Dutch Goal (60:40),Monitor 2024 (Current),Plant Protein,325877.7762534211
Dutch Goal (60:40),Monitor 2024 (Current),Staples,784373.5751883641
Dutch Goal (60:40),Monitor 2024 (Current),Rice,100964.75585411962
Dutch Goal (60:40),Monitor 2024 (Current),Veg & Fruit,614249.7620805285
Dutch Goal (60:40),Monitor 2024 (Current),Ultra-Processed,312675.3351530619
Dutch Goal (60:40),Monitor 2024 (Current),Soups,68936.69930470327
Dutch Goal (60:40),Monitor 2024 (Current),Beverages & Additions,25884.277899850273
Dutch Goal (60:40),Monitor 2024 (Current),Fats (Butter),35646.23575045908
Dutch Goal (60:40),Monitor 2024 (Current),Oils (Plant-based),104593.61273817049
Dutch Goal (60:40),Monitor 2024 (Current),Condiments,22313.304050809704
Amsterdam Goal (70:30),Monitor 2024 (Current),Red Meat,500482.16016050614
Amsterdam Goal (70:30),Monitor 2024 (Current),Poultry,40008.598812465454
Amsterdam Goal (70:30),Monitor 2024 (Current),Dairy (Milk & Milkproducts),257222.70042795123
Amsterdam Goal (70:30),Monitor 2024 (Current),Cheese & Eggs,153677.31624201252
Amsterdam Goal (70:30),Monitor 2024 (Current),Fish,85008.35018447414
Amsterdam Goal (70:30),Monitor 2024 (Current),Plant Protein,405663.9945075178
Amsterdam Goal (70:30),Monitor 2024 (Current),Staples,829333.1748739049
Amsterdam Goal (70:30),Monitor 2024 (Current),Rice,135360.91426963353
Amsterdam Goal (70:30),Monitor 2024 (Current),Veg & Fruit,694614.6051204145
Amsterdam Goal (70:30),Monitor 2024 (Current),Ultra-Processed,267040.9084057611
Amsterdam Goal (70:30),Monitor 2024 (Current),Soups,88724.83455290123
Amsterdam Goal (70:30),Monitor 2024 (Current),Beverages & Additions,21733.618476687683
Amsterdam Goal (70:30),Monitor 2024 (Current),Fats (Butter),25911.02594702963
Amsterdam Goal (70:30),Monitor 2024 (Current),Oils (Plant-based),101982.56845161063
Amsterdam Goal (70:30),Monitor 2024 (Current),Condiments,21506.99054679522
EAT-Lancet (Planetary),Monitor 2024 (Current),Red Meat,282500.6707479099
EAT-Lancet (Planetary),Monitor 2024 (Current),Poultry,115631.59835537674
EAT-Lancet (Planetary),Monitor 2024 (Current),Dairy (Milk & Milkproducts),640876.7129421398
EAT-Lancet (Planetary),Monitor 2024 (Current),Cheese & Eggs,51834.854435168876
EAT-Lancet (Planetary),Monitor 2024 (Current),Fish,158144.3021475328
EAT-Lancet (Planetary),Monitor 2024 (Current),Plant Protein,311121.6465472414
EAT-Lancet (Planetary),Monitor 2024 (Current),Staples,719412.460585424
EAT-Lancet (Planetary),Monitor 2024 (Current),Rice,161882.42979233823
