Baseline_Diet,Goal_Reference,Category,Total_emissions_tonnes_per_year
Monitor 2024,Dutch Goal,Red Meat,1590119.47889638
Monitor 2024,Dutch Goal,Poultry,158622.71466338862
Monitor 2024,Dutch Goal,Dairy (Milk & Milkproducts),498576.1466683998
Monitor 2024,Dutch Goal,Cheese & Eggs,243113.54666469776
Monitor 2024,Dutch Goal,Fish,109848.09557139562
Monitor 2024,Dutch Goal,Plant Protein,120450.96534950429
Monitor 2024,Dutch Goal,Staples,621734.013141332
Monitor 2024,Dutch Goal,Rice,190815.11979883185
Monitor 2024,Dutch Goal,Veg & Fruit,410172.226389091
Monitor 2024,Dutch Goal,Ultra-Processed,437093.5311753148
Monitor 2024,Dutch Goal,Soups,52113.886375831935
Monitor 2024,Dutch Goal,Beverages & Additions,28852.324066313085
Monitor 2024,Dutch Goal,Fats (Butter),58383.313405816065
Monitor 2024,Dutch Goal,Oils (Plant-based),112314.41029274123
Monitor 2024,Dutch Goal,Condiments,25667.586565567795
Amsterdam Theoretical,Dutch Goal,Red Meat,1130433.9271768339
Amsterdam Theoretical,Dutch Goal,Poultry,72490.31826638817
Amsterdam Theoretical,Dutch Goal,Dairy (Milk & Milkproducts),432764.14793430007
Amsterdam Theoretical,Dutch Goal,Cheese & Eggs,185943.21611068788
Amsterdam Theoretical,Dutch Goal,Fish,36672.368673365396
Amsterdam Theoretical,Dutch Goal,Plant Protein,59525.23471587
Amsterdam Theoretical,Dutch Goal,Staples,451205.4835137844
Amsterdam Theoretical,Dutch Goal,Rice,43795.74484113234
Amsterdam Theoretical,Dutch Goal,Veg & Fruit,277681.77367455006
Amsterdam Theoretical,Dutch Goal,Ultra-Processed,361665.67188187095
Amsterdam Theoretical,Dutch Goal,Soups,47844.56227162499
Amsterdam Theoretical,Dutch Goal,Beverages & Additions,24754.519881840002
Amsterdam Theoretical,Dutch Goal,Fats (Butter),53600.37924870217
Amsterdam Theoretical,Dutch Goal,Oils (Plant-based),98988.7495275
Amsterdam Theoretical,Dutch Goal,Condiments,22892.06489073
Metropolitan,Dutch Goal,Red Meat,2134561.9791548597
Metropolitan,Dutch Goal,Poultry,155336.3962851175
Metropolitan,Dutch Goal,Dairy (Milk & Milkproducts),332895.49841099995
Metropolitan,Dutch Goal,Cheese & Eggs,229192.84521575324
Metropolitan,Dutch Goal,Fish,55008.55301004809
Metropolitan,Dutch Goal,Plant Protein,26360.337374175004
Metropolitan,Dutch Goal,Staples,436635.9856122587
Metropolitan,Dutch Goal,Rice,35036.59587290588
Metropolitan,Dutch Goal,Veg & Fruit,207363.09901019998
Metropolitan,Dutch Goal,Ultra-Processed,685892.6602998242
Metropolitan,Dutch Goal,Soups,28706.737362974993
Metropolitan,Dutch Goal,Beverages & Additions,32556.2998446
Metropolitan,Dutch Goal,Fats (Butter),93464.6722266029
Metropolitan,Dutch Goal,Oils (Plant-based),131984.99936999998
Metropolitan,Dutch Goal,Condiments,29395.992359685
Monitor 2024,Amsterdam Goal,Red Meat,1590119.47889638
Monitor 2024,Amsterdam Goal,Poultry,158622.71466338862
Monitor 2024,Amsterdam Goal,Dairy (Milk & Milkproducts),498576.1466683998
Monitor 2024,Amsterdam Goal,Cheese & Eggs,243113.54666469776
Monitor 2024,Amsterdam Goal,Fish,109848.09557139562
Monitor 2024,Amsterdam Goal,Plant Protein,120450.96534950429
Monitor 2024,Amsterdam Goal,Staples,621734.013141332
Monitor 2024,Amsterdam Goal,Rice,190815.11979883185
Monitor 2024,Amsterdam Goal,Veg & Fruit,410172.226389091
Monitor 2024,Amsterdam Goal,Ultra-Processed,437093.5311753148
Monitor 2024,Amsterdam Goal,Soups,52113.886375831935
Monitor 2024,Amsterdam Goal,Beverages & Additions,28852.324066313085
Monitor 2024,Amsterdam Goal,Fats (Butter),58383.313405816065
Monitor 2024,Amsterdam Goal,Oils (Plant-based),112314.41029274123
Monitor 2024,Amsterdam Goal,Condiments,25667.586565567795
Amsterdam Theoretical,Amsterdam Goal,Red Meat,1130433.9271768339
Amsterdam Theoretical,Amsterdam Goal,Poultry,72490.31826638817
Amsterdam Theoretical,Amsterdam Goal,Dairy (Milk & Milkproducts),432764.14793430007
Amsterdam Theoretical,Amsterdam Goal,Cheese & Eggs,185943.21611068788
Amsterdam Theoretical,Amsterdam Goal,Fish,36672.368673365396
Amsterdam Theoretical,Amsterdam Goal,Plant Protein,59525.23471587
Amsterdam Theoretical,Amsterdam Goal,Staples,451205.4835137844
Amsterdam Theoretical,Amsterdam Goal,Rice,43795.74484113234
Amsterdam Theoretical,Amsterdam Goal,Veg & Fruit,277681.77367455006
Amsterdam Theoretical,Amsterdam Goal,Ultra-Processed,361665.67188187095
Amsterdam Theoretical,Amsterdam Goal,Soups,47844.56227162499
Amsterdam Theoretical,Amsterdam Goal,Beverages & Additions,24754.519881840002
Amsterdam Theoretical,Amsterdam Goal,Fats (Butter),53600.37924870217
Amsterdam Theoretical,Amsterdam Goal,Oils (Plant-based),98988.7495275
Amsterdam Theoretical,Amsterdam Goal,Condiments,22892.06489073
Metropolitan,Amsterdam Goal,Red Meat,2134561.9791548597
Metropolitan,Amsterdam Goal,Poultry,155336.3962851175
Metropolitan,Amsterdam Goal,Dairy (Milk & Milkproducts),332895.49841099995
Metropolitan,Amsterdam Goal,Cheese & Eggs,229192.84521575324
Metropolitan,Amsterdam Goal,Fish,55008.55301004809
Metropolitan,Amsterdam Goal,Plant Protein,26360.337374175004
Metropolitan,Amsterdam Goal,Staples,436635.9856122587
Metropolitan,Amsterdam Goal,Rice,35036.59587290588
Metropolitan,Amsterdam Goal,Veg & Fruit,207363.09901019998
Metropolitan,Amsterdam Goal,Ultra-Processed,685892.6602998242
Metropolitan,Amsterdam Goal,Soups,28706.737362974993
Metropolitan,Amsterdam Goal,Beverages & Additions,32556.2998446
Metropolitan,Amsterdam Goal,Fats (Butter),93464.6722266029
Metropolitan,Amsterdam Goal,Oils (Plant-based),131984.99936999998
Metropolitan,Amsterdam Goal,Condiments,29395.992359685
Monitor 2024,EAT-Lancet,Red Meat,1590119.47889638
Monitor 2024,EAT-Lancet,Poultry,158622.71466338862
Monitor 2024,EAT-Lancet,Dairy (Milk & Milkproducts),498576.1466683998
Monitor 2024,EAT-Lancet,Cheese & Eggs,243113.54666469776
Monitor 2024,EAT-Lancet,Fish,109848.09557139562
Monitor 2024,EAT-Lancet,Plant Protein,120450.96534950429
Monitor 2024,EAT-Lancet,Staples,621734.013141332
Monitor 2024,EAT-Lancet,Rice,190815.11979883185
Monitor 2024,EAT-Lancet,Veg & Fruit,410172.226389091
Monitor 2024,EAT-Lancet,Ultra-Processed,437093.5311753148
Monitor 2024,EAT-Lancet,Soups,52113.886375831935
Monitor 2024,EAT-Lancet,Beverages & Additions,28852.324066313085
Monitor 2024,EAT-Lancet,Fats (Butter),58383.313405816065
Monitor 2024,EAT-Lancet,Oils (Plant-based),112314.41029274123
Monitor 2024,EAT-Lancet,Condiments,25667.586565567795
Amsterdam Theoretical,EAT-Lancet,Red Meat,1130433.9271768339
Amsterdam Theoretical,EAT-Lancet,Poultry,72490.31826638817
Amsterdam Theoretical,EAT-Lancet,Dairy (Milk & Milkproducts),432764.14793430007
Amsterdam Theoretical,EAT-Lancet,Cheese & Eggs,185943.21611068788
Amsterdam Theoretical,EAT-Lancet,Fish,36672.368673365396
Amsterdam Theoretical,EAT-Lancet,Plant Protein,59525.23471587
Amsterdam Theoretical,EAT-Lancet,Staples,451205.4835137844
Amsterdam Theoretical,EAT-Lancet,Rice,43795.74484113234
