base_diet,category,base_pct,avg_goal_pct,delta_pct
1. Monitor 2024 (Current),Veg & Fruit,19.563822963438103,28.373636486235327,8.809813522797224
1. Monitor 2024 (Current),Plant Protein,3.207184092366902,7.737398086328096,4.530213993961194
1. Monitor 2024 (Current),Ultra-Processed,7.697241821680564,4.290459976704922,-3.406781844975642
1. Monitor 2024 (Current),Red Meat,4.8749198203976905,1.8828022545977448,-2.992117565799946
1. Monitor 2024 (Current),Staples,29.185375240538804,31.834245898762468,2.6488706582236645
1. Monitor 2024 (Current),Rice,5.131494547787043,2.953283261451285,-2.1782112863357583
1. Monitor 2024 (Current),Dairy (Milk & Milkproducts),14.111610006414368,11.982212677358364,-2.1293973290560047
1. Monitor 2024 (Current),Cheese & Eggs,4.041051956382296,2.2765120961164373,-1.764539860265859
3. Metropolitan (High Risk),Ultra-Processed,21.21390689451974,4.290459976704922,-16.92344691781482
3. Metropolitan (High Risk),Veg & Fruit,12.374779021803182,28.373636486235327,15.998857464432145
3. Metropolitan (High Risk),Staples,24.749558043606363,31.834245898762468,7.084687855156105
3. Metropolitan (High Risk),Plant Protein,0.8839127872716559,7.737398086328096,6.853485299056439
3. Metropolitan (High Risk),Red Meat,7.955215085444903,1.8828022545977448,-6.072412830847158
3. Metropolitan (High Risk),Cheese & Eggs,4.7142015321154975,2.2765120961164373,-2.43768943599906
3. Metropolitan (High Risk),Poultry,3.5356511490866236,1.260217547959023,-2.2754336011276006
3. Metropolitan (High Risk),Fats (Butter),2.357100766057749,0.5544998089629144,-1.802600957094835
9. Mediterranean Diet,Veg & Fruit,30.642309958750737,28.373636486235327,-2.2686734725154096
9. Mediterranean Diet,Plant Protein,5.892751915144372,7.737398086328096,1.8446461711837232
9. Mediterranean Diet,Staples,30.34767236299352,31.834245898762468,1.4865735357689474
9. Mediterranean Diet,Ultra-Processed,2.946375957572186,4.290459976704922,1.3440840191327355
9. Mediterranean Diet,Fish,2.0624631703005303,1.2330560572439428,-0.8294071130565874
9. Mediterranean Diet,Beverages & Additions,2.53388332351208,1.855386912776789,-0.6784964107352911
9. Mediterranean Diet,Cheese & Eggs,2.828520919269299,2.2765120961164373,-0.5520088231528617
9. Mediterranean Diet,Oils (Plant-based),1.7678255745433118,1.314234410623967,-0.45359116391934484
