Baseline,Goal,Category,Baseline_scope3_tonnes_per_year,Goal_scope3_tonnes_per_year,Delta_tonnes_per_year,Delta_pct
Monitor 2024 (Current),Dutch Goal (60:40),Red Meat,934305.3926621884,450700.907236923,-483604.4854252654,-51.760857769138404
Monitor 2024 (Current),Dutch Goal (60:40),Poultry,93201.8377710705,37280.73510842819,-55921.102662642304,-60.00000000000001
Monitor 2024 (Current),Dutch Goal (60:40),Dairy (Milk & Milkproducts),292948.03860167996,239684.75885592,-53263.279745759966,-18.181818181818173
Monitor 2024 (Current),Dutch Goal (60:40),Cheese & Eggs,142846.05697409945,91677.1380863013,-51168.91888779815,-35.82102297515709
Monitor 2024 (Current),Dutch Goal (60:40),Fish,64543.36886512308,35205.47392643077,-29337.894938692305,-45.45454545454545
Monitor 2024 (Current),Dutch Goal (60:40),Plant Protein,70773.28966218,180936.76913634,110163.47947416,155.65685868213842
Monitor 2024 (Current),Dutch Goal (60:40),Staples,365311.82026813214,435506.9011522161,70195.08088408393,19.21511349743954
Monitor 2024 (Current),Dutch Goal (60:40),Rice,112117.10679329881,56058.553396649404,-56058.553396649404,-50.0
Monitor 2024 (Current),Dutch Goal (60:40),Veg & Fruit,241004.60884962,341049.23837208,100044.62952246002,41.51150054764513
Monitor 2024 (Current),Dutch Goal (60:40),Ultra-Processed,256822.74111772378,173606.39188608486,-83216.34923163892,-32.40225101152306
Monitor 2024 (Current),Dutch Goal (60:40),Soups,30620.51985384,38275.6498173,7655.12996346,25.0
Monitor 2024 (Current),Dutch Goal (60:40),Beverages & Additions,16952.73991908,14371.6999314,-2581.0399876799984,-15.22491349480968
Monitor 2024 (Current),Dutch Goal (60:40),Fats (Butter),34304.2427191694,19791.8213469847,-14512.4213721847,-42.30503349393304
Monitor 2024 (Current),Dutch Goal (60:40),Oils (Plant-based),65992.499685,58073.39972279999,-7919.099962200009,-12.000000000000014
Monitor 2024 (Current),Dutch Goal (60:40),Condiments,15081.485928011998,12388.991940864,-2692.4939871479983,-17.852975495915977
Monitor 2024 (Current),Amsterdam Goal (70:30),Red Meat,934305.3926621884,259087.95432946336,-675217.4383327251,-72.2694574638787
Monitor 2024 (Current),Amsterdam Goal (70:30),Poultry,93201.8377710705,20711.519504682332,-72490.31826638816,-77.77777777777779
Monitor 2024 (Current),Amsterdam Goal (70:30),Dairy (Milk & Milkproducts),292948.03860167996,133158.1993644,-159789.83923727996,-54.54545454545454
Monitor 2024 (Current),Amsterdam Goal (70:30),Cheese & Eggs,142846.05697409945,79555.16632044574,-63290.89065365371,-44.30706173788856
Monitor 2024 (Current),Amsterdam Goal (70:30),Fish,64543.36886512308,44006.84240803846,-20536.52645708462,-31.818181818181824
Monitor 2024 (Current),Amsterdam Goal (70:30),Plant Protein,70773.28966218,210002.7989976,139229.50933542,196.7260671363448
Monitor 2024 (Current),Amsterdam Goal (70:30),Staples,365311.82026813214,429326.46323842905,64014.6429702969,17.523288166069015
Monitor 2024 (Current),Amsterdam Goal (70:30),Rice,112117.10679329881,70073.19174581175,-42043.915047487055,-37.5
Monitor 2024 (Current),Amsterdam Goal (70:30),Veg & Fruit,241004.60884962,359585.7982836,118581.18943398,49.20287209443836
Monitor 2024 (Current),Amsterdam Goal (70:30),Ultra-Processed,256822.74111772378,138240.8568947627,-118581.88422296109,-46.172657338239716
Monitor 2024 (Current),Amsterdam Goal (70:30),Soups,30620.51985384,45930.77978076,15310.25992692,50.0
Monitor 2024 (Current),Amsterdam Goal (70:30),Beverages & Additions,16952.73991908,11250.987946296,-5701.751972783999,-33.63321799307958
Monitor 2024 (Current),Amsterdam Goal (70:30),Fats (Butter),34304.2427191694,13413.534470520583,-20890.708248648818,-60.89832216868899
Monitor 2024 (Current),Amsterdam Goal (70:30),Oils (Plant-based),65992.499685,52793.999748,-13198.499937,-20.0
Monitor 2024 (Current),Amsterdam Goal (70:30),Condiments,15081.485928011998,11133.667946856001,-3947.8179811559967,-26.176584986386604
Monitor 2024 (Current),EAT-Lancet (Planetary),Red Meat,934305.3926621884,146741.48660876334,-787563.906053425,-84.29405548108403
Monitor 2024 (Current),EAT-Lancet (Planetary),Poultry,93201.8377710705,60063.40656357877,-33138.431207491725,-35.55555555555555
