Category,Monitor 2024 (Current),Amsterdam Theoretical,Metropolitan (High Risk),Metabolic Balance,Dutch Goal (60:40),Amsterdam Goal (70:30),EAT-Lancet (Planetary),Schijf van 5 (Guideline),Mediterranean Diet
Red Meat,934305.3926621884,904347.1417414674,1707649.583323888,1376175.4054433838,450700.907236923,259087.95432946336,146741.48660876334,643772.8340594186,437912.78632268414
Poultry,93201.8377710705,57992.254613110534,124269.11702809398,165692.15603745866,37280.73510842819,20711.519504682332,60063.40656357877,51778.798761705824,41423.039009364664
Dairy (Milk & Milkproducts),292948.03860167996,346211.31834744,266316.3987288,66579.0996822,239684.75885592,133158.1993644,332895.498411,332895.498411,266316.3987288
Cheese & Eggs,142846.05697409945,148754.5728885503,183354.2761726026,224777.31518196725,91677.1380863013,79555.16632044574,26924.97535608703,138398.81313620915,110012.56570356156
Fish,64543.36886512308,29337.894938692312,44006.84240803846,117351.57975476925,35205.47392643077,44006.84240803846,82146.10582833848,73344.73734673078,102682.63228542311
Plant Protein,70773.28966218,47620.187772695994,21088.26989934,43994.99979,180936.76913634,210002.7989976,161608.2992286,103094.9495079,127468.17939156
Staples,365311.82026813214,360964.3868110276,349308.78848980693,85929.34692712405,435506.9011522161,429326.46323842905,373689.9231838532,410724.6498493644,413778.3661549322
Rice,112117.10679329881,35036.59587290588,28029.276698324702,14014.638349162351,56058.553396649404,70073.19174581175,84087.83009497411,56058.553396649404,63065.872571230575
Veg & Fruit,241004.60884962,222145.41893964005,165890.47920816002,249304.99881000002,341049.23837208,359585.7982836,405927.19806240004,359585.7982836,418715.07800136006
Ultra-Processed,256822.74111772378,289332.53750549676,769862.3271842594,43567.20633499297,173606.39188608486,138240.8568947627,115132.40599339297,191803.14834217782,111842.42909499891
Soups,30620.51985384,38275.6498173,22965.38989038,45930.77978076,38275.6498173,45930.77978076,30620.51985384,38275.6498173,45930.77978076
Beverages & Additions,16952.73991908,19803.615905471997,26045.039875680002,15720.879924960002,14371.6999314,11250.987946296,8400.111959904,14371.6999314,18994.107909336
Fats (Butter),34304.2427191694,42880.30339896175,74771.73778128234,98744.0722014029,19791.8213469847,13413.534470520583,5936.36069239235,21989.595150312933,14512.421372184699
Oils (Plant-based),65992.499685,79190.99962199999,105587.999496,92389.49955900002,58073.39972279999,52793.999748,47514.599773199996,65992.499685,79190.99962199999
Condiments,15081.485928011998,18313.651912584002,23516.793887748005,11673.339944280002,12388.991940864,11133.667946856001,9878.343952848001,12928.663938288,11133.667946856001
TOTAL,2736825.7496702177,2640206.5300873443,3912662.320072405,2651845.317721462,2184608.4299167222,1878271.7609796661,1891567.0655631726,2515015.889617057,2262979.323895052
