Diet,Category,Scope3_tonnes_per_year
1.Monitor,Red Meat,992699.4797035749
1.Monitor,Poultry,99026.9526317624
1.Monitor,Dairy (Milk & Milkproducts),311257.291014285
1.Monitor,Cheese & Eggs,151773.93553498067
1.Monitor,Fish,68577.32941919328
1.Monitor,Plant Protein,75196.62026606625
1.Monitor,Staples,388143.8090348904
1.Monitor,Rice,119124.42596787997
1.Monitor,Veg & Fruit,256067.39690272123
1.Monitor,Ultra-Processed,272874.1624375815
1.Monitor,Soups,32534.302344704996
1.Monitor,Beverages & Additions,18012.2861640225
1.Monitor,Fats (Butter),36448.25788911748
1.Monitor,Oils (Plant-based),70117.03091531248
1.Monitor,Condiments,16024.078798512748
1.Monitor,TOTAL,2907877.359024606
2.Theory,Red Meat,960868.8381003088
2.Theory,Poultry,61616.770526429944
2.Theory,Dairy (Milk & Milkproducts),367849.52574415505
2.Theory,Cheese & Eggs,158051.7336940847
2.Theory,Fish,31171.513372360583
2.Theory,Plant Protein,50596.4495084895
2.Theory,Staples,383524.66098671674
2.Theory,Rice,37226.38311496249
2.Theory,Veg & Fruit,236029.50762336754
2.Theory,Ultra-Processed,307415.8210995903
2.Theory,Soups,40667.877930881245
2.Theory,Beverages & Additions,21041.341899564002
2.Theory,Fats (Butter),45560.322361396844
2.Theory,Oils (Plant-based),84140.437098375
2.Theory,Condiments,19458.255157120497
2.Theory,TOTAL,2805219.438217803
3.Metro,Red Meat,1814377.6822816308
3.Metro,Poultry,132035.93684234985
3.Metro,Dairy (Milk & Milkproducts),282961.17364934995
3.Metro,Cheese & Eggs,194813.91843339027
3.Metro,Fish,46757.270058540875
3.Metro,Plant Protein,22406.286768048754
3.Metro,Staples,371140.5877704199
3.Metro,Rice,29781.106491969993
3.Metro,Veg & Fruit,176258.63415866997
3.Metro,Ultra-Processed,583008.7612548505
3.Metro,Soups,24400.72675852874
3.Metro,Beverages & Additions,27672.85486791
3.Metro,Fats (Butter),79444.97139261245
3.Metro,Oils (Plant-based),112187.24946449997
3.Metro,Condiments,24986.59350573225
3.Metro,TOTAL,3922233.753698504
4.Meta,Red Meat,1462186.3682835947
4.Meta,Poultry,176047.91578979982
4.Meta,Dairy (Milk & Milkproducts),70740.29341233749
4.Meta,Cheese & Eggs,238825.8973808402
4.Meta,Fish,124686.05348944233
4.Meta,Plant Protein,46744.687276875
4.Meta,Staples,91299.9311100693
4.Meta,Rice,14890.553245984996
4.Meta,Veg & Fruit,264886.56123562495
4.Meta,Ultra-Processed,46290.15673093003
4.Meta,Soups,48801.45351705748
4.Meta,Beverages & Additions,16703.434920269996
4.Meta,Fats (Butter),104915.57671399057
4.Meta,Oils (Plant-based),98163.8432814375
4.Meta,Condiments,12402.9236907975
4.Meta,TOTAL,2817585.6500790515
5.DuGoal,Red Meat,478869.71393923066
5.DuGoal,Poultry,39610.78105270495
5.DuGoal,Dairy (Milk & Milkproducts),254665.05628441498
5.DuGoal,Cheese & Eggs,97406.95921669513
5.DuGoal,Fish,37405.8160468327
5.DuGoal,Plant Protein,192245.31720736128
5.DuGoal,Staples,462726.08247422957
5.DuGoal,Rice,59562.212983939986
5.DuGoal,Veg & Fruit,362364.815770335
5.DuGoal,Ultra-Processed,184456.79137896514
5.DuGoal,Soups,40667.877930881245
5.DuGoal,Beverages & Additions,15269.9311771125
5.DuGoal,Fats (Butter),21028.810181171237
5.DuGoal,Oils (Plant-based),61702.98720547499
5.DuGoal,Condiments,13163.303937167999
5.DuGoal,TOTAL,2321146.4567865175
6.AmGoal,Red Meat,275280.9514750547
6.AmGoal,Poultry,22005.989473724978
6.AmGoal,Dairy (Milk & Milkproducts),141480.58682467497
6.AmGoal,Cheese & Eggs,84527.36421547359
6.AmGoal,Fish,46757.270058540875
6.AmGoal,Plant Protein,223127.97393495002
6.AmGoal,Staples,456159.3671908308
6.AmGoal,Rice,74452.76622992498
6.AmGoal,Veg & Fruit,382059.910676325
6.AmGoal,Ultra-Processed,146880.91045068533
6.AmGoal,Soups,48801.45351705748
6.AmGoal,Beverages & Additions,11954.174692939501
6.AmGoal,Fats (Butter),14251.880374928118
6.AmGoal,Oils (Plant-based),56093.624732249984
6.AmGoal,Condiments,11829.5221935345
6.AmGoal,TOTAL,1995663.7460408946
7.EAT,Red Meat,155912.82952181104
7.EAT,Poultry,63817.36947380242
7.EAT,Dairy (Milk & Milkproducts),353701.4670616875
7.EAT,Cheese & Eggs,28607.786315842466
7.EAT,Fish,87280.23744260965
7.EAT,Plant Protein,171708.8179303875
7.EAT,Staples,397045.5433828441
7.EAT,Rice,89343.31947590996
7.EAT,Veg & Fruit,431297.6479413
7.EAT,Ultra-Processed,122328.18136798003
7.EAT,Soups,32534.302344704996
7.EAT,Beverages & Additions,8925.118957398
7.EAT,Fats (Butter),6307.38323566687
7.EAT,Oils (Plant-based),50484.26225902499
7.EAT,Condiments,10495.740449901
7.EAT,TOTAL,2009790.0071608701
8.Schijf,Red Meat,684008.6361881322
8.Schijf,Poultry,55014.973684312434
8.Schijf,Dairy (Milk & Milkproducts),353701.4670616875
8.Schijf,Cheese & Eggs,121289.54895477914
8.Schijf,Fish,77928.78343090144
8.Schijf,Plant Protein,109538.38385214376
8.Schijf,Staples,436394.94046494964
8.Schijf,Rice,59562.212983939986
8.Schijf,Veg & Fruit,382059.910676325
8.Schijf,Ultra-Processed,203790.84511356393
8.Schijf,Soups,40667.877930881245
8.Schijf,Beverages & Additions,15269.9311771125
8.Schijf,Fats (Butter),23363.944847207484
8.Schijf,Oils (Plant-based),70117.03091531248
8.Schijf,Condiments,13736.705434430998
8.Schijf,TOTAL,2646445.1927156793
9.Med,Red Meat,465282.33546785195
9.Med,Poultry,44011.978947449956
9.Med,Dairy (Milk & Milkproducts),282961.17364934995
9.Med,Cheese & Eggs,116888.35106003413
9.Med,Fish,109100.29680326206
9.Med,Plant Protein,135434.9406035325
9.Med,Staples,439639.51403961546
9.Med,Rice,67007.48960693247
9.Med,Veg & Fruit,444884.770376445
9.Med,Ultra-Processed,130581.07898235758
9.Med,Soups,48801.45351705748
9.Med,Beverages & Additions,20181.2396536695
9.Med,Fats (Butter),15419.447707946241
9.Med,Oils (Plant-based),84140.437098375
9.Med,Condiments,11829.5221935345
9.Med,TOTAL,2416164.0297074136
