Diet,Category,Total_emissions_tonnes_per_year
Monitor 2024,Red Meat,3030067.0370418774
Monitor 2024,Poultry,302264.9966914555
Monitor 2024,Dairy (Milk & Milkproducts),950066.4368464858
Monitor 2024,Cheese & Eggs,463267.2914102744
Monitor 2024,Fish,209322.06534802262
Monitor 2024,Plant Protein,229526.462966617
Monitor 2024,Staples,1184751.0605522715
Monitor 2024,Rice,363609.53522368276
Monitor 2024,Veg & Fruit,781607.5201809746
Monitor 2024,Ultra-Processed,832907.6641698466
Monitor 2024,Soups,99306.10333077004
Monitor 2024,Beverages & Additions,54979.81582872136
Monitor 2024,Fats (Butter),111252.8686127594
Monitor 2024,Oils (Plant-based),214021.77441976307
Monitor 2024,Condiments,48911.10951406317
Amsterdam Theoretical,Red Meat,1130433.9271768339
Amsterdam Theoretical,Poultry,72490.31826638817
Amsterdam Theoretical,Dairy (Milk & Milkproducts),432764.14793430007
Amsterdam Theoretical,Cheese & Eggs,185943.21611068788
Amsterdam Theoretical,Fish,36672.368673365396
Amsterdam Theoretical,Plant Protein,59525.23471587
Amsterdam Theoretical,Staples,451205.4835137844
Amsterdam Theoretical,Rice,43795.74484113234
Amsterdam Theoretical,Veg & Fruit,277681.77367455006
Amsterdam Theoretical,Ultra-Processed,361665.67188187095
Amsterdam Theoretical,Soups,47844.56227162499
Amsterdam Theoretical,Beverages & Additions,24754.519881840002
Amsterdam Theoretical,Fats (Butter),53600.37924870217
Amsterdam Theoretical,Oils (Plant-based),98988.7495275
Amsterdam Theoretical,Condiments,22892.06489073
Metropolitan,Red Meat,2134561.9791548597
Metropolitan,Poultry,155336.3962851175
Metropolitan,Dairy (Milk & Milkproducts),332895.49841099995
Metropolitan,Cheese & Eggs,229192.84521575324
Metropolitan,Fish,55008.55301004809
Metropolitan,Plant Protein,26360.337374175004
Metropolitan,Staples,436635.9856122587
Metropolitan,Rice,35036.59587290588
Metropolitan,Veg & Fruit,207363.09901019998
Metropolitan,Ultra-Processed,685892.6602998242
Metropolitan,Soups,28706.737362974993
Metropolitan,Beverages & Additions,32556.2998446
Metropolitan,Fats (Butter),93464.6722266029
Metropolitan,Oils (Plant-based),131984.99936999998
Metropolitan,Condiments,29395.992359685
Metabolic Balance,Red Meat,1720219.2568042292
Metabolic Balance,Poultry,207115.19504682333
Metabolic Balance,Dairy (Milk & Milkproducts),83223.87460274999
Metabolic Balance,Cheese & Eggs,280971.64397745905
Metabolic Balance,Fish,146689.47469346158
Metabolic Balance,Plant Protein,54993.74973750001
Metabolic Balance,Staples,107411.68365890507
Metabolic Balance,Rice,17518.29793645294
Metabolic Balance,Veg & Fruit,311631.24851249997
Metabolic Balance,Ultra-Processed,54459.00791874121
Metabolic Balance,Soups,57413.474725949985
Metabolic Balance,Beverages & Additions,19651.099906199997
Metabolic Balance,Fats (Butter),123430.09025175362
Metabolic Balance,Oils (Plant-based),115486.87444875
Metabolic Balance,Condiments,14591.67493035
Dutch Goal,Red Meat,563376.1340461537
Dutch Goal,Poultry,46600.91888553524
Dutch Goal,Dairy (Milk & Milkproducts),299605.9485699
Dutch Goal,Cheese & Eggs,114596.42260787662
Dutch Goal,Fish,44006.84240803847
Dutch Goal,Plant Protein,226170.96142042504
Dutch Goal,Staples,544383.6264402701
Dutch Goal,Rice,70073.19174581175
Dutch Goal,Veg & Fruit,426311.5479651
Dutch Goal,Ultra-Processed,217007.98985760607
Dutch Goal,Soups,47844.56227162499
Dutch Goal,Beverages & Additions,17964.624914250002
Dutch Goal,Fats (Butter),24739.776683730866
Dutch Goal,Oils (Plant-based),72591.74965349998
Dutch Goal,Condiments,15486.23992608
Amsterdam Goal,Red Meat,323859.9429118291
Amsterdam Goal,Poultry,25889.399380852916
Amsterdam Goal,Dairy (Milk & Milkproducts),166447.74920549997
Amsterdam Goal,Cheese & Eggs,99443.95790055716
Amsterdam Goal,Fish,55008.55301004809
Amsterdam Goal,Plant Protein,262503.498747
Amsterdam Goal,Staples,536658.0790480362
Amsterdam Goal,Rice,87591.48968226468
Amsterdam Goal,Veg & Fruit,449482.24785449996
Amsterdam Goal,Ultra-Processed,172801.07111845334
Amsterdam Goal,Soups,57413.474725949985
Amsterdam Goal,Beverages & Additions,14063.734932870002
Amsterdam Goal,Fats (Butter),16766.918088150727
Amsterdam Goal,Oils (Plant-based),65992.49968499999
Amsterdam Goal,Condiments,13917.08493357
EAT-Lancet,Red Meat,183426.85826095418
EAT-Lancet,Poultry,75079.25820447344
EAT-Lancet,Dairy (Milk & Milkproducts),416119.37301375
EAT-Lancet,Cheese & Eggs,33656.21919510879
EAT-Lancet,Fish,102682.63228542311
EAT-Lancet,Plant Protein,202010.37403575002
EAT-Lancet,Staples,467112.40397981653
EAT-Lancet,Rice,105109.7876187176
EAT-Lancet,Veg & Fruit,507408.997578
EAT-Lancet,Ultra-Processed,143915.5074917412
EAT-Lancet,Soups,38275.6498173
EAT-Lancet,Beverages & Additions,10500.13994988
EAT-Lancet,Fats (Butter),7420.450865490436
EAT-Lancet,Oils (Plant-based),59393.24971649999
EAT-Lancet,Condiments,12347.929941060002
Schijf van Vijf (50-50),Red Meat,804716.0425742732
Schijf van Vijf (50-50),Poultry,64723.49845213228
Schijf van Vijf (50-50),Dairy (Milk & Milkproducts),416119.37301375
Schijf van Vijf (50-50),Cheese & Eggs,142693.5870056225
Schijf van Vijf (50-50),Fish,91680.92168341347
Schijf van Vijf (50-50),Plant Protein,128868.686884875
Schijf van Vijf (50-50),Staples,513405.8123117055
Schijf van Vijf (50-50),Rice,70073.19174581175
Schijf van Vijf (50-50),Veg & Fruit,449482.24785449996
Schijf van Vijf (50-50),Ultra-Processed,239753.9354277223
Schijf van Vijf (50-50),Soups,47844.56227162499
Schijf van Vijf (50-50),Beverages & Additions,17964.624914250002
Schijf van Vijf (50-50),Fats (Butter),27486.99393789116
Schijf van Vijf (50-50),Oils (Plant-based),82490.62460624998
Schijf van Vijf (50-50),Condiments,16160.829922859999
Mediterranean Diet,Red Meat,547390.9829033553
Mediterranean Diet,Poultry,51778.79876170583
Mediterranean Diet,Dairy (Milk & Milkproducts),332895.49841099995
Mediterranean Diet,Cheese & Eggs,137515.7071294519
Mediterranean Diet,Fish,128353.29035677889
Mediterranean Diet,Plant Protein,159335.22423945
Mediterranean Diet,Staples,517222.9576936653
Mediterranean Diet,Rice,78832.3407140382
Mediterranean Diet,Veg & Fruit,523393.84750170005
Mediterranean Diet,Ultra-Processed,153624.7988027736
Mediterranean Diet,Soups,57413.474725949985
Mediterranean Diet,Beverages & Additions,23742.634886670003
Mediterranean Diet,Fats (Butter),18140.526715230873
Mediterranean Diet,Oils (Plant-based),98988.7495275
Mediterranean Diet,Condiments,13917.08493357
