Diet,Category,Scope1+2_tonnes_per_year,Scope3_tonnes_per_year,Total_tonnes_per_year,Scope1+2_pct,Scope3_pct
Monitor 2024,Red Meat,597419.999192805,992699.4797035749,1590119.47889638,37.5707616390841,62.4292383609159
Monitor 2024,Poultry,59595.76203162623,99026.9526317624,158622.71466338862,37.5707616390841,62.42923836091592
Monitor 2024,Dairy (Milk & Milkproducts),187318.8556541148,311257.291014285,498576.1466683998,37.5707616390841,62.4292383609159
Monitor 2024,Cheese & Eggs,91339.61112971707,151773.93553498067,243113.54666469776,37.5707616390841,62.429238360915896
Monitor 2024,Fish,41270.76615220234,68577.32941919328,109848.09557139562,37.5707616390841,62.4292383609159
Monitor 2024,Plant Protein,45254.34508343803,75196.62026606625,120450.96534950429,37.57076163908409,62.4292383609159
Monitor 2024,Staples,233590.20410644164,388143.8090348904,621734.013141332,37.5707616390841,62.4292383609159
Monitor 2024,Rice,71690.69383095187,119124.42596787997,190815.11979883185,37.5707616390841,62.4292383609159
Monitor 2024,Veg & Fruit,154104.82948636977,256067.39690272123,410172.226389091,37.5707616390841,62.4292383609159
Monitor 2024,Ultra-Processed,164219.36873773325,272874.1624375815,437093.5311753148,37.5707616390841,62.429238360915896
Monitor 2024,Soups,19579.584031126935,32534.302344704996,52113.886375831935,37.57076163908409,62.4292383609159
Monitor 2024,Beverages & Additions,10840.037902290587,18012.2861640225,28852.324066313085,37.570761639084104,62.429238360915896
Monitor 2024,Fats (Butter),21935.055516698583,36448.25788911748,58383.313405816065,37.5707616390841,62.429238360915896
Monitor 2024,Oils (Plant-based),42197.37937742875,70117.03091531248,112314.41029274123,37.5707616390841,62.429238360915896
Monitor 2024,Condiments,9643.507767055047,16024.078798512748,25667.586565567795,37.5707616390841,62.4292383609159
Amsterdam Theoretical,Red Meat,169565.08907652512,960868.8381003088,1130433.9271768339,15.000000000000005,85.0
Amsterdam Theoretical,Poultry,10873.547739958225,61616.770526429944,72490.31826638817,15.0,85.0
Amsterdam Theoretical,Dairy (Milk & Milkproducts),64914.62219014502,367849.52574415505,432764.14793430007,15.000000000000002,85.0
Amsterdam Theoretical,Cheese & Eggs,27891.482416603183,158051.7336940847,185943.21611068788,15.0,85.0
Amsterdam Theoretical,Fish,5500.855301004811,31171.513372360583,36672.368673365396,15.000000000000005,84.99999999999999
Amsterdam Theoretical,Plant Protein,8928.7852073805,50596.4495084895,59525.23471587,15.000000000000002,85.00000000000001
Amsterdam Theoretical,Staples,67680.82252706769,383524.66098671674,451205.4835137844,15.000000000000007,85.0
Amsterdam Theoretical,Rice,6569.361726169853,37226.38311496249,43795.74484113234,15.000000000000002,85.0
Amsterdam Theoretical,Veg & Fruit,41652.26605118251,236029.50762336754,277681.77367455006,15.0,85.0
Amsterdam Theoretical,Ultra-Processed,54249.85078228065,307415.8210995903,361665.67188187095,15.000000000000002,84.99999999999999
Amsterdam Theoretical,Soups,7176.68434074375,40667.877930881245,47844.56227162499,15.000000000000002,85.0
Amsterdam Theoretical,Beverages & Additions,3713.1779822760004,21041.341899564002,24754.519881840002,15.0,85.0
Amsterdam Theoretical,Fats (Butter),8040.056887305327,45560.322361396844,53600.37924870217,15.000000000000002,85.0
Amsterdam Theoretical,Oils (Plant-based),14848.312429125,84140.437098375,98988.7495275,15.000000000000002,85.0
Amsterdam Theoretical,Condiments,3433.8097336095007,19458.255157120497,22892.06489073,15.000000000000005,84.99999999999999
Metropolitan,Red Meat,320184.29687322903,1814377.6822816308,2134561.9791548597,15.000000000000005,85.00000000000001
Metropolitan,Poultry,23300.45944276762,132035.93684234985,155336.3962851175,15.0,85.0
Metropolitan,Dairy (Milk & Milkproducts),49934.32476165001,282961.17364934995,332895.49841099995,15.000000000000005,85.0
Metropolitan,Cheese & Eggs,34378.926782362985,194813.91843339027,229192.84521575324,15.0,85.00000000000001
Metropolitan,Fish,8251.282951507214,46757.270058540875,55008.55301004809,15.0,85.0
Metropolitan,Plant Protein,3954.050606126251,22406.286768048754,26360.337374175004,15.000000000000002,85.00000000000001
Metropolitan,Staples,65495.39784183881,371140.5877704199,436635.9856122587,15.0,85.0
Metropolitan,Rice,5255.489380935882,29781.106491969993,35036.59587290588,15.000000000000002,85.0
Metropolitan,Veg & Fruit,31104.464851530003,176258.63415866997,207363.09901019998,15.000000000000002,85.0
Metropolitan,Ultra-Processed,102883.89904497366,583008.7612548505,685892.6602998242,15.000000000000005,85.0
