Diet,Category,Scope3_kton
1. Monitor 2024 (Current),Red Meat,934305.3926621884
1. Monitor 2024 (Current),Poultry,93201.8377710705
1. Monitor 2024 (Current),Dairy (Milk & Milkproducts),292948.03860167996
1. Monitor 2024 (Current),Cheese & Eggs,142846.05697409945
1. Monitor 2024 (Current),Fish,64543.36886512308
1. Monitor 2024 (Current),Plant Protein,70773.28966218
1. Monitor 2024 (Current),Staples,365311.82026813214
1. Monitor 2024 (Current),Rice,112117.10679329881
1. Monitor 2024 (Current),Veg & Fruit,241004.60884962
1. Monitor 2024 (Current),Ultra-Processed,256822.74111772378
1. Monitor 2024 (Current),Soups,30620.51985384
1. Monitor 2024 (Current),Beverages & Additions,16952.73991908
1. Monitor 2024 (Current),Fats (Butter),34304.2427191694
1. Monitor 2024 (Current),Oils (Plant-based),65992.499685
1. Monitor 2024 (Current),Condiments,15081.485928011998
2. Amsterdam Theoretical,Red Meat,904347.1417414674
2. Amsterdam Theoretical,Poultry,57992.254613110534
2. Amsterdam Theoretical,Dairy (Milk & Milkproducts),346211.31834744
2. Amsterdam Theoretical,Cheese & Eggs,148754.5728885503
2. Amsterdam Theoretical,Fish,29337.894938692312
2. Amsterdam Theoretical,Plant Protein,47620.187772695994
2. Amsterdam Theoretical,Staples,360964.3868110276
2. Amsterdam Theoretical,Rice,35036.59587290588
2. Amsterdam Theoretical,Veg & Fruit,222145.41893964005
2. Amsterdam Theoretical,Ultra-Processed,289332.53750549676
2. Amsterdam Theoretical,Soups,38275.6498173
2. Amsterdam Theoretical,Beverages & Additions,19803.615905471997
2. Amsterdam Theoretical,Fats (Butter),42880.30339896175
2. Amsterdam Theoretical,Oils (Plant-based),79190.99962199999
2. Amsterdam Theoretical,Condiments,18313.651912584002
3. Metropolitan (High Risk),Red Meat,1707649.583323888
3. Metropolitan (High Risk),Poultry,124269.11702809398
3. Metropolitan (High Risk),Dairy (Milk & Milkproducts),266316.3987288
3. Metropolitan (High Risk),Cheese & Eggs,183354.2761726026
