Diet,Category,Land_hectares
1. Monitor 2024 (Current),Red Meat,731605666.7160763
1. Monitor 2024 (Current),Poultry,163533274.48369533
1. Monitor 2024 (Current),Dairy (Milk & Milkproducts),153249249.26849997
1. Monitor 2024 (Current),Cheese & Eggs,215244498.31376597
1. Monitor 2024 (Current),Fish,63152905.90540615
1. Monitor 2024 (Current),Plant Protein,177519824.15264997
1. Monitor 2024 (Current),Staples,586354198.0307382
1. Monitor 2024 (Current),Rice,91759767.86122587
1. Monitor 2024 (Current),Veg & Fruit,387082673.15234995
1. Monitor 2024 (Current),Ultra-Processed,418256608.10298836
1. Monitor 2024 (Current),Soups,19651099.9062
1. Monitor 2024 (Current),Beverages & Additions,15874862.424224999
1. Monitor 2024 (Current),Fats (Butter),77390183.35019977
1. Monitor 2024 (Current),Oils (Plant-based),173046999.17399997
1. Monitor 2024 (Current),Condiments,26814952.372004997
2. Amsterdam Theoretical,Red Meat,689905790.9699286
2. Amsterdam Theoretical,Poultry,101754037.45652154
2. Amsterdam Theoretical,Dairy (Milk & Milkproducts),181112749.1355
2. Amsterdam Theoretical,Cheese & Eggs,220555202.99445927
2. Amsterdam Theoretical,Fish,28705866.320639156
2. Amsterdam Theoretical,Plant Protein,117312666.94003499
2. Amsterdam Theoretical,Staples,565783154.8221557
2. Amsterdam Theoretical,Rice,28674927.456633084
2. Amsterdam Theoretical,Veg & Fruit,352179973.31895
2. Amsterdam Theoretical,Ultra-Processed,472770513.79270875
2. Amsterdam Theoretical,Soups,24563874.88275
2. Amsterdam Theoretical,Beverages & Additions,18595219.911239997
2. Amsterdam Theoretical,Fats (Butter),96737729.18774971
2. Amsterdam Theoretical,Oils (Plant-based),207656399.00879997
2. Amsterdam Theoretical,Condiments,32336324.845649995
3. Metropolitan (High Risk),Red Meat,1322859166.1153612
3. Metropolitan (High Risk),Poultry,218044365.9782604
3. Metropolitan (High Risk),Dairy (Milk & Milkproducts),139317499.33499998
3. Metropolitan (High Risk),Cheese & Eggs,271151412.7851936
3. Metropolitan (High Risk),Fish,43058799.48095873
3. Metropolitan (High Risk),Plant Protein,55690337.234175004
3. Metropolitan (High Risk),Staples,505142008.915781
3. Metropolitan (High Risk),Rice,22939941.96530647
