Diet,Category,Water_m3
Monitor 2024 (Current),Red Meat,7159683533.354399
Monitor 2024 (Current),Poultry,2198894209.7628345
Monitor 2024 (Current),Dairy (Milk & Milkproducts),3064984985.37
Monitor 2024 (Current),Cheese & Eggs,2026690497.9458096
Monitor 2024 (Current),Fish,604931327.7699995
Monitor 2024 (Current),Plant Protein,14022672933.065998
Monitor 2024 (Current),Staples,8046717057.333349
Monitor 2024 (Current),Rice,14013775266.98847
Monitor 2024 (Current),Veg & Fruit,27611261868.203995
Monitor 2024 (Current),Ultra-Processed,2714159706.0845838
Monitor 2024 (Current),Soups,459014497.809
Monitor 2024 (Current),Beverages & Additions,765879621.34425
Monitor 2024 (Current),Fats (Butter),1276426186.8582733
Monitor 2024 (Current),Oils (Plant-based),3724909982.2199993
Monitor 2024 (Current),Condiments,387375973.15094995
Amsterdam Theoretical,Red Meat,6879658386.547035
Amsterdam Theoretical,Poultry,1368200841.6302083
Amsterdam Theoretical,Dairy (Milk & Milkproducts),3622254982.71
Amsterdam Theoretical,Cheese & Eggs,1974167501.5305157
Amsterdam Theoretical,Fish,274968785.34999985
Amsterdam Theoretical,Plant Protein,9333612530.44815
Amsterdam Theoretical,Staples,7990474516.859308
Amsterdam Theoretical,Rice,4379304770.933897
Amsterdam Theoretical,Veg & Fruit,24917301381.063
Amsterdam Theoretical,Ultra-Processed,3052238138.100844
Amsterdam Theoretical,Soups,573768122.26125
Amsterdam Theoretical,Beverages & Additions,866554845.8636999
Amsterdam Theoretical,Fats (Butter),1595532733.572842
Amsterdam Theoretical,Oils (Plant-based),4469891978.664
Amsterdam Theoretical,Condiments,469866597.7572
Metropolitan (High Risk),Red Meat,12970088530.215267
Metropolitan (High Risk),Poultry,2931858946.3504457
Metropolitan (High Risk),Dairy (Milk & Milkproducts),2786349986.7
Metropolitan (High Risk),Cheese & Eggs,2406628982.1975102
Metropolitan (High Risk),Fish,412453178.02499974
Metropolitan (High Risk),Plant Protein,4638906102.85725
Metropolitan (High Risk),Staples,7892113341.338813
Metropolitan (High Risk),Rice,3503443816.7471175
Metropolitan (High Risk),Veg & Fruit,19033703409.146996
Metropolitan (High Risk),Ultra-Processed,8493505132.058208
Metropolitan (High Risk),Soups,344260873.35674995
Metropolitan (High Risk),Beverages & Additions,1120405994.652
Metropolitan (High Risk),Fats (Butter),3120686306.6891227
Metropolitan (High Risk),Oils (Plant-based),5959855971.552
Metropolitan (High Risk),Condiments,608010897.0978
Metabolic Balance,Red Meat,10406175275.346018
Metabolic Balance,Poultry,3909145261.8005943
Metabolic Balance,Dairy (Milk & Milkproducts),696587496.675
Metabolic Balance,Cheese & Eggs,3383915297.647659
Metabolic Balance,Fish,1099875141.3999994
Metabolic Balance,Plant Protein,17881034414.649002
Metabolic Balance,Staples,1634546982.4453661
Metabolic Balance,Rice,1751721908.3735588
Metabolic Balance,Veg & Fruit,21264249898.499996
Metabolic Balance,Ultra-Processed,479229056.34251046
Metabolic Balance,Soups,688521746.7134999
Metabolic Balance,Beverages & Additions,822706496.0729998
Metabolic Balance,Fats (Butter),4198850681.939003
Metabolic Balance,Oils (Plant-based),5214873975.108
Metabolic Balance,Condiments,295866373.58775
Dutch Goal (60:40),Red Meat,3418807167.3786116
Dutch Goal (60:40),Poultry,879557683.9051337
Dutch Goal (60:40),Dairy (Milk & Milkproducts),2507714988.0299997
Dutch Goal (60:40),Cheese & Eggs,1203314491.0987551
Dutch Goal (60:40),Fish,329962542.41999984
Dutch Goal (60:40),Plant Protein,33205226091.502502
Dutch Goal (60:40),Staples,9769942539.107927
Dutch Goal (60:40),Rice,7006887633.494235
Dutch Goal (60:40),Veg & Fruit,38315245317.11099
Dutch Goal (60:40),Ultra-Processed,1831542784.4075522
Dutch Goal (60:40),Soups,573768122.26125
Dutch Goal (60:40),Beverages & Additions,691454746.6994998
Dutch Goal (60:40),Fats (Butter),787209492.7179368
Dutch Goal (60:40),Oils (Plant-based),3277920784.3535995
Dutch Goal (60:40),Condiments,317423923.48485
Amsterdam Goal (70:30),Red Meat,1964967065.530682
Amsterdam Goal (70:30),Poultry,488643157.7250743
Amsterdam Goal (70:30),Dairy (Milk & Milkproducts),1393174993.35
Amsterdam Goal (70:30),Cheese & Eggs,1109244540.1965265
