Model_Category,Product_Name,NEVO_Group,CO2_kg,Land_m2,Water_m3
Alcohol,"Beer, pilsner | Ambient (long) | Glass bottle, non returnable | Chilled at consumer | consumed/NL Economic",Alcoholische dranken,0.576,0.261,0.0069
Alcohol,"Beer, pilsner | Ambient (long) | Glass bottle, returnable | Chilled at consumer | consumed/NL Economic",Alcoholische dranken,0.374,0.246,0.0057
Alcohol,"Beer, pilsner | Ambient (long) | Metal can (Aluminium) | Chilled at consumer | consumed/NL Economic",Alcoholische dranken,0.464,0.247,0.0094
Alcohol,"Beer >7 vol% alcohol | Ambient (long) | Glass bottle, non returnable | Chilled at consumer | consumed/NL Economic",Alcoholische dranken,0.638,0.262,0.0073
Alcohol,"Beer >7 vol% alcohol | Ambient (long) | Glass bottle, returnable | Chilled at consumer | consumed/NL Economic",Alcoholische dranken,0.435,0.247,0.0061
Alcohol,Beer >7 vol% alcohol | Ambient (long) | Metal can (Aluminium) | Chilled at consumer | consumed/NL Economic,Alcoholische dranken,0.525,0.248,0.0098
Alcohol,"Gin, young Dutch | Ambient (long) | Still wine bottle - 750 ml | No preparation | consumed/NL Economic",Alcoholische dranken,1.811,0.043,0.0095
Alcohol,Whisky | Ambient (long) | Still wine bottle - 750 ml | No preparation | consumed/NL Economic,Alcoholische dranken,2.745,3.685,0.034
Alcohol,Red wine | Ambient (long) | Still wine bottle - 750 ml | No preparation | consumed/NL Economic,Alcoholische dranken,1.088,1.349,0.0551
Alcohol,Rose wine | Ambient (long) | Still wine bottle - 750 ml | Chilled at consumer | consumed/NL Economic,Alcoholische dranken,1.156,1.295,0.0573
Alcohol,"White wine, dry | Ambient (long) | Still wine bottle - 750 ml | Chilled at consumer | consumed/NL Economic",Alcoholische dranken,1.176,1.241,0.0591
Alcohol,Insects | Cooled | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic,Diversen,4.346,6.266,0.0722
Alcohol,Trout | Cooled | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic,Vis,12.193,4.833,0.0938
