Category,Total_CO2_kgCO2e_per_kg,Scope12_CO2_kgCO2e_per_kg,Scope3_CO2_kgCO2e_per_kg,Scope12_percentage,Land_m2a_per_kg,Water_L_per_kg
Alcohol,0.56,0.22,0.34,40,0.25,9.0
Animal_Fats,14.0,7.7,6.3,55,9.0,6000.0
Beef,23.32,13.99,9.33,60,12.73,143.0
Bread,1.49,0.6,0.89,40,1.89,9.0
Butter,3.23,1.78,1.45,55,3.41,40.0
Cheese,8.04,4.42,3.62,55,3.85,71.0
Chicken,4.35,1.96,2.39,45,5.46,52.0
Coffee,1.28,0.77,0.51,60,0.58,11.0
Condiment_Sauces,4.99,2.0,2.99,40,5.95,46.0
Condiments,3.11,1.09,2.02,35,7.03,81.0
Dairy,3.57,1.78,1.78,50,1.31,25.0
Eggs,1.13,0.51,0.62,45,0.46,11.0
Fish,4.12,2.06,2.06,50,0.25,33.0
Fruits,0.75,0.19,0.56,25,0.55,29.0
Frying_Oil_Animal,14.0,7.7,6.3,55,9.0,6000.0
Grains,1.24,0.43,0.81,35,1.89,7.0
Instant_Noodles,3.5,1.57,1.93,45,2.0,400.0
Instant_Pasta,2.5,1.0,1.5,40,1.8,350.0
Lamb,13.13,7.88,5.25,60,9.48,77.0
Meat_Subs,2.5,0.88,1.62,35,3.0,200.0
Milk,1.54,0.77,0.77,50,0.69,14.0
Nuts,3.05,0.61,2.44,20,6.73,1074.0
Oils,1.85,0.56,1.3,30,1.07,34.0
Pasta,1.85,0.65,1.2,35,0.76,25.0
Pork,12.56,6.91,5.65,55,9.99,77.0
Potatoes,1.27,0.38,0.89,30,0.8,20.0
Processed,2.01,0.9,1.11,45,2.28,38.0
Pulses,1.68,0.5,1.18,30,2.23,37.0
Ready_Meals,4.03,2.02,2.02,50,3.66,44.0
Rice,2.16,0.65,1.51,30,1.39,213.0
Snacks,2.66,1.2,1.46,45,2.57,19.0
Spice_Mixes,2.66,0.66,2.0,25,2.49,20.0
Sugar,0.68,0.24,0.44,35,0.31,5.0
Tea,2.33,1.16,1.16,50,1.33,38.0
Vegetables,0.92,0.26,0.66,28,0.41,19.0
