Category,Scope12_percentage,Scope3_percentage
Alcohol,40,60
Animal_Fats,55,45
Beef,60,40
Bread,40,60
Butter,55,45
Cheese,55,45
Chicken,45,55
Coffee,60,40
Condiment_Sauces,40,60
Condiments,35,65
Dairy,50,50
Eggs,45,55
Fish,50,50
Fruits,25,75
Frying_Oil_Animal,55,45
Grains,35,65
Instant_Noodles,45,55
Instant_Pasta,40,60
Lamb,60,40
Meat_Subs,35,65
Milk,50,50
Nuts,20,80
Oils,30,70
Pasta,35,65
Pork,55,45
Potatoes,30,70
Processed,45,55
Pulses,30,70
Ready_Meals,50,50
Rice,30,70
Snacks,45,55
Spice_Mixes,25,75
Sugar,35,65
Tea,50,50
Vegetables,28,72
