,co2,land,water,scope12
Beef,25.55,14.25,15400.0,13.99
Pork,11.77,12.73,6000.0,6.91
Chicken,4.35,5.96,4300.0,1.96
Fish,5.15,1.39,2000.0,2.06
Eggs,0.4,0.09,3300.0,0.51
Cheese,7.64,3.91,5000.0,4.42
Milk,1.35,1.24,1000.0,0.77
Dairy,1.66,0.61,1000.0,1.78
Pulses,1.6,1.36,4000.0,0.5
Nuts,2.81,7.06,9000.0,0.61
Grains,1.07,1.78,1600.0,0.43
Bread,1.49,1.89,1500.0,0.6
Pasta,1.91,0.79,1600.0,0.65
Rice,2.16,1.39,2300.0,0.65
Potatoes,1.19,0.73,290.0,0.38
Vegetables,1.22,0.33,320.0,0.26
Fruits,1.05,0.58,960.0,0.19
Sugar,0.99,1.57,200.0,0.24
Processed,4.29,5.11,300.0,0.9
Snacks,2.43,3.53,400.0,1.2
Coffee,1.5,0.59,140.0,0.77
Tea,0.79,0.44,300.0,1.16
Alcohol,0.56,0.25,500.0,0.22
Butter,3.78,4.32,5000.0,1.78
Oils,1.8,2.1,200.0,0.56
Meat_Subs,2.97,2.89,0.0,3.33
Ready_Meals,1.55,1.93,450.0,5.0
Instant_Noodles,1.91,0.79,200.0,3.0
Instant_Pasta,1.91,0.79,1600.0,0.65
Animal_Fats,1.92,1.24,6000.0,22.0
Frying_Oil_Animal,4.04,3.9,6000.0,22.0
Condiment_Sauces,1.42,0.79,400.0,4.5
Spice_Mixes,1.48,2.02,250.0,3.0
