Food_Item,co2,scope12,land,water
Alcohol,0.748,0.13200000000000003,0.68,20.299999999999997
Animal_Fats,3.8249999999999997,0.675,9.44,203.2
Beef,15.18804055,2.6802424500000006,12.73223219,106.966402
Pork,15.18804055,2.6802424500000006,12.73223219,106.966402
Lamb,13.9995,2.4705000000000004,11.54,108.0
Chicken,3.0011578013999998,0.5296160826,4.956116991,66.64073099999999
Processed_Meats,22.354537396,3.9449183640000007,14.2524605,161.014106
Fish,4.25114401925,0.7502018857500001,3.914881208,37.500005
Dairy,1.9295,0.3405000000000001,0.95,19.0
Milk,1.9295,0.3405000000000001,0.95,19.0
Cheese,3.5130160416500003,0.6199440073500001,4.422208812,25.658357
Eggs,3.0011578013999998,0.5296160826,4.956116991,66.64073099999999
Fruits,0.9265,0.16350000000000003,2.46,222.39999999999998
Vegetables,1.343,0.23700000000000004,1.07,33.8
Grains,1.1729999999999998,0.20700000000000002,2.18,31.7
Bread,0.982473775,0.17337772500000004,1.524725931,7.894102999999999
Pasta,1.6740367228,0.29541824520000004,0.758529719,24.947588
Rice,2.0307607660499998,0.35836954695000006,1.564264717,238.898318
Potatoes,1.377,0.24300000000000005,1.04,38.9
Nuts,2.4395000000000002,0.4305000000000001,9.26,1202.2
Pulses,1.496,0.26400000000000007,3.08,34.2
Oils,3.8249999999999997,0.675,9.44,203.2
Butter,1.5923182251499999,0.28099733385000003,2.502005196,9.598249
Condiment_Sauces,1.3005,0.22950000000000004,2.33,31.8
Spice_Mixes,0.782,0.13800000000000004,0.54,17.1
Sugar,4.148,0.7320000000000001,8.67,35.9
Snacks,3.2045,0.5655000000000001,3.8,38.5
Cookies_Pastries,2.06902303495,0.36512171205000005,2.399118568,17.813688000000003
Soups,2.2184999999999997,0.3915,1.34,31.3
Coffee,0.391,0.06900000000000002,0.31,35.8
Tea,0.391,0.06900000000000002,0.31,35.8
Meat_Subs,2.176,0.38400000000000006,2.85,28.9
