,co2,land,water,scope12
Beef,25.55,14.25,0.0,13.99
Pork,11.77,12.73,0.0,6.91
Chicken,4.35,5.96,0.0,1.96
Fish,5.15,1.39,0.0,2.06
Eggs,0.4,0.09,0.0,0.51
Cheese,7.64,3.91,0.0,4.42
Milk,1.35,1.24,0.0,0.77
Dairy,1.66,0.61,0.0,1.78
Pulses,1.6,1.36,0.0,0.5
Nuts,2.81,7.06,0.0,0.61
Grains,1.07,1.78,0.0,0.43
Bread,1.49,1.89,0.0,0.6
Pasta,1.91,0.79,0.0,0.65
Rice,2.16,1.39,0.0,0.65
Potatoes,1.19,0.73,0.0,0.38
Vegetables,1.22,0.33,0.0,0.26
Fruits,1.05,0.58,0.0,0.19
Sugar,0.99,1.57,0.0,0.24
Processed,4.29,5.11,0.0,0.9
Snacks,2.43,3.53,0.0,1.2
Coffee,1.5,0.59,0.0,0.77
Tea,0.79,0.44,0.0,1.16
Alcohol,0.56,0.25,0.0,0.22
Butter,3.78,4.32,0.0,1.78
Oils,1.8,2.1,0.0,0.56
