Model_Category,N_Products,CO2_Total_kg,Land_m2,Water_Liters
Alcohol,30,3.74,1.27,35.0
Animal_Fats,1,1.23,2.74,20.0
Beef,12,24.43,13.49,149.0
Bread,17,1.49,1.89,9.0
Butter,10,4.62,4.47,48.0
Cheese,11,7.64,3.91,72.0
Chicken,8,4.35,5.99,56.0
Coffee,3,1.5,0.59,13.0
Condiment_Sauces,4,1.77,5.36,17.0
Dairy,7,1.54,0.55,14.0
Eggs,1,1.85,0.82,24.0
Fish,13,5.0,1.38,35.0
Fruits,52,0.94,0.64,41.0
Frying_Oil_Animal,1,6.7,4.68,46.0
Grains,8,0.98,2.22,8.0
Milk,24,1.68,1.31,15.0
Nuts,17,2.81,6.99,720.0
Pasta,1,1.97,0.76,25.0
Pork,14,11.77,11.93,67.0
Potatoes,6,1.17,0.76,32.0
Processed,11,12.35,8.27,77.0
Pulses,19,1.6,1.36,36.0
Ready_Meals,3,1.76,0.79,9.0
Rice,3,2.16,1.39,213.0
Snacks,15,3.61,3.19,20.0
Spice_Mixes,1,1.53,1.02,30.0
Sugar,11,0.96,1.01,5.0
Tea,4,0.42,0.28,24.0
Vegetables,23,0.88,0.33,26.0
