NEVO_Product_Group,N_Products,CO2_Median_kg,CO2_Mean_kg,CO2_Min_kg,CO2_Max_kg,Land_Median_m2,Land_Mean_m2,Water_Median_m3,Water_Mean_m3
Aardappelen en knolgewassen,6,1.17,1.62,0.67,4.63,0.7,1.04,0.0384,0.0389
Alcoholische dranken,14,0.56,0.88,0.34,2.74,0.25,0.68,0.0094,0.0203
Brood,15,1.16,1.42,0.96,1.96,1.52,2.14,0.0095,0.0123
Diversen,2,3.2,3.2,2.06,4.35,9.79,9.79,0.0393,0.0393
Eieren,1,3.53,3.53,3.53,3.53,4.96,4.96,0.0666,0.0666
Flesvoeding en preparaten,1,4.74,4.74,4.74,4.74,3.11,3.11,0.0335,0.0335
Fruit,36,0.92,1.09,0.3,3.84,0.99,2.46,0.0946,0.2224
Gebak en koek,19,2.9,3.22,1.46,5.78,2.5,3.41,0.0278,0.0422
Graanproducten en bindmiddelen,24,1.3,1.38,0.8,2.39,2.11,2.18,0.0089,0.0317
Groente,69,1.3,1.58,0.31,7.58,0.61,1.07,0.0275,0.0338
Hartig broodbeleg,3,3.78,4.06,3.39,5.0,8.28,7.34,0.0529,0.0543
Hartige sauzen,10,1.41,1.53,0.54,3.47,2.18,2.33,0.0247,0.0318
Hartige snacks en zoutjes,13,3.54,3.77,0.76,6.7,3.74,3.8,0.0378,0.0385
Kaas,8,8.57,8.53,6.85,10.59,3.85,4.21,0.0727,0.0711
Kruiden en specerijen,2,0.92,0.92,0.31,1.53,0.54,0.54,0.0171,0.0171
Melk en melkproducten,24,1.7,2.27,1.25,5.66,0.68,0.95,0.0148,0.019
Niet-alcoholische dranken,27,0.4,0.46,0.0,1.15,0.17,0.31,0.0064,0.0358
Noten en zaden,15,2.81,2.87,1.1,4.32,7.06,9.26,1.0722,1.2022
Peulvruchten,7,1.69,1.76,1.38,2.34,2.28,3.08,0.0374,0.0342
Soepen,4,2.51,2.61,0.8,4.62,1.32,1.34,0.0336,0.0313
"Suiker, snoep, zoet beleg en zoete sauzen",18,2.74,4.88,0.53,15.57,3.21,8.67,0.0206,0.0359
Vetten en oliÃ«n,16,3.3,4.5,1.75,10.41,8.4,9.44,0.0485,0.2032
Vis,26,4.97,6.85,0.77,28.28,0.2,3.15,0.0338,0.0704
Vlees en gevogelte,27,13.72,16.47,4.35,32.58,12.73,11.54,0.0829,0.108
Vleesvervangers en zuivelvervangers,10,2.97,2.56,0.47,4.03,2.89,2.85,0.0245,0.0289
Vleeswaren,14,11.78,12.33,5.2,23.32,9.82,9.89,0.0722,0.0764
